Department,Seniority,Location,Engagement Score,Workload Score,Tenure Years,Responses
Procurement,Middle,Branch,4.8,3.4,2.6,4
Sales,Junior,Remote,3,3.4,16.6,6
HR,Junior,Branch,4.6,4.9,8.1,5
Sales,Middle,HQ,2.5,2.1,7.4,8
Procurement,Junior,HQ,4.5,1.2,3,3
HR,Junior,Remote,4.5,2.9,0.6,7
Procurement,Junior,Branch,4.7,1.8,8.8,3
IT,Junior,HQ,4.5,4.4,16.5,4
Sales,Middle,Remote,1.9,2.4,3.6,8
Operations,Lead,Branch,3.1,1.5,14.7,8
Sales,Lead,HQ,1.8,1.1,16.3,6
Sales,Middle,Remote,2.9,3.2,4.8,2
Procurement,Senior,Remote,4.4,1.5,15.9,8
Operations,Junior,Remote,2.5,3.4,7.3,4
Finance,Junior,Branch,1.9,2.9,8.2,8
Finance,Middle,Remote,1.6,2.8,10,6
IT,Junior,Branch,3.3,3.2,10,7
IT,Middle,HQ,1.1,1.5,12.7,5
HR,Senior,Branch,1.5,4.4,9.9,5
IT,Middle,Branch,3.1,1.5,6,9
IT,Lead,Remote,1.8,2.9,12.4,5
Sales,Lead,Branch,2.2,2,17.3,7
HR,Senior,HQ,4.6,4,15.4,5
Sales,Senior,Branch,4.8,3.7,5,5
Procurement,Lead,HQ,4.4,1.6,13.8,7
IT,Senior,HQ,1.3,2.5,14.1,7
Procurement,Senior,Branch,2.9,2,16.8,8
Sales,Lead,HQ,3.5,4.8,7.2,6
Finance,Junior,Remote,2.7,2.4,4.6,3
Sales,Lead,Remote,2.5,2.6,10.1,4
HR,Junior,Remote,2,4.9,9.7,5
Sales,Lead,Branch,4.4,4.1,4.3,6
Sales,Lead,Remote,1.4,1.7,6.9,8
Operations,Lead,Remote,2.5,2.6,7.9,3
Procurement,Junior,Remote,4.1,2,3.1,8
Operations,Senior,Branch,1.1,3,9.5,7
IT,Middle,HQ,1.1,3.9,9.7,6
Finance,Lead,Remote,4.1,2.5,13.6,6
Sales,Junior,Remote,3.8,4.1,9.3,2
IT,Junior,Branch,3.9,3.7,3.4,8
HR,Lead,Remote,4.9,1.1,8.7,4
IT,Middle,Branch,2.2,3.3,11.2,5
IT,Middle,Branch,3.6,1.6,13.5,5
IT,Middle,HQ,3.1,3.3,11,6
Procurement,Junior,HQ,3,2.6,14.5,4
IT,Senior,Branch,4.9,2.3,4.4,3
Finance,Junior,Remote,4.1,3.6,7.6,6
IT,Senior,HQ,4.2,3.2,0.7,4
Operations,Senior,Branch,4.8,3.4,11.3,5
Finance,Senior,Branch,4.5,2.1,12.9,6
HR,Junior,HQ,3.4,2.9,2.7,7
Operations,Senior,Branch,3.5,4.1,14.7,9
Sales,Lead,Remote,1.6,1.8,13.3,5
IT,Lead,HQ,1.1,4.6,8.8,7
Finance,Senior,HQ,2.4,1.6,16.9,2
Operations,Middle,Remote,1.8,1.7,16.3,1
HR,Middle,Branch,1.1,4.1,8.8,8
IT,Middle,Remote,2.1,4.3,5.7,1
IT,Lead,Branch,4.7,4.3,4.2,4
Finance,Lead,HQ,2,3.6,6.9,9
HR,Middle,HQ,4.3,3.3,15.8,5
Operations,Lead,Branch,1.9,4.9,4.2,8
Finance,Junior,Remote,3.5,1.6,16,1
IT,Senior,Remote,1.8,2.8,1.3,2
Operations,Lead,Branch,2.3,1.9,4.9,5
HR,Senior,HQ,2.3,3.5,0.6,2
Sales,Junior,Branch,4.9,1.3,16.8,7
Procurement,Senior,HQ,1.7,1.8,1.9,1
HR,Senior,Remote,1.7,4.4,11,6
Sales,Lead,Branch,1.3,1.1,16.1,6
IT,Senior,Remote,3.9,1.6,12.2,2
Sales,Lead,Remote,1.1,2.4,8.7,6
Procurement,Senior,HQ,4.9,1.6,5.4,1
Procurement,Junior,HQ,1.3,4.2,8.3,9
HR,Senior,Remote,2.7,3.6,9.9,7
IT,Lead,Branch,4.9,1.2,14.6,4
Finance,Junior,HQ,2.3,3.9,6.5,3
Sales,Middle,Remote,3.2,1.1,13.3,5
Sales,Senior,Remote,3.7,3.4,13.5,5
Procurement,Senior,Remote,1.6,1.7,8.1,9
Finance,Senior,HQ,1.7,1.6,3.9,1
Procurement,Senior,Remote,4.3,4.6,2.3,2
Sales,Junior,Branch,1.3,4.2,1.6,5
Sales,Junior,Remote,2.2,2.6,11.7,1
Finance,Senior,Remote,1.2,2.9,6.7,7
HR,Middle,Branch,1.9,1.5,3.1,6
Procurement,Senior,Branch,1.2,4.8,9.2,4
HR,Lead,Branch,1.4,2.9,12,1
Procurement,Junior,Branch,4,2.7,17.3,8
IT,Middle,HQ,2.5,4.6,8.3,6
Finance,Middle,Branch,1.2,4.4,2.2,5
Operations,Senior,HQ,2.5,3.7,10.9,1
IT,Lead,Remote,4.9,3.3,18,1
Finance,Middle,Branch,4.8,1.5,11.8,9
IT,Middle,Remote,5,2.5,7.9,7
Sales,Middle,HQ,4.3,2.5,8.5,9
Operations,Junior,Branch,2.5,2,11.8,5
IT,Senior,Remote,4,3.4,5.2,9
Operations,Junior,Branch,2.4,1.6,16.6,3
Finance,Middle,Branch,3.2,4.5,1.3,7
Sales,Senior,HQ,2.8,3.4,9.9,5
Operations,Middle,HQ,4.5,2.3,12,1
HR,Junior,Branch,3.8,3.7,6.9,2
HR,Senior,Remote,3.8,4.3,10.9,3
HR,Middle,Remote,2.1,3.4,14.2,2
Sales,Lead,Remote,3.4,1.1,3.7,3
Operations,Junior,Remote,3.3,2.5,1.8,7
Procurement,Senior,Branch,2.3,3.3,8.7,8
Sales,Middle,HQ,4.7,3.4,0.2,9
Operations,Middle,Remote,1.1,2.4,6.7,6
Procurement,Junior,Branch,1.7,3.3,13.7,6
Finance,Lead,Branch,2.9,2,11.3,8
Sales,Lead,Remote,4.6,2.1,14.9,7
IT,Lead,Remote,3.1,4.2,8.6,6
HR,Junior,Branch,4.1,4.1,7,3
Finance,Lead,Branch,2.6,3.6,16.8,5
Sales,Senior,HQ,3.2,1.8,1.4,8
Finance,Middle,Remote,2.5,4.3,16.8,4
IT,Senior,HQ,3.7,2.8,13.2,9
HR,Lead,Remote,2.7,3,4.3,6
HR,Junior,Branch,1.7,4.4,14.2,6
IT,Middle,Branch,4.3,4.9,3.9,1
Procurement,Senior,Remote,3.2,2.5,2.7,5
Operations,Senior,Remote,4.1,2.1,17.3,6
HR,Senior,HQ,3.3,1.1,8.2,2
IT,Middle,Branch,4.2,3.2,3.7,8
Finance,Senior,Remote,2.3,4.9,1.7,2
IT,Senior,HQ,2,1.6,12.2,2
IT,Senior,HQ,4,2.9,5.1,2
IT,Junior,Remote,2.9,4.2,4.6,9
Procurement,Middle,HQ,4.5,3.1,1.2,5
Procurement,Lead,Remote,4,4.6,10.8,6
Sales,Middle,Remote,2,1.6,7.2,1
IT,Senior,Remote,3,3.6,17.6,2
IT,Senior,Remote,1.2,3,0.7,4
Operations,Middle,Branch,1.4,4.8,2.8,8
HR,Lead,Remote,3.6,2.1,7,9
HR,Middle,Branch,1.9,1.1,9.1,4
Sales,Senior,Branch,3,4.5,0.9,3
HR,Middle,Remote,4.9,4.9,9.8,6
Procurement,Senior,Remote,1.7,1.6,7.9,3
Operations,Middle,Remote,1.8,4.6,14.9,3
Finance,Middle,Remote,3.3,2.6,4.8,5
Operations,Lead,Branch,3,2.5,13.6,7
Finance,Lead,Remote,2.8,1.7,12.5,4
Operations,Lead,Branch,4.1,2.2,17.9,9
Operations,Senior,Remote,3.8,2.2,8.8,8
Sales,Senior,Remote,1.2,1.8,11.1,8
IT,Middle,Branch,5,1.9,4,3
Operations,Senior,Remote,1,1.4,16.9,6
Operations,Senior,HQ,1.1,3.7,14.2,1
IT,Middle,HQ,3.6,3.2,11.5,3
Finance,Junior,HQ,2.7,4.6,4.3,4
HR,Middle,Branch,4.3,3.7,5.2,6
IT,Lead,Branch,1.7,2.9,5.3,1
Procurement,Senior,Branch,1.5,3.4,11.9,3
Sales,Lead,Remote,1.6,2.9,3.9,2
Sales,Lead,HQ,3.2,2.8,4.7,9
Procurement,Middle,Branch,1.3,2.5,12.9,7
Operations,Middle,Remote,3.4,5,0.3,9
HR,Senior,Branch,2.6,3,3.1,8
Sales,Lead,HQ,2.8,3.6,4.9,4
HR,Lead,Remote,4,3.9,8.5,7
IT,Middle,Branch,3.6,2.1,12.7,3
Procurement,Senior,HQ,3.8,1.7,8,4
Finance,Middle,Branch,1.6,2.9,16.1,3
HR,Senior,Branch,3,1.1,1.7,6
Finance,Senior,Branch,2,3.6,9.6,3
HR,Middle,HQ,1.9,5,7,9
IT,Junior,Branch,3.9,4.7,3.3,6
Finance,Lead,Branch,4.6,4.9,5.1,7
IT,Middle,HQ,4.3,3.5,1.4,7
Operations,Senior,Remote,4.2,4.3,13.4,4
Sales,Junior,Branch,2.3,3.2,16.8,8
IT,Junior,HQ,4,1.8,8.7,6
HR,Lead,HQ,4.8,3.9,2.2,1
Sales,Lead,Branch,1.7,2.8,4.5,5
HR,Lead,Remote,1.6,2.6,16.2,1
IT,Middle,Branch,2.9,2.5,17.5,8
Finance,Lead,Remote,4.1,1.1,4.9,8
IT,Lead,Branch,4,1.6,15.8,5
Finance,Lead,Branch,4.6,1.6,9.2,3
Procurement,Lead,HQ,5,2.6,17.6,2
Sales,Middle,Remote,2.6,2.4,9.6,8
Sales,Lead,Branch,2,2.2,10,6
HR,Senior,HQ,3.2,1.5,6.5,2
HR,Lead,Branch,3.4,1.9,12,2
Sales,Lead,HQ,4.6,4.8,10.1,6
Finance,Senior,Branch,3.4,3.5,8.5,1
Sales,Senior,Branch,1.6,4,5.7,2
Sales,Middle,Branch,3.9,2.8,6.5,5
Sales,Junior,Remote,1.7,1.9,15.2,5
Procurement,Middle,Branch,1.1,4.3,5.2,7
Finance,Senior,HQ,3.8,3.6,2.3,8
IT,Junior,HQ,4.1,2,5.3,3
Sales,Lead,Branch,4.6,5,6.8,3
Sales,Lead,HQ,4.7,1.9,16.7,1
Sales,Junior,Branch,2.9,2.6,8.9,2
Procurement,Lead,Remote,2.7,1.5,5.4,9
Sales,Middle,Branch,3.5,4.1,16.7,1
Operations,Lead,HQ,2.3,2.1,1.8,6
Sales,Senior,Remote,1.1,3.7,3.7,6
Operations,Junior,HQ,3.4,4.5,7.4,2
HR,Lead,Remote,3.7,2.4,13.8,6
Operations,Junior,Remote,2.1,4.7,7,5
HR,Junior,Remote,4.3,3,16.4,1
Operations,Lead,Branch,3.5,4,5.6,3
Procurement,Middle,Remote,1.2,4.5,8.9,2
IT,Middle,Branch,1.8,1.3,4.8,9
Operations,Senior,Branch,1.8,1.1,8.7,7
Procurement,Senior,Branch,1.7,2.8,6.1,5
IT,Junior,HQ,2,3.9,12,2
HR,Lead,Remote,4.6,4.9,11.6,6
Operations,Lead,Branch,2.4,4.9,10,4
Sales,Junior,Branch,3.4,4.6,17.4,9
Sales,Junior,Remote,4.2,2.1,13.9,2
Procurement,Lead,HQ,2.5,3.5,9.1,7
Sales,Middle,Remote,4.1,4.4,6.1,9
Sales,Middle,Remote,3.2,2.5,10,3
Sales,Junior,HQ,1.7,2.4,5.6,4
Procurement,Lead,HQ,2.3,4.6,11.7,3
Finance,Junior,HQ,4.6,3.1,7.7,1
Procurement,Lead,Remote,4.1,3.5,17.8,3
IT,Junior,HQ,4.7,3.6,11.8,6
Sales,Senior,HQ,2.6,4.9,10.7,9
Finance,Lead,HQ,2.3,4.3,5.9,3
HR,Middle,Branch,4.8,2.3,13.2,5
Operations,Senior,Remote,1.1,1.6,5,4
HR,Lead,Remote,2,3.3,11.4,3
Procurement,Senior,HQ,3.6,1.4,17.4,5
Operations,Junior,Branch,1.4,2.2,5.6,2
IT,Junior,HQ,4.3,2.8,1.3,9
IT,Junior,Branch,1.6,2.5,1,4
Sales,Senior,Remote,1.9,1.4,15.8,2
HR,Middle,Branch,1.2,3.4,15.5,7
Sales,Lead,Remote,3.9,1.7,8.8,6
Sales,Junior,HQ,2.9,2.5,1.3,2
Finance,Middle,HQ,3.5,2.3,13.3,7
Sales,Lead,Remote,2.5,4.6,11.8,4
Sales,Senior,Remote,4.6,3,14.4,5
Sales,Senior,Remote,1.4,4.6,16.1,9
Operations,Senior,HQ,3.4,1.4,3.6,6
IT,Senior,HQ,3.9,4.4,10.5,2
Procurement,Senior,HQ,3.1,1.1,6.1,7
HR,Lead,Remote,3.3,3.8,7.2,4
IT,Senior,HQ,3.8,4.5,14.7,7
HR,Lead,HQ,1,4.1,6.7,9
Sales,Middle,HQ,4.7,4,3,6
Finance,Senior,Branch,4.1,1.2,1.3,6
Sales,Junior,Remote,2.8,3.8,10.7,1
IT,Middle,Remote,4.5,4.2,2.1,8
HR,Middle,Branch,2,4.6,6.5,4
Sales,Junior,Branch,3.5,1.4,8.3,8
Sales,Senior,Remote,1.2,3.9,3,5
IT,Senior,Remote,3.6,2.9,7.4,4
Sales,Junior,HQ,1.4,3.9,3.7,2
Sales,Lead,Remote,3.4,4.5,16.8,3
Sales,Junior,Branch,4.5,1,5.8,8
Sales,Middle,Remote,1.6,3.6,14.3,7
Sales,Senior,HQ,1,3.1,8.4,2
HR,Lead,HQ,3.7,4.3,8.8,2
Procurement,Senior,Remote,2.5,3.5,14.6,7
Sales,Senior,Branch,4.4,3.8,11.1,4
IT,Senior,HQ,4.5,3.2,2.8,1
Sales,Senior,HQ,3.1,1,9.3,6
Sales,Senior,Remote,2.7,1.4,14.8,1
Procurement,Middle,Remote,3.3,4.1,1.3,7
Operations,Senior,Remote,3.2,2.8,2.4,2
Procurement,Senior,HQ,3.5,1.3,7.8,5
IT,Senior,Remote,1.6,2,9.2,9
Procurement,Junior,HQ,4.7,1.1,3.1,6
IT,Lead,Branch,3.9,4,6.7,9
Operations,Middle,Branch,4.8,2.9,8.3,8
Finance,Lead,HQ,2.3,1.8,5.9,5
IT,Middle,HQ,2.8,4.4,4.8,1
HR,Lead,Branch,2,3.1,1.8,6
Finance,Junior,HQ,1.3,4.2,17,3
HR,Lead,Remote,4.6,3.5,15.1,1
IT,Middle,Branch,4.5,3.6,11.9,4
Procurement,Lead,HQ,3.6,3.9,12.4,4
Operations,Junior,Branch,2.1,2.5,13.4,6
IT,Senior,Remote,1.5,1.6,7.4,6
IT,Lead,Branch,2.9,1,9.4,2
Finance,Senior,Branch,4.2,2.9,12.7,3
Sales,Senior,HQ,1.5,3.2,12.5,1
IT,Senior,Remote,2.2,2.5,5.9,7
IT,Middle,Branch,2.9,1.8,11.2,8
Sales,Lead,Branch,3.8,2.7,15.7,5
Finance,Lead,Remote,3.5,2.6,6.4,7
HR,Junior,Branch,2.2,3.5,9.4,3
Operations,Senior,Remote,1.2,2.5,2.7,1
Operations,Senior,Remote,4.6,4.8,2.7,7
Finance,Junior,Remote,4.8,4,11.6,6
Operations,Middle,HQ,3.8,4.7,16.6,5
Operations,Junior,Branch,3.9,1.8,8.5,3
Sales,Middle,HQ,1.2,1.3,3.5,5
Sales,Senior,HQ,2.1,1,4.3,6
IT,Senior,Branch,3.8,1.7,17.8,4
Finance,Middle,HQ,4.7,4.8,15.8,1
Sales,Lead,Branch,4.2,1,4.7,1
Finance,Lead,Remote,2.7,3.1,6.2,5
IT,Middle,Branch,1.1,4.1,5.5,4
Sales,Junior,Branch,1.9,1.5,13.4,7
Sales,Middle,HQ,2.2,3.9,10.8,9
Procurement,Lead,HQ,1.3,1.2,15.8,6
Operations,Junior,HQ,1.8,5,14.4,2
Sales,Lead,Branch,2.3,2.9,14.5,6
Operations,Middle,Remote,1.9,4.3,15,4
Finance,Senior,Remote,2.2,4.6,15.2,9
Finance,Middle,Remote,1.2,1.8,2.5,8
Procurement,Middle,Remote,4.1,1.1,6.4,6
IT,Middle,HQ,3.3,3.7,5.3,5
IT,Lead,HQ,4,1.6,15.4,4
HR,Junior,Remote,2.6,1.3,15.1,8
Procurement,Senior,HQ,3.7,3.5,14.2,9
HR,Junior,Branch,4.8,3.3,16.1,3
IT,Junior,HQ,1.3,1.4,9.5,4
IT,Senior,HQ,2.4,3.9,3.5,4
Procurement,Lead,HQ,4.3,4.6,5.1,3
Finance,Lead,HQ,1.4,2.5,9.9,7
Procurement,Junior,Remote,2.8,1.4,12.7,2
Procurement,Middle,HQ,2.1,2,11.3,4
Finance,Junior,Remote,2.1,4.7,11,3
Procurement,Senior,HQ,1.8,1.8,14.9,2
Finance,Lead,Remote,1.5,1.8,0.6,8
Operations,Lead,Remote,5,3.8,3.2,7
HR,Senior,HQ,3.2,3.9,11.3,9
Finance,Junior,Branch,1.1,4.8,1.1,8
HR,Junior,Branch,3.1,3.1,16,3
Sales,Lead,Branch,3.9,1.2,15,6
Sales,Senior,Branch,3.1,2.2,5.9,9
Procurement,Senior,Branch,1.3,2.5,4.6,1
Procurement,Senior,HQ,3,1.4,0.9,8
IT,Middle,Branch,2.1,1.8,14.7,6
Sales,Junior,HQ,1.3,4.1,11.7,4
Finance,Junior,Branch,4,3.7,4.5,5
Finance,Lead,HQ,4,1.5,13.5,5
Operations,Senior,HQ,1.2,4.6,12.3,1
IT,Junior,Branch,3.6,4.4,12.3,6
Procurement,Lead,Remote,3.9,3.7,6.8,5
Finance,Junior,Remote,1.3,4.5,5.4,4
Sales,Junior,Remote,2.5,5,3.6,6
IT,Lead,Remote,3,2.4,7.6,3
IT,Junior,Remote,3.5,1.5,3.4,9
Sales,Senior,HQ,2,2,16.4,3
Operations,Junior,HQ,2.2,4,11.5,1
Finance,Lead,HQ,3.6,1.3,2,4
Procurement,Senior,Remote,4.2,3.4,14.1,5
Procurement,Junior,HQ,1.1,3.5,16.2,4
Procurement,Lead,HQ,4.3,2,8.3,2
Operations,Junior,HQ,1.2,4.6,3.7,6
Sales,Lead,Branch,3.5,4.5,11.8,2
HR,Lead,HQ,2,3.7,4.4,1
Finance,Junior,Branch,2.2,1.9,6.9,9
Finance,Middle,HQ,3.8,2.4,7.9,3
Finance,Senior,HQ,1.2,3.6,8.1,2
IT,Middle,HQ,4.5,4.7,4.5,8
Operations,Junior,Remote,3.3,3.4,17.7,9
Operations,Lead,Remote,4.6,2.7,16.8,8
HR,Lead,HQ,3.3,2.8,17.7,9
Procurement,Middle,HQ,4.2,3.2,14.6,8
IT,Senior,Remote,4,4.4,11.4,8
IT,Senior,HQ,1.9,1.7,9.7,3
HR,Junior,Remote,4.8,2.9,16.8,6
Finance,Junior,HQ,2,1.1,15.3,6
