Дата;Филиал;Менеджер;Продукт;Количество;Выручка;Себестоимость;Маржинальность
01.01.2025;Санкт-Петербург;L. Chen;Тариф Базовый;35;1 563 557,54;948 787,02;39,3%
22.07.2025;Москва;D. Orlov;Доп. место;31;514 927,28;412 719,10;19,8%
04.02.2025;Москва;M. Ivanova;Тариф Про;2;16 034,79;11 401,77;28,9%
28.04.2025;Санкт-Петербург;D. Orlov;Тариф Про;38;618 408,65;427 189,89;30,9%
08.05.2025;Екатеринбург;S. Kim;Тариф Базовый;4;37 347,61;16 394,80;56,1%
02.06.2025;Москва;S. Kim;Тариф Базовый;7;243 347,16;126 940,06;47,8%
25.02.2025;Новосибирск;S. Kim;Тариф Про;8;37 705,34;25 457,46;32,5%
19.03.2025;Казань;S. Kim;Тариф Команда;12;380 866,93;270 681,19;28,9%
15.01.2025;Новосибирск;D. Orlov;Тариф Команда;26;573 804,37;315 161,05;45,1%
05.05.2025;Санкт-Петербург;M. Ivanova;Доп. место;37;287 701,41;153 569,97;46,6%
04.07.2025;Казань;R. Silva;Тариф Команда;25;180 026,63;82 985,27;53,9%
09.09.2025;Казань;M. Ivanova;Тариф Про;35;484 627,55;408 087,98;15,8%
30.03.2025;Новосибирск;S. Kim;Тариф Базовый;5;220 645,20;141 885,43;35,7%
23.05.2025;Новосибирск;S. Kim;Тариф Базовый;4;38 936,88;21 314,03;45,3%
06.02.2025;Санкт-Петербург;L. Chen;Тариф Про;27;990 574,82;521 929,64;47,3%
01.01.2025;Новосибирск;M. Ivanova;Доп. место;26;314 652,21;168 468,74;46,5%
01.09.2025;Казань;A. Petrov;Тариф Про;13;365 025,84;194 767,16;46,6%
10.08.2025;Москва;S. Kim;Доп. место;7;178 421,28;101 036,36;43,4%
04.06.2025;Новосибирск;M. Ivanova;Тариф Базовый;35;1 269 378,08;792 531,32;37,6%
15.02.2025;Казань;L. Chen;Тариф Базовый;22;93 833,71;70 252,15;25,1%
09.06.2025;Москва;D. Orlov;Тариф Про;2;73 698,06;43 354,48;41,2%
16.02.2025;Санкт-Петербург;S. Kim;Тариф Команда;15;609 107,32;369 803,59;39,3%
09.04.2025;Санкт-Петербург;L. Chen;Тариф Команда;15;307 115,11;242 561,56;21,0%
24.01.2025;Екатеринбург;S. Kim;Доп. место;3;26 156,90;11 231,58;57,1%
06.08.2025;Казань;R. Silva;Тариф Про;36;1 226 466,29;626 293,86;48,9%
17.08.2025;Москва;R. Silva;Доп. место;14;603 363,65;253 845,60;57,9%
29.06.2025;Москва;R. Silva;Доп. место;25;1 039 997,19;614 524,99;40,9%
01.08.2025;Новосибирск;R. Silva;Доп. место;11;429 883,65;251 917,51;41,4%
08.02.2025;Казань;R. Silva;Тариф Базовый;24;641 967,15;293 967,77;54,2%
22.02.2025;Екатеринбург;S. Kim;Тариф Про;19;119 262,35;83 090,47;30,3%
06.05.2025;Казань;M. Ivanova;Доп. место;33;1 274 761,92;668 543,24;47,6%
17.10.2025;Казань;D. Orlov;Тариф Про;35;1 533 018,94;669 102,88;56,4%
23.10.2025;Санкт-Петербург;S. Kim;Тариф Команда;20;335 282,07;202 150,20;39,7%
07.01.2025;Новосибирск;D. Orlov;Тариф Базовый;9;228 100,77;144 863,70;36,5%
28.05.2025;Санкт-Петербург;L. Chen;Тариф Про;12;418 759,11;183 706,06;56,1%
13.04.2025;Екатеринбург;S. Kim;Тариф Команда;9;393 318,86;297 891,94;24,3%
29.06.2025;Москва;M. Ivanova;Тариф Про;23;934 150,10;673 939,10;27,9%
25.04.2025;Новосибирск;S. Kim;Тариф Про;37;114 928,72;82 164,02;28,5%
26.10.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;19;828 368,38;390 439,02;52,9%
20.02.2025;Новосибирск;S. Kim;Тариф Базовый;24;757 256,66;560 601,31;26,0%
18.02.2025;Москва;R. Silva;Тариф Базовый;26;996 973,14;660 185,51;33,8%
29.06.2025;Новосибирск;D. Orlov;Тариф Команда;11;493 677,31;390 247,30;21,0%
25.01.2025;Екатеринбург;S. Kim;Тариф Базовый;6;203 080,59;113 761,23;44,0%
26.06.2025;Новосибирск;D. Orlov;Тариф Базовый;39;1 032 821,74;555 995,44;46,2%
10.10.2025;Екатеринбург;A. Petrov;Тариф Команда;7;37 214,38;15 668,95;57,9%
20.01.2025;Санкт-Петербург;L. Chen;Тариф Команда;29;761 298,77;304 723,85;60,0%
13.06.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;7;214 870,75;142 485,05;33,7%
16.03.2025;Новосибирск;R. Silva;Доп. место;14;204 717,73;151 330,44;26,1%
16.02.2025;Санкт-Петербург;A. Petrov;Доп. место;23;324 247,72;136 050,83;58,0%
26.09.2025;Казань;A. Petrov;Доп. место;40;1 008 117,49;561 929,98;44,3%
22.03.2025;Москва;L. Chen;Доп. место;15;223 887,33;147 847,76;34,0%
13.10.2025;Новосибирск;M. Ivanova;Тариф Команда;25;427 613,68;329 313,17;23,0%
10.03.2025;Новосибирск;A. Petrov;Тариф Про;5;24 405,51;19 708,98;19,2%
20.07.2025;Екатеринбург;R. Silva;Тариф Команда;40;1 361 649,56;820 345,86;39,8%
08.05.2025;Екатеринбург;D. Orlov;Тариф Базовый;33;1 222 625,64;503 514,15;58,8%
22.04.2025;Москва;S. Kim;Доп. место;24;305 124,99;138 482,56;54,6%
10.05.2025;Санкт-Петербург;L. Chen;Тариф Про;31;574 462,99;438 780,68;23,6%
17.06.2025;Екатеринбург;S. Kim;Тариф Про;11;290 726,55;230 145,70;20,8%
09.09.2025;Екатеринбург;L. Chen;Тариф Команда;5;73 796,00;32 009,01;56,6%
28.02.2025;Екатеринбург;A. Petrov;Тариф Базовый;26;283 224,76;238 204,34;15,9%
08.10.2025;Екатеринбург;R. Silva;Тариф Команда;27;545 008,13;313 572,42;42,5%
01.02.2025;Казань;M. Ivanova;Тариф Про;10;228 865,51;166 216,76;27,4%
20.06.2025;Екатеринбург;S. Kim;Доп. место;3;71 624,12;60 085,50;16,1%
02.09.2025;Москва;M. Ivanova;Тариф Базовый;26;1 137 846,64;521 698,60;54,2%
29.01.2025;Новосибирск;S. Kim;Тариф Базовый;6;117 023,68;92 103,39;21,3%
18.01.2025;Москва;S. Kim;Тариф Про;28;878 457,71;534 262,59;39,2%
04.02.2025;Санкт-Петербург;L. Chen;Тариф Базовый;6;141 101,60;68 025,70;51,8%
23.03.2025;Санкт-Петербург;R. Silva;Тариф Базовый;5;4 547,05;2 083,35;54,2%
07.01.2025;Екатеринбург;M. Ivanova;Тариф Команда;10;409 714,68;282 132,12;31,1%
10.05.2025;Москва;R. Silva;Тариф Базовый;2;38 616,46;19 139,44;50,4%
16.06.2025;Москва;M. Ivanova;Тариф Базовый;14;223 645,91;150 385,07;32,8%
24.05.2025;Екатеринбург;D. Orlov;Тариф Про;5;196 730,57;113 029,71;42,5%
25.01.2025;Новосибирск;S. Kim;Доп. место;16;718 764,31;403 888,49;43,8%
02.06.2025;Москва;D. Orlov;Доп. место;32;435 775,48;256 945,94;41,0%
10.04.2025;Москва;R. Silva;Тариф Про;14;285 251,14;134 148,28;53,0%
23.06.2025;Екатеринбург;D. Orlov;Тариф Про;7;206 623,14;163 853,52;20,7%
14.07.2025;Екатеринбург;R. Silva;Тариф Базовый;14;84 378,86;45 828,76;45,7%
23.05.2025;Санкт-Петербург;A. Petrov;Доп. место;18;663 902,03;436 541,30;34,2%
19.01.2025;Екатеринбург;D. Orlov;Тариф Базовый;11;347 550,42;168 800,65;51,4%
04.10.2025;Новосибирск;M. Ivanova;Доп. место;26;101 012,02;42 352,21;58,1%
08.04.2025;Екатеринбург;S. Kim;Тариф Про;21;98 892,32;40 140,63;59,4%
31.08.2025;Казань;M. Ivanova;Тариф Про;32;1 299 010,80;569 915,16;56,1%
01.05.2025;Екатеринбург;S. Kim;Тариф Команда;19;397 693,55;169 543,06;57,4%
17.05.2025;Екатеринбург;A. Petrov;Тариф Базовый;26;1 105 256,84;511 189,73;53,7%
14.05.2025;Екатеринбург;D. Orlov;Тариф Базовый;35;1 203 626,16;690 762,31;42,6%
15.02.2025;Москва;S. Kim;Доп. место;10;356 003,78;249 254,59;30,0%
28.02.2025;Екатеринбург;D. Orlov;Тариф Базовый;20;170 182,43;78 816,91;53,7%
22.09.2025;Новосибирск;S. Kim;Тариф Про;6;10 086,54;4 543,56;55,0%
16.04.2025;Казань;A. Petrov;Доп. место;40;674 396,69;331 083,35;50,9%
07.07.2025;Новосибирск;S. Kim;Доп. место;39;724 009,12;342 036,07;52,8%
31.07.2025;Санкт-Петербург;R. Silva;Тариф Базовый;29;901 445,65;730 156,87;19,0%
25.04.2025;Санкт-Петербург;D. Orlov;Доп. место;21;413 264,33;313 640,67;24,1%
21.10.2025;Санкт-Петербург;A. Petrov;Тариф Про;18;155 677,31;86 430,41;44,5%
12.07.2025;Екатеринбург;D. Orlov;Тариф Команда;36;1 299 906,15;995 617,52;23,4%
16.03.2025;Москва;R. Silva;Тариф Про;13;439 945,74;264 676,29;39,8%
03.03.2025;Казань;R. Silva;Тариф Команда;38;621 779,35;395 488,04;36,4%
14.08.2025;Москва;D. Orlov;Тариф Базовый;28;225 420,62;123 691,92;45,1%
01.01.2025;Санкт-Петербург;D. Orlov;Тариф Про;1;20 221,20;12 462,53;38,4%
26.01.2025;Новосибирск;R. Silva;Доп. место;3;19 488,86;13 560,49;30,4%
04.07.2025;Москва;A. Petrov;Тариф Про;15;538 094,01;225 830,01;58,0%
29.09.2025;Казань;S. Kim;Тариф Про;23;689 727,81;329 800,08;52,2%
15.02.2025;Москва;L. Chen;Доп. место;36;348 451,51;249 666,03;28,3%
30.07.2025;Казань;S. Kim;Тариф Про;20;338 416,38;137 346,10;59,4%
30.09.2025;Москва;D. Orlov;Доп. место;11;145 663,07;84 889,45;41,7%
08.08.2025;Москва;M. Ivanova;Тариф Про;28;207 935,41;173 140,89;16,7%
09.04.2025;Новосибирск;D. Orlov;Доп. место;14;422 508,12;234 419,41;44,5%
12.05.2025;Екатеринбург;L. Chen;Тариф Про;20;525 577,31;238 504,76;54,6%
06.04.2025;Москва;S. Kim;Тариф Команда;5;18 415,15;11 519,33;37,4%
22.06.2025;Екатеринбург;L. Chen;Тариф Про;6;43 238,60;20 958,39;51,5%
11.01.2025;Новосибирск;A. Petrov;Тариф Базовый;31;1 081 873,75;464 824,47;57,0%
10.07.2025;Новосибирск;S. Kim;Тариф Про;2;85 636,50;64 028,27;25,2%
10.03.2025;Санкт-Петербург;L. Chen;Тариф Про;36;439 813,79;241 286,25;45,1%
01.04.2025;Екатеринбург;L. Chen;Тариф Команда;17;480 648,14;406 326,96;15,5%
14.03.2025;Новосибирск;L. Chen;Доп. место;11;284 393,12;207 296,01;27,1%
11.05.2025;Новосибирск;M. Ivanova;Тариф Команда;33;581 049,60;324 121,15;44,2%
23.04.2025;Екатеринбург;S. Kim;Доп. место;21;79 266,81;56 944,10;28,2%
04.04.2025;Москва;M. Ivanova;Тариф Базовый;26;1 090 669,66;773 709,60;29,1%
20.08.2025;Екатеринбург;R. Silva;Доп. место;27;1 021 134,74;522 408,87;48,8%
09.03.2025;Новосибирск;S. Kim;Тариф Про;28;701 596,00;370 478,27;47,2%
24.08.2025;Новосибирск;A. Petrov;Тариф Про;12;434 940,91;275 494,39;36,7%
05.09.2025;Санкт-Петербург;S. Kim;Доп. место;13;418 710,68;189 576,27;54,7%
03.01.2025;Екатеринбург;A. Petrov;Тариф Команда;24;528 051,56;239 085,86;54,7%
28.03.2025;Санкт-Петербург;L. Chen;Доп. место;32;1 255 006,71;891 319,49;29,0%
01.09.2025;Казань;S. Kim;Тариф Команда;26;572 283,81;303 368,14;47,0%
23.03.2025;Казань;D. Orlov;Доп. место;6;210 053,84;91 525,01;56,4%
28.06.2025;Казань;R. Silva;Тариф Про;5;26 824,11;21 136,13;21,2%
15.01.2025;Казань;R. Silva;Тариф Базовый;17;606 412,20;326 142,50;46,2%
16.04.2025;Москва;S. Kim;Тариф Про;4;92 663,45;60 224,39;35,0%
16.01.2025;Екатеринбург;L. Chen;Доп. место;39;1 331 182,35;1 061 302,95;20,3%
05.05.2025;Екатеринбург;S. Kim;Доп. место;15;371 948,61;262 532,01;29,4%
03.03.2025;Москва;R. Silva;Тариф Команда;11;340 953,24;185 045,05;45,7%
29.04.2025;Санкт-Петербург;D. Orlov;Тариф Про;40;1 350 987,62;816 968,41;39,5%
09.10.2025;Санкт-Петербург;D. Orlov;Тариф Команда;37;324 368,62;191 758,55;40,9%
02.01.2025;Москва;L. Chen;Доп. место;29;1 035 717,02;488 664,33;52,8%
27.05.2025;Екатеринбург;R. Silva;Доп. место;30;126 626,54;54 047,76;57,3%
10.09.2025;Казань;D. Orlov;Тариф Команда;15;50 568,26;36 142,38;28,5%
07.05.2025;Москва;M. Ivanova;Доп. место;32;659 881,57;367 985,34;44,2%
04.03.2025;Москва;A. Petrov;Тариф Базовый;9;24 608,76;11 970,38;51,4%
24.09.2025;Екатеринбург;A. Petrov;Доп. место;14;558 203,21;378 317,01;32,2%
28.01.2025;Москва;S. Kim;Тариф Команда;13;303 070,50;137 352,34;54,7%
21.02.2025;Москва;D. Orlov;Тариф Команда;19;74 115,12;38 716,66;47,8%
27.05.2025;Санкт-Петербург;R. Silva;Тариф Команда;7;242 950,83;114 795,17;52,7%
08.04.2025;Новосибирск;L. Chen;Доп. место;10;431 156,91;188 295,62;56,3%
18.03.2025;Новосибирск;M. Ivanova;Тариф Базовый;27;901 850,64;542 860,23;39,8%
20.05.2025;Екатеринбург;D. Orlov;Тариф Команда;34;77 902,79;52 925,62;32,1%
15.01.2025;Екатеринбург;S. Kim;Тариф Базовый;29;281 685,08;183 137,75;35,0%
29.05.2025;Санкт-Петербург;R. Silva;Тариф Про;9;11 741,58;4 783,45;59,3%
04.09.2025;Москва;M. Ivanova;Доп. место;19;622 049,17;494 466,68;20,5%
31.05.2025;Санкт-Петербург;M. Ivanova;Тариф Про;39;459 777,52;375 941,78;18,2%
27.04.2025;Санкт-Петербург;S. Kim;Тариф Про;12;312 361,66;152 380,11;51,2%
10.05.2025;Санкт-Петербург;A. Petrov;Доп. место;3;88 069,70;52 371,55;40,5%
17.02.2025;Новосибирск;L. Chen;Тариф Базовый;34;1 314 368,66;947 265,26;27,9%
13.10.2025;Москва;S. Kim;Тариф Про;12;475 829,85;217 075,28;54,4%
03.09.2025;Екатеринбург;R. Silva;Доп. место;15;360 930,24;231 090,74;36,0%
23.10.2025;Санкт-Петербург;S. Kim;Тариф Команда;32;178 184,68;102 004,34;42,8%
20.09.2025;Москва;M. Ivanova;Тариф Команда;7;254 943,21;190 423,72;25,3%
26.08.2025;Екатеринбург;M. Ivanova;Тариф Команда;14;60 641,89;39 056,73;35,6%
28.08.2025;Санкт-Петербург;S. Kim;Доп. место;8;59 494,31;38 482,84;35,3%
02.10.2025;Санкт-Петербург;L. Chen;Доп. место;14;95 085,74;63 993,67;32,7%
26.05.2025;Новосибирск;R. Silva;Тариф Команда;27;819 707,35;567 147,13;30,8%
01.09.2025;Москва;L. Chen;Доп. место;12;534 915,92;408 371,94;23,7%
07.07.2025;Москва;S. Kim;Тариф Базовый;34;1 272 915,04;749 266,88;41,1%
02.09.2025;Екатеринбург;L. Chen;Тариф Базовый;14;551 597,97;380 237,38;31,1%
12.07.2025;Санкт-Петербург;A. Petrov;Доп. место;2;76 227,23;49 721,00;34,8%
07.07.2025;Казань;L. Chen;Тариф Базовый;39;1 743 975,45;1 418 425,78;18,7%
05.01.2025;Москва;R. Silva;Доп. место;17;183 964,91;138 079,67;24,9%
11.08.2025;Новосибирск;A. Petrov;Тариф Базовый;3;119 977,69;70 604,86;41,2%
08.06.2025;Екатеринбург;S. Kim;Доп. место;17;627 163,67;375 462,99;40,1%
12.05.2025;Новосибирск;R. Silva;Тариф Про;38;1 214 509,74;811 309,59;33,2%
30.04.2025;Казань;M. Ivanova;Доп. место;32;651 000,99;308 673,56;52,6%
03.05.2025;Москва;D. Orlov;Тариф Базовый;4;46 160,47;33 115,71;28,3%
20.01.2025;Москва;D. Orlov;Тариф Команда;17;245 383,13;126 408,13;48,5%
26.10.2025;Москва;S. Kim;Тариф Про;4;103 980,88;63 595,24;38,8%
14.01.2025;Казань;D. Orlov;Тариф Про;8;197 855,26;166 262,70;16,0%
01.02.2025;Екатеринбург;L. Chen;Тариф Команда;37;1 438 048,34;793 153,51;44,8%
20.03.2025;Екатеринбург;M. Ivanova;Доп. место;9;105 761,72;58 881,56;44,3%
15.05.2025;Санкт-Петербург;S. Kim;Тариф Базовый;10;71 292,10;59 253,39;16,9%
25.02.2025;Казань;A. Petrov;Тариф Команда;33;1 399 789,41;916 022,18;34,6%
25.02.2025;Москва;S. Kim;Тариф Команда;6;152 614,65;93 348,13;38,8%
04.06.2025;Екатеринбург;D. Orlov;Тариф Базовый;35;723 670,49;363 365,00;49,8%
03.01.2025;Казань;M. Ivanova;Доп. место;7;15 758,64;11 320,94;28,2%
13.09.2025;Екатеринбург;R. Silva;Тариф Команда;10;379 796,63;281 776,64;25,8%
02.03.2025;Казань;S. Kim;Тариф Команда;31;1 253 197,79;1 040 111,00;17,0%
30.05.2025;Екатеринбург;R. Silva;Тариф Базовый;15;524 228,63;267 999,27;48,9%
11.07.2025;Екатеринбург;L. Chen;Доп. место;32;939 319,02;538 188,99;42,7%
09.09.2025;Санкт-Петербург;L. Chen;Тариф Про;17;177 170,34;107 963,25;39,1%
24.06.2025;Москва;M. Ivanova;Тариф Команда;25;1 022 848,11;463 978,46;54,6%
14.04.2025;Санкт-Петербург;L. Chen;Доп. место;18;303 583,74;194 951,85;35,8%
12.07.2025;Новосибирск;D. Orlov;Тариф Про;24;397 027,64;284 035,00;28,5%
14.05.2025;Екатеринбург;S. Kim;Доп. место;4;168 648,20;80 530,83;52,2%
03.04.2025;Москва;M. Ivanova;Тариф Команда;27;1 110 755,60;714 481,76;35,7%
08.05.2025;Москва;A. Petrov;Тариф Базовый;31;813 896,98;557 687,97;31,5%
26.06.2025;Москва;A. Petrov;Тариф Про;37;217 556,00;105 166,91;51,7%
27.06.2025;Москва;S. Kim;Тариф Команда;32;177 324,90;121 972,15;31,2%
20.03.2025;Казань;D. Orlov;Тариф Про;34;870 583,42;728 275,65;16,3%
15.08.2025;Екатеринбург;R. Silva;Тариф Про;3;75 205,51;32 115,29;57,3%
30.03.2025;Казань;L. Chen;Тариф Про;29;347 067,16;193 154,67;44,3%
16.06.2025;Москва;M. Ivanova;Тариф Команда;26;787 074,20;554 583,43;29,5%
13.08.2025;Новосибирск;L. Chen;Доп. место;33;504 322,72;273 671,35;45,7%
16.06.2025;Москва;D. Orlov;Тариф Про;18;612 504,50;408 031,80;33,4%
30.05.2025;Москва;L. Chen;Тариф Базовый;32;1 179 727,02;718 859,59;39,1%
25.05.2025;Москва;S. Kim;Доп. место;1;22 179,92;13 085,01;41,0%
17.04.2025;Екатеринбург;R. Silva;Тариф Базовый;14;27 465,74;14 204,84;48,3%
05.04.2025;Санкт-Петербург;S. Kim;Доп. место;18;671 627,87;283 614,87;57,8%
04.05.2025;Екатеринбург;M. Ivanova;Тариф Про;4;109 514,13;71 760,63;34,5%
27.10.2025;Санкт-Петербург;A. Petrov;Тариф Команда;2;63 145,59;36 581,87;42,1%
04.03.2025;Санкт-Петербург;R. Silva;Тариф Про;25;680 570,17;543 114,99;20,2%
23.06.2025;Казань;M. Ivanova;Доп. место;5;143 050,71;98 502,60;31,1%
23.03.2025;Казань;L. Chen;Тариф Базовый;38;1 036 223,02;850 716,08;17,9%
18.02.2025;Санкт-Петербург;S. Kim;Доп. место;7;288 356,88;208 087,45;27,8%
01.02.2025;Казань;D. Orlov;Доп. место;23;648 550,49;397 687,57;38,7%
10.06.2025;Казань;S. Kim;Тариф Про;34;184 840,99;85 086,37;54,0%
19.07.2025;Санкт-Петербург;A. Petrov;Тариф Про;22;582 203,76;432 038,56;25,8%
13.01.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;16;124 199,23;68 840,01;44,6%
05.08.2025;Екатеринбург;M. Ivanova;Тариф Базовый;36;984 188,16;442 650,11;55,0%
26.10.2025;Новосибирск;D. Orlov;Тариф Базовый;27;234 696,05;105 239,82;55,2%
26.01.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;36;1 149 161,83;488 106,55;57,5%
01.05.2025;Москва;M. Ivanova;Доп. место;8;229 195,84;150 207,77;34,5%
29.03.2025;Новосибирск;L. Chen;Тариф Базовый;13;146 051,26;102 043,32;30,1%
31.05.2025;Екатеринбург;S. Kim;Тариф Про;39;519 105,51;369 041,29;28,9%
27.06.2025;Казань;D. Orlov;Тариф Базовый;34;675 549,57;378 858,39;43,9%
23.04.2025;Новосибирск;M. Ivanova;Тариф Команда;14;156 165,30;91 709,81;41,3%
07.10.2025;Новосибирск;M. Ivanova;Доп. место;2;41 136,51;32 994,27;19,8%
30.01.2025;Санкт-Петербург;S. Kim;Доп. место;27;1 074 130,42;696 366,52;35,2%
24.01.2025;Москва;D. Orlov;Тариф Про;32;187 985,59;77 278,11;58,9%
07.04.2025;Санкт-Петербург;L. Chen;Тариф Про;17;660 953,93;378 327,81;42,8%
17.01.2025;Казань;R. Silva;Тариф Команда;38;1 019 041,89;797 870,44;21,7%
06.02.2025;Екатеринбург;S. Kim;Доп. место;7;181 181,37;142 930,81;21,1%
