Order ID,SKU,Postal Code,Store No,Year,Warehouse Bay,Quantity,Amount
100043,SKU-1476,66746,13,2021,142,105,7503.52
100044,SKU-2589,85185,38,2023,94,202,6021.35
100045,SKU-9259,40343,23,2022,153,125,2015.53
100046,SKU-7812,99901,28,2024,130,223,8684.21
100047,SKU-7396,95800,22,2021,195,167,7950.72
100048,SKU-2178,66266,19,2021,60,215,7298.72
100049,SKU-9711,28595,31,2022,7,24,2170.47
100050,SKU-3344,93293,19,2023,104,123,4683.22
100051,SKU-3702,91461,19,2022,180,159,6106.72
100052,SKU-4479,55508,13,2022,46,111,2579.62
100053,SKU-2748,85416,1,2025,159,165,8406.93
100054,SKU-8987,21259,40,2023,146,224,3528.48
100055,SKU-8644,33223,8,2025,159,10,3472.76
100056,SKU-3855,44998,15,2021,7,121,8434.07
100057,SKU-4982,90237,30,2024,197,100,6712.9
100058,SKU-4575,81938,6,2025,27,212,6448.48
100059,SKU-6192,49660,2,2021,211,42,8274.63
100060,SKU-7183,79594,6,2023,210,5,4025.13
100061,SKU-8683,23293,38,2023,129,134,3184.49
100062,SKU-7474,95282,21,2023,100,141,8626.69
100063,SKU-3246,26217,15,2022,199,236,4513.07
100064,SKU-5475,29691,5,2024,117,52,8979.27
100065,SKU-6724,78527,28,2022,210,107,712.16
100066,SKU-1567,87285,12,2021,202,87,2233.6
100067,SKU-6473,86145,21,2024,171,201,7156.21
100068,SKU-8088,81775,17,2024,63,76,2525.73
100069,SKU-7446,25660,3,2021,154,128,8760.85
100070,SKU-7489,78040,18,2023,172,232,6383.11
100071,SKU-9647,42797,1,2022,144,100,3721.82
100072,SKU-2684,47902,25,2022,20,194,8135.42
100073,SKU-2021,17106,22,2025,130,211,3565.46
100074,SKU-5404,82212,40,2022,175,7,2417.87
100075,SKU-9367,96344,14,2025,7,187,8982.41
100076,SKU-1896,28012,5,2025,29,18,7939.17
100077,SKU-4915,92903,11,2021,104,47,1450.76
100078,SKU-7810,99412,26,2024,193,168,6655.39
100079,SKU-5055,95304,17,2022,144,202,8832.17
100080,SKU-4875,78398,3,2022,130,50,1889.78
100081,SKU-9537,88936,2,2021,218,122,1300.93
100082,SKU-3483,44849,10,2024,110,61,6550.68
100083,SKU-4181,55363,3,2025,133,89,718.5
100084,SKU-7408,92244,33,2022,204,167,8687.66
100085,SKU-1407,26106,26,2021,193,130,6127.32
100086,SKU-7218,90652,8,2021,184,35,7330.05
100087,SKU-3316,56966,22,2024,12,51,1784.33
100088,SKU-5119,25485,9,2023,38,247,7320.96
100089,SKU-1693,62795,38,2025,182,83,2554.92
100090,SKU-5032,73837,37,2025,72,32,7663.5
100091,SKU-2321,60712,5,2024,99,182,3014.47
100092,SKU-8513,15389,25,2024,215,12,596.9
100093,SKU-3780,55904,31,2023,122,53,5164.61
100094,SKU-9057,90165,3,2024,111,57,876.8
100095,SKU-7541,23113,8,2022,70,187,7768.5
100096,SKU-5533,78200,32,2025,188,105,589.38
100097,SKU-1423,48511,31,2025,123,159,214.89
100098,SKU-2882,14653,8,2024,145,161,1091.79
100099,SKU-4483,60728,7,2022,220,38,4089.55
100100,SKU-8198,58109,13,2023,201,143,2932.31
100101,SKU-8123,67633,31,2025,152,207,5165.53
100102,SKU-3309,29313,34,2024,25,179,6326.75
100103,SKU-5803,87247,29,2022,125,91,1660.13
100104,SKU-5238,94235,30,2024,155,98,6492.74
100105,SKU-2031,49383,18,2022,183,144,646.92
100106,SKU-2039,27224,5,2022,205,233,8612.47
100107,SKU-4935,33848,13,2022,179,247,2809.57
100108,SKU-1233,75095,35,2025,102,104,1302.59
100109,SKU-7333,56299,8,2025,80,205,192.68
100110,SKU-6749,52343,22,2021,118,166,4475.25
100111,SKU-8405,50250,25,2023,205,7,3034.66
100112,SKU-6939,24779,33,2022,109,120,5921.12
100113,SKU-7495,74895,37,2023,28,96,3485.48
100114,SKU-9064,44594,22,2022,113,181,8191
100115,SKU-3183,32404,39,2022,66,153,5301.69
100116,SKU-8716,35225,40,2022,206,71,5020.45
100117,SKU-7141,89123,13,2022,170,23,973
100118,SKU-6761,77826,18,2024,146,84,3529.63
100119,SKU-6527,31410,20,2023,40,54,4278.67
100120,SKU-1349,96899,4,2021,115,187,4099.66
100121,SKU-7094,74926,4,2023,159,10,4028.69
100122,SKU-5780,46260,11,2021,31,124,6917.32
100123,SKU-5872,46020,34,2025,98,165,1628.83
100124,SKU-1391,59834,28,2021,40,214,3776.89
100125,SKU-5344,22004,11,2024,175,61,6023.93
100126,SKU-9514,30128,7,2022,208,219,8003.58
100127,SKU-3679,35493,15,2021,213,146,3766.65
100128,SKU-3261,78420,14,2021,113,164,8882.44
100129,SKU-1143,46301,27,2021,116,155,5339.86
100130,SKU-6498,98564,38,2022,113,71,2235.56
100131,SKU-2998,82450,30,2025,149,225,5682.15
100132,SKU-4487,88627,21,2025,146,211,4891
100133,SKU-3548,73948,27,2023,131,168,5842.6
100134,SKU-4083,67647,4,2023,180,244,655.9
100135,SKU-1722,14296,37,2024,179,56,4084.33
100136,SKU-5153,38239,5,2024,40,36,8534.52
100137,SKU-7486,95475,30,2021,10,124,5550.6
100138,SKU-8725,15270,27,2022,45,59,206.76
100139,SKU-9585,77031,2,2022,64,235,1706.28
100140,SKU-1693,13792,25,2021,77,18,4557.51
100141,SKU-1164,86406,37,2024,187,92,7119.48
100142,SKU-1944,50836,16,2021,170,166,2617.96
100143,SKU-4656,59625,3,2025,95,154,6479.19
100144,SKU-3778,72188,38,2024,169,101,7438.96
100145,SKU-8129,29451,34,2021,145,147,2689.35
100146,SKU-6778,27757,39,2023,180,7,4870.12
100147,SKU-4888,95374,17,2024,63,52,889.59
100148,SKU-5225,93192,28,2022,8,160,6956.91
100149,SKU-3904,51005,7,2023,154,142,2538.18
100150,SKU-6708,69031,6,2024,68,134,6076.62
100151,SKU-6853,42220,36,2025,32,153,3288.4
100152,SKU-2833,72822,40,2022,54,88,7315.7
100153,SKU-9756,50218,30,2022,113,76,628.77
100154,SKU-2930,82495,29,2022,36,217,6430.41
100155,SKU-3353,59392,26,2021,153,156,1868.03
100156,SKU-5902,30226,33,2025,192,152,4013.31
100157,SKU-9110,26001,34,2021,44,60,6895.65
100158,SKU-3477,59475,37,2025,191,162,1409.53
100159,SKU-7724,37240,17,2021,165,161,2682.27
100160,SKU-1835,39900,8,2021,130,139,2561.34
100161,SKU-6559,95001,23,2024,12,230,5092.37
100162,SKU-2387,46465,34,2023,205,138,1602.76
100163,SKU-3890,81019,8,2021,100,162,7707.2
100164,SKU-9640,29521,1,2023,207,58,6311.44
100165,SKU-3927,38535,24,2021,174,71,3469.37
100166,SKU-7723,79781,6,2024,88,119,7115.87
100167,SKU-4947,92071,19,2023,132,171,1003.1
100168,SKU-8133,39178,14,2021,72,242,4562.07
100169,SKU-5567,76081,35,2024,70,41,7088.31
100170,SKU-1441,87254,38,2021,97,80,392.29
100171,SKU-7059,21698,24,2024,156,30,4207.14
100172,SKU-8937,20794,38,2025,69,67,8099.52
100173,SKU-2661,84519,13,2025,105,109,2946.92
100174,SKU-5144,15295,6,2021,85,95,1452.37
100175,SKU-4345,44652,20,2022,182,3,4882.99
100176,SKU-9407,97120,37,2024,141,8,3261.66
100177,SKU-2411,22656,26,2022,133,196,3997.1
100178,SKU-6604,37882,1,2025,196,133,1705.69
100179,SKU-9921,77555,17,2024,107,162,7105.67
100180,SKU-7054,69202,15,2021,50,128,1451.7
100181,SKU-2962,48726,2,2021,137,1,3407.99
100182,SKU-9704,16423,15,2023,84,114,8044.99
100183,SKU-5499,12355,14,2025,14,136,8199.74
100184,SKU-3909,94335,31,2025,83,68,6553.97
100185,SKU-8623,87632,23,2021,106,170,3717.07
100186,SKU-6810,81386,21,2023,122,50,5691.91
100187,SKU-6333,22485,7,2023,85,215,121.41
100188,SKU-6881,57694,26,2022,166,143,2316.49
100189,SKU-9118,13712,38,2022,27,178,2552.68
100190,SKU-2057,91869,17,2021,72,161,8454
100191,SKU-8248,62816,5,2022,71,219,8879.86
100192,SKU-3122,56461,37,2022,206,2,1868.38
100193,SKU-9783,58245,28,2023,208,150,7628.69
100194,SKU-2325,67786,31,2022,185,198,7005.91
100195,SKU-1897,18002,34,2021,7,112,3300.77
100196,SKU-4612,46652,4,2022,53,232,140.94
100197,SKU-2380,53482,38,2021,128,8,2630.92
100198,SKU-6411,21114,1,2022,44,196,8473.99
100199,SKU-1445,50009,19,2023,20,57,2617.67
100200,SKU-1538,78460,9,2023,137,218,4711.46
100201,SKU-3906,11425,17,2022,21,87,4532.19
100202,SKU-4358,34749,30,2025,64,237,8105.5
100203,SKU-6629,97638,31,2025,123,232,8129.33
100204,SKU-1666,71903,24,2023,53,128,6686.65
100205,SKU-8360,65006,7,2025,133,250,4599.98
100206,SKU-6119,93668,39,2025,110,177,3353.91
100207,SKU-7260,15611,34,2025,87,5,8828.12
100208,SKU-2695,26793,40,2024,190,129,8849.48
100209,SKU-6294,67364,5,2023,119,133,3908.6
100210,SKU-1427,55375,32,2025,83,106,6193.59
100211,SKU-6697,51285,30,2024,193,8,7556.64
100212,SKU-1187,90803,36,2023,143,81,1372.48
100213,SKU-6650,34289,17,2021,195,235,2306.67
100214,SKU-6416,31263,37,2024,28,216,3658.8
100215,SKU-7757,95037,6,2025,137,110,5680.48
100216,SKU-9947,26939,4,2022,72,44,6493.69
100217,SKU-3017,92138,23,2023,66,181,2343.72
100218,SKU-1152,79712,33,2025,220,207,1223.05
100219,SKU-2256,64791,15,2023,103,22,863.48
100220,SKU-3772,87098,15,2022,53,141,6502.8
100221,SKU-8184,12731,24,2021,173,41,6618.83
100222,SKU-8451,44417,31,2021,188,117,5714.03
100223,SKU-4167,32232,23,2025,26,88,5639.68
100224,SKU-8061,46618,3,2023,65,92,4455.46
100225,SKU-4898,31467,8,2025,154,81,7460.68
100226,SKU-9800,43659,4,2022,30,141,2815.56
100227,SKU-9394,56122,28,2021,88,219,6169.63
100228,SKU-2180,34279,35,2022,193,31,4113.18
100229,SKU-4868,26458,2,2024,162,202,1384.09
100230,SKU-3394,29348,29,2021,147,144,3611.02
100231,SKU-4501,18920,40,2024,130,55,4195.54
100232,SKU-4482,11711,6,2023,189,161,2540.98
100233,SKU-3843,41122,25,2021,220,27,6343.68
100234,SKU-7959,80693,29,2024,8,104,2736.71
100235,SKU-1902,70460,14,2022,189,179,4848.21
100236,SKU-3827,50818,22,2025,89,132,2769.53
100237,SKU-1210,46864,15,2025,63,180,2029.47
100238,SKU-1084,78086,14,2023,17,171,634.02
100239,SKU-1463,64511,8,2025,124,9,4877.08
100240,SKU-5728,68115,35,2022,153,239,8972.69
100241,SKU-4059,42235,25,2023,82,41,1608.22
100242,SKU-7638,54730,33,2021,107,77,3974.73
100243,SKU-6142,53456,25,2023,82,239,1982.46
100244,SKU-4665,63032,23,2024,207,99,3717.57
100245,SKU-7610,57350,10,2023,212,128,5903.85
100246,SKU-4410,33909,4,2024,11,178,8211.81
100247,SKU-7085,97133,31,2023,20,183,2669.87
100248,SKU-8875,66690,22,2025,175,189,8925.37
100249,SKU-4216,98714,16,2022,131,149,8661.35
100250,SKU-4453,70604,17,2025,140,94,5724.01
100251,SKU-3908,26056,39,2024,207,161,4748.58
100252,SKU-7888,53649,9,2022,122,151,6057.15
100253,SKU-9001,85986,5,2025,14,30,3176.35
100254,SKU-3722,66386,22,2021,122,142,8573.03
100255,SKU-2333,82902,11,2024,214,87,5420.32
100256,SKU-7407,14842,24,2021,78,18,1032.08
100257,SKU-7300,27743,4,2024,94,93,4634.59
100258,SKU-9997,39676,27,2024,148,158,8749.62
100259,SKU-6750,95055,23,2022,154,58,8462.23
100260,SKU-1911,70584,13,2021,114,185,2877.43
100261,SKU-9219,63047,3,2022,22,105,5471.24
100262,SKU-9824,98102,7,2023,87,237,4807.09
100263,SKU-3242,63102,5,2023,187,211,5960.09
100264,SKU-4856,61390,40,2024,166,64,6168.73
100265,SKU-1418,41255,4,2024,93,172,3476.86
100266,SKU-8905,98326,14,2024,111,98,7378.42
100267,SKU-6291,92071,1,2021,144,196,1144.49
100268,SKU-9501,49121,5,2023,211,148,8293.19
100269,SKU-6916,84113,37,2022,202,52,3900.77
100270,SKU-6550,72952,31,2024,14,32,8178.8
100271,SKU-8929,54429,22,2021,171,89,4444.21
100272,SKU-5776,87502,16,2022,61,54,6261.7
100273,SKU-8281,31547,21,2021,43,250,1199.18
100274,SKU-8407,99700,30,2025,179,155,2524.32
100275,SKU-2270,36926,28,2021,196,170,4016.71
100276,SKU-4653,84861,13,2022,152,111,7227.59
100277,SKU-7721,87223,36,2021,149,120,1184.19
100278,SKU-5491,37288,38,2022,98,189,2023.7
100279,SKU-2489,10007,4,2024,119,231,2649.38
100280,SKU-6612,35304,18,2021,140,55,5914.41
100281,SKU-5021,74077,37,2024,136,31,3467.74
100282,SKU-2965,74131,23,2024,182,208,202.48
100283,SKU-5240,78718,35,2025,217,148,2263.99
100284,SKU-6446,24186,34,2025,20,186,6861.55
100285,SKU-7740,40327,25,2024,117,134,690.2
100286,SKU-3129,23832,33,2025,127,33,4358.25
100287,SKU-4927,82488,4,2023,208,200,8141.34
100288,SKU-3651,90108,18,2025,165,92,4594.42
100289,SKU-2044,39024,17,2025,25,179,6253.75
100290,SKU-6534,43926,40,2024,143,122,5092.59
100291,SKU-4179,22591,33,2024,198,146,6475.49
100292,SKU-8843,68639,26,2025,153,66,1651.3
100293,SKU-7681,91578,39,2025,79,43,5296.67
100294,SKU-4403,33002,5,2023,145,250,2302.4
100295,SKU-3423,90974,22,2024,116,248,1555.73
100296,SKU-3263,76497,23,2022,130,13,6702.88
100297,SKU-9899,12241,39,2025,57,143,652.26
100298,SKU-7081,26182,15,2024,212,80,4296.12
100299,SKU-8573,19657,5,2021,26,155,767.47
100300,SKU-6399,30968,2,2023,86,237,821.97
100301,SKU-1934,20191,10,2025,138,69,8264.44
100302,SKU-5052,79372,3,2024,149,53,4093.73
100303,SKU-2088,94306,11,2023,186,249,314.98
100304,SKU-4593,54994,15,2024,219,149,1637.55
100305,SKU-5464,21522,19,2022,187,216,7738.27
100306,SKU-2918,62968,13,2023,77,161,5353.28
100307,SKU-9490,25020,7,2023,191,69,2246.16
100308,SKU-1288,33176,6,2021,36,127,8033.57
100309,SKU-4711,56088,11,2025,146,102,7133.56
100310,SKU-3297,30082,30,2025,142,216,564.45
100311,SKU-7676,71539,5,2024,79,87,8146.93
100312,SKU-2850,10261,7,2025,19,39,7441.85
100313,SKU-5856,37373,11,2022,212,189,5581.31
100314,SKU-3161,85795,37,2021,117,79,3249.73
100315,SKU-8264,58609,17,2023,62,236,7746.23
100316,SKU-1023,16754,31,2024,123,69,3851.9
100317,SKU-9126,13334,4,2022,196,96,786.44
100318,SKU-7936,55414,18,2022,67,80,5332.69
100319,SKU-6943,95543,21,2025,188,49,3103.62
100320,SKU-5059,50497,9,2023,129,121,2807.87
100321,SKU-2545,93491,39,2023,53,17,2966.04
100322,SKU-1160,40474,18,2021,209,101,4340.91
100323,SKU-8409,61068,19,2024,103,232,3554.07
100324,SKU-4170,35094,30,2021,92,83,311.4
100325,SKU-4139,54254,35,2021,160,118,7653.55
100326,SKU-5017,22966,36,2024,176,131,6700.98
100327,SKU-3689,94974,2,2023,147,112,89.86
100328,SKU-1012,67100,31,2025,34,7,1429.02
100329,SKU-8788,72255,29,2024,173,132,2679.42
100330,SKU-9808,19486,20,2025,64,248,3190.26
100331,SKU-9647,22407,26,2021,86,102,1972.91
100332,SKU-5537,78792,25,2023,198,59,6281.69
100333,SKU-4341,98942,10,2022,217,211,7541.98
100334,SKU-7293,49156,36,2022,165,53,3242.6
100335,SKU-2746,65891,21,2025,4,33,6769.08
100336,SKU-6582,42793,9,2024,16,91,6473.31
100337,SKU-3597,94582,27,2021,100,67,1606.41
100338,SKU-1040,98462,12,2021,3,194,2016.74
100339,SKU-9685,74585,33,2025,46,43,740.73
100340,SKU-2391,12321,25,2021,152,142,6609.63
100341,SKU-1479,50521,19,2021,97,111,3047.54
100342,SKU-9380,33155,24,2025,122,11,5116.65
100343,SKU-3456,14061,23,2023,100,14,1217.74
100344,SKU-1183,39059,30,2025,93,127,2780.8
100345,SKU-4986,24477,6,2023,4,222,4674.19
100346,SKU-2270,56712,11,2025,80,249,7257.09
100347,SKU-7079,63585,29,2023,60,122,7600.04
100348,SKU-8720,10973,5,2022,97,243,81.23
100349,SKU-2302,39011,9,2024,17,211,6243.93
100350,SKU-1598,89327,6,2023,44,114,5608.74
100351,SKU-6937,39511,34,2021,123,199,2321.92
100352,SKU-7487,81566,6,2021,169,68,8434.76
100353,SKU-8919,73545,23,2023,87,79,7593.26
100354,SKU-4757,21660,4,2021,30,2,4477.2
100355,SKU-5503,67589,35,2023,128,101,7261.92
100356,SKU-5892,82158,7,2021,163,38,1054.59
100357,SKU-6026,16844,13,2023,9,180,7655.7
100358,SKU-1463,22916,24,2022,171,216,3341.73
100359,SKU-3547,44144,3,2024,203,219,7778.49
100360,SKU-9904,27030,32,2024,219,112,7453.42
100361,SKU-1899,57931,6,2024,57,148,1812.81
100362,SKU-6852,45668,15,2021,191,44,8744.54
100363,SKU-1818,49722,28,2025,164,244,6942.33
100364,SKU-7176,97115,21,2022,168,110,8465.77
100365,SKU-3293,44890,38,2025,166,143,2606.5
100366,SKU-1644,10465,3,2022,204,233,346.9
100367,SKU-9109,57910,31,2022,52,137,3805.52
100368,SKU-3475,54497,11,2022,96,46,3465.78
100369,SKU-6940,33057,20,2022,12,168,7954.91
100370,SKU-4398,38180,6,2022,159,145,8111.42
100371,SKU-7221,87663,32,2024,88,66,6727.27
100372,SKU-3849,98417,7,2024,5,218,8141.19
100373,SKU-3363,19115,37,2025,172,235,7214.19
100374,SKU-6481,47848,19,2021,46,96,4631.26
100375,SKU-4669,76989,12,2025,137,209,1002.85
100376,SKU-7535,65856,18,2021,44,248,5635.67
100377,SKU-9425,41087,4,2025,66,124,318.85
100378,SKU-9593,47479,31,2022,128,233,3451.47
100379,SKU-4566,41905,15,2024,132,166,6832.26
100380,SKU-6347,13501,31,2024,34,238,1723.03
100381,SKU-2316,19166,18,2025,145,116,7799.65
100382,SKU-2430,84616,34,2022,169,13,2138.83
100383,SKU-3435,12037,5,2022,50,6,8417.25
100384,SKU-3615,62365,19,2021,107,223,3493.2
100385,SKU-7689,95088,20,2021,207,233,6201.86
100386,SKU-6784,89311,34,2025,108,79,3135.94
100387,SKU-6840,54280,27,2022,161,156,6657.53
100388,SKU-5190,83941,16,2025,137,108,8316.02
100389,SKU-8818,51749,7,2023,112,167,823.91
100390,SKU-4218,82110,22,2024,24,139,6752.08
100391,SKU-4291,68870,4,2021,54,110,3790.12
100392,SKU-2577,73602,10,2024,119,247,6854.75
100393,SKU-8270,33151,34,2021,202,29,5218.2
100394,SKU-4049,33898,22,2025,206,46,8483.43
100395,SKU-6971,65528,37,2025,40,141,7958.49
100396,SKU-7658,68569,30,2024,183,210,5996.89
100397,SKU-2625,49594,28,2025,138,239,2767.96
100398,SKU-1533,56979,16,2022,208,80,7363.87
100399,SKU-6097,44376,23,2023,155,185,3391.86
100400,SKU-6580,29943,11,2021,23,162,6636.45
100401,SKU-2359,45101,24,2024,151,165,7887.58
100402,SKU-2556,10424,37,2022,200,132,3383.67
100403,SKU-5598,93774,5,2024,105,223,7997
100404,SKU-2908,62163,27,2022,173,145,2569.96
100405,SKU-5587,78447,13,2025,69,30,4082.49
100406,SKU-3190,33830,1,2024,96,15,3481.6
100407,SKU-1257,78409,9,2021,105,201,5082.59
100408,SKU-2470,71371,12,2021,75,39,8779.3
100409,SKU-6950,10503,16,2025,92,250,3761.15
100410,SKU-6112,46119,6,2023,157,186,6956.42
100411,SKU-5023,34700,29,2025,215,166,244.78
100412,SKU-6191,72089,39,2025,123,69,2240.43
100413,SKU-2877,92740,17,2022,90,71,8161.36
100414,SKU-5442,91462,1,2022,31,2,6938.4
100415,SKU-4329,46347,40,2022,143,82,3127.54
100416,SKU-4790,48006,38,2022,147,189,7749.26
100417,SKU-7385,70348,21,2022,120,11,2742.43
100418,SKU-5358,10127,24,2022,84,176,918.23
100419,SKU-4448,68531,9,2021,82,136,8997.59
100420,SKU-4565,48434,33,2022,164,96,2103.24
100421,SKU-2178,44364,25,2025,45,36,4777
100422,SKU-4676,78396,1,2021,216,101,6518.39
100423,SKU-6057,76621,35,2024,130,18,4503.46
100424,SKU-4081,67733,31,2022,203,3,483.67
100425,SKU-7107,66606,1,2021,202,14,5018.02
100426,SKU-3318,43108,35,2024,200,168,5930.18
100427,SKU-5931,71520,38,2023,133,52,7874.12
100428,SKU-6708,15714,16,2024,89,86,2678.87
100429,SKU-7211,65452,38,2022,61,218,21.03
100430,SKU-9372,31730,37,2024,220,228,6952.62
100431,SKU-1221,50423,14,2023,101,9,1390.05
100432,SKU-8116,59124,10,2022,97,151,5078.26
100433,SKU-9765,69583,10,2022,194,49,8390.55
100434,SKU-4748,77099,18,2021,141,143,4215.35
100435,SKU-3068,60023,12,2025,115,195,3497.7
100436,SKU-1312,58625,4,2024,157,204,2401.72
100437,SKU-8307,25795,25,2023,64,221,1090.37
100438,SKU-5010,78194,2,2023,140,109,5878.02
100439,SKU-2217,60595,4,2021,111,44,1343.72
100440,SKU-1958,86015,26,2025,140,128,3365.21
100441,SKU-1207,14072,10,2025,141,72,3780.21
100442,SKU-3852,10855,8,2021,7,210,2609.23
100443,SKU-2595,75333,29,2025,18,123,7956.89
100444,SKU-5001,48856,5,2024,37,39,7641.36
100445,SKU-5738,24859,8,2022,95,169,5785.14
100446,SKU-4454,59433,28,2021,85,166,437.67
100447,SKU-7658,93127,26,2023,81,192,7430.16
100448,SKU-5427,24492,10,2023,17,72,8493.96
100449,SKU-5413,17082,22,2021,8,18,5956.8
100450,SKU-2184,92691,30,2024,187,124,8710.19
100451,SKU-2557,64344,38,2021,145,43,6860.57
100452,SKU-4858,31424,3,2023,185,149,7384.76
100453,SKU-9197,67320,2,2022,182,139,2096.34
100454,SKU-7519,37749,31,2025,14,242,7321.92
100455,SKU-8119,33364,14,2021,86,177,6153.06
100456,SKU-1837,94833,25,2021,81,201,463.82
100457,SKU-8352,46068,34,2022,21,98,1327.39
100458,SKU-3200,32293,37,2022,66,13,2385.28
100459,SKU-5583,59224,11,2025,117,32,147.8
100460,SKU-4571,68184,40,2025,36,131,1412.18
100461,SKU-6048,35434,2,2024,138,82,720.64
100462,SKU-7987,28840,5,2021,132,117,7640.93
100463,SKU-8203,85638,19,2022,16,126,5498.15
100464,SKU-9441,34914,37,2023,100,79,6107.42
100465,SKU-6773,70788,15,2021,95,86,2062.53
100466,SKU-4355,85362,29,2024,184,93,6330.94
100467,SKU-3499,16153,12,2025,77,204,1446.91
100468,SKU-1750,66293,6,2024,182,82,8899.26
100469,SKU-4247,13333,8,2023,212,126,510.07
100470,SKU-7489,19084,28,2021,54,215,6257.39
100471,SKU-5692,63871,39,2025,191,248,8568.69
100472,SKU-4739,97918,21,2022,10,142,3376.79
100473,SKU-2931,96174,24,2023,136,183,5531.58
100474,SKU-3718,35746,12,2025,59,28,7826.29
100475,SKU-5285,78717,1,2021,95,201,4991.99
100476,SKU-2911,88989,9,2021,157,13,5521.03
100477,SKU-4781,40723,14,2021,23,226,3783.83
100478,SKU-6246,90180,32,2023,83,77,7556.21
100479,SKU-9211,58349,34,2023,137,161,2517.82
100480,SKU-7798,61578,20,2022,57,182,5392.94
100481,SKU-1763,24611,25,2025,27,70,8416.79
100482,SKU-2572,63532,29,2022,203,3,498.16
100483,SKU-8185,97932,17,2024,25,115,7285.78
100484,SKU-3334,18371,24,2022,169,69,4654.63
100485,SKU-3116,88182,5,2025,52,36,3907.35
100486,SKU-6593,49757,5,2021,173,189,480.1
100487,SKU-6068,93076,15,2024,195,182,2063.1
100488,SKU-2291,69130,22,2022,68,54,5276.81
100489,SKU-7738,62878,31,2021,64,50,7914.76
100490,SKU-7835,21044,17,2021,188,133,1751.82
100491,SKU-6392,25564,15,2024,115,226,2129.61
100492,SKU-8651,69654,19,2021,72,156,2557.74
100493,SKU-1406,41630,29,2021,23,204,7484.31
100494,SKU-3722,12657,19,2025,218,182,2876.49
100495,SKU-3268,24567,5,2021,10,135,6453.3
100496,SKU-2022,97409,21,2024,23,229,8904.14
100497,SKU-6429,95028,38,2025,72,219,1672.52
100498,SKU-3698,33930,6,2023,192,172,3240.82
100499,SKU-9427,83353,19,2021,37,86,808.18
100500,SKU-2268,93790,13,2024,70,98,8967.24
100501,SKU-3014,96393,39,2022,120,32,317.55
100502,SKU-1104,86523,7,2025,129,229,6913.52
100503,SKU-7454,59728,2,2022,38,9,7283.02
100504,SKU-1421,27099,3,2024,35,170,3838.22
100505,SKU-8694,47056,1,2022,59,184,6890.55
100506,SKU-5508,72831,2,2024,54,168,4691.28
100507,SKU-6552,98006,20,2025,77,120,5998.2
100508,SKU-2770,96647,22,2021,149,70,6836.57
100509,SKU-9249,36578,27,2025,172,78,4877.13
100510,SKU-2091,51346,23,2021,78,230,2688.38
100511,SKU-8809,80801,30,2025,117,235,4279.82
100512,SKU-1320,58547,7,2022,49,106,8423.31
100513,SKU-8372,52074,36,2025,22,136,1249.81
100514,SKU-3566,14571,4,2022,115,45,7150.92
100515,SKU-6721,57497,37,2022,149,219,8502.6
100516,SKU-8754,66755,18,2024,120,194,2183.2
100517,SKU-7862,89928,23,2021,126,8,7627.55
