Week,Campaign,Country,Impressions,Clicks,Conversions,Cost,CTR,Conversion Rate,CPC
17.02.2025,Lookalike,BR,153094,8538,317,1906.15,0.0558,0.0371,0.2233
24.02.2025,Brand,DE,364969,14347,280,12815.1,0.0393,0.0195,0.8932
24.02.2025,Retargeting,DE,187254,5580,403,3885.03,0.0298,0.0722,0.6962
24.02.2025,Prospecting,BR,215726,9386,975,13820.28,0.0435,0.1039,1.4724
24.02.2025,Lookalike,US,278589,2468,91,3999.98,0.0089,0.0369,1.6207
03.03.2025,Brand,UK,297343,16428,883,26196.92,0.0552,0.0537,1.5947
03.03.2025,Retargeting,UK,315548,7319,154,4823.62,0.0232,0.021,0.6591
03.03.2025,Prospecting,IN,393951,3712,52,4882.78,0.0094,0.014,1.3154
03.03.2025,Lookalike,UK,34321,326,18,80.67,0.0095,0.0552,0.2475
10.03.2025,Brand,UK,323662,19135,1763,13755.05,0.0591,0.0921,0.7188
10.03.2025,Retargeting,BR,57881,1658,107,3315.69,0.0286,0.0645,1.9998
10.03.2025,Prospecting,BR,90151,4435,309,2154.46,0.0492,0.0697,0.4858
10.03.2025,Lookalike,DE,308906,15180,1740,31321.36,0.0491,0.1146,2.0633
17.03.2025,Brand,US,253589,11057,1274,16644.36,0.0436,0.1152,1.5053
17.03.2025,Retargeting,US,392390,19069,1752,17682.1,0.0486,0.0919,0.9273
17.03.2025,Prospecting,IN,121018,2811,108,6471.76,0.0232,0.0384,2.3023
17.03.2025,Lookalike,US,379988,6582,379,13362.25,0.0173,0.0576,2.0301
24.03.2025,Brand,DE,192829,3581,81,5937.62,0.0186,0.0226,1.6581
24.03.2025,Retargeting,US,300819,15638,1704,34610.63,0.052,0.109,2.2132
24.03.2025,Prospecting,UK,179948,8039,180,10082.35,0.0447,0.0224,1.2542
24.03.2025,Lookalike,BR,221387,2125,147,3291.08,0.0096,0.0692,1.5487
31.03.2025,Brand,BR,215875,9364,481,18031.02,0.0434,0.0514,1.9256
31.03.2025,Retargeting,IN,275584,3792,291,4159.85,0.0138,0.0767,1.097
31.03.2025,Prospecting,BR,64712,2030,216,3585.5,0.0314,0.1064,1.7663
31.03.2025,Lookalike,US,113997,2967,130,1951.8,0.026,0.0438,0.6578
07.04.2025,Brand,BR,299281,11620,1376,13997.38,0.0388,0.1184,1.2046
07.04.2025,Retargeting,UK,112155,4278,259,1574.83,0.0381,0.0605,0.3681
07.04.2025,Prospecting,DE,395500,16801,1202,20496.36,0.0425,0.0715,1.2199
07.04.2025,Lookalike,IN,399850,16327,1396,20772.67,0.0408,0.0855,1.2723
14.04.2025,Brand,DE,203713,1177,128,492.66,0.0058,0.1088,0.4186
14.04.2025,Retargeting,DE,185416,9145,370,2926.76,0.0493,0.0405,0.32
14.04.2025,Prospecting,BR,226862,12095,1150,4260.44,0.0533,0.0951,0.3522
14.04.2025,Lookalike,US,328487,17303,1391,23119.69,0.0527,0.0804,1.3362
21.04.2025,Brand,BR,266729,10002,924,23970.99,0.0375,0.0924,2.3966
21.04.2025,Retargeting,UK,121637,2214,218,3832.55,0.0182,0.0985,1.7311
21.04.2025,Prospecting,IN,158561,994,24,1779.17,0.0063,0.0241,1.7899
21.04.2025,Lookalike,IN,26035,168,3,51.04,0.0065,0.0179,0.3038
28.04.2025,Brand,IN,155442,8869,815,19938.68,0.0571,0.0919,2.2481
28.04.2025,Retargeting,US,208644,3360,98,4603.69,0.0161,0.0292,1.3701
28.04.2025,Prospecting,IN,21489,494,52,463.14,0.023,0.1053,0.9375
28.04.2025,Lookalike,UK,69517,3269,383,6089.82,0.047,0.1172,1.8629
05.05.2025,Brand,UK,49680,1314,157,212.69,0.0264,0.1195,0.1619
05.05.2025,Retargeting,US,318545,1882,142,639.01,0.0059,0.0755,0.3395
05.05.2025,Prospecting,DE,336160,19534,1074,43469.6,0.0581,0.055,2.2253
05.05.2025,Lookalike,IN,231342,7052,443,7215.22,0.0305,0.0628,1.0231
12.05.2025,Brand,DE,206454,5750,383,11123.25,0.0279,0.0666,1.9345
12.05.2025,Retargeting,IN,299909,11674,292,2913.65,0.0389,0.025,0.2496
12.05.2025,Prospecting,DE,212672,12184,262,14479.24,0.0573,0.0215,1.1884
12.05.2025,Lookalike,BR,143665,1045,58,1393.6,0.0073,0.0555,1.3336
19.05.2025,Brand,US,94292,1096,98,1706.6,0.0116,0.0894,1.5571
19.05.2025,Retargeting,IN,40776,2029,178,3622.37,0.0498,0.0877,1.7853
19.05.2025,Prospecting,US,340637,19494,2051,42477.18,0.0572,0.1052,2.179
19.05.2025,Lookalike,BR,380831,21489,488,23460.17,0.0564,0.0227,1.0917
26.05.2025,Brand,US,52405,1340,61,221.43,0.0256,0.0455,0.1652
26.05.2025,Retargeting,BR,165176,9711,1081,3117.68,0.0588,0.1113,0.321
26.05.2025,Prospecting,IN,108202,4225,130,8504.97,0.039,0.0308,2.013
26.05.2025,Lookalike,IN,57719,651,77,1052.12,0.0113,0.1183,1.6162
02.06.2025,Brand,BR,182984,10563,299,16645.08,0.0577,0.0283,1.5758
02.06.2025,Retargeting,UK,72678,1577,60,3560.64,0.0217,0.038,2.2579
02.06.2025,Prospecting,IN,174692,8585,660,16342.23,0.0491,0.0769,1.9036
02.06.2025,Lookalike,IN,212629,11606,362,10361.26,0.0546,0.0312,0.8928
09.06.2025,Brand,UK,77189,2221,62,2471.77,0.0288,0.0279,1.1129
09.06.2025,Retargeting,DE,395670,7091,439,9108.21,0.0179,0.0619,1.2845
09.06.2025,Prospecting,IN,92672,5520,320,10116.87,0.0596,0.058,1.8328
09.06.2025,Lookalike,US,315683,1448,137,2183.09,0.0046,0.0946,1.5077
16.06.2025,Brand,US,342096,19981,1544,32874.53,0.0584,0.0773,1.6453
16.06.2025,Retargeting,IN,15227,615,34,1181.81,0.0404,0.0553,1.9216
16.06.2025,Prospecting,DE,102292,976,78,354.68,0.0095,0.0799,0.3634
16.06.2025,Lookalike,US,78756,1474,45,1899.67,0.0187,0.0305,1.2888
23.06.2025,Brand,IN,241490,2645,81,5125.96,0.011,0.0306,1.938
23.06.2025,Retargeting,BR,43345,368,4,858.4,0.0085,0.0109,2.3326
23.06.2025,Prospecting,DE,374229,18237,866,41485.88,0.0487,0.0475,2.2748
23.06.2025,Lookalike,IN,263230,7742,182,3755.13,0.0294,0.0235,0.485
30.06.2025,Brand,US,164724,6680,771,3871.93,0.0406,0.1154,0.5796
30.06.2025,Retargeting,IN,66372,2880,151,1189.8,0.0434,0.0524,0.4131
30.06.2025,Prospecting,IN,48819,616,36,794.16,0.0126,0.0584,1.2892
30.06.2025,Lookalike,BR,336720,6098,108,4653.83,0.0181,0.0177,0.7632
07.07.2025,Brand,IN,48259,268,26,539.14,0.0056,0.097,2.0117
07.07.2025,Retargeting,IN,165256,2444,143,5618.88,0.0148,0.0585,2.2991
07.07.2025,Prospecting,IN,267508,1980,167,1982.43,0.0074,0.0843,1.0012
07.07.2025,Lookalike,IN,255298,13452,1246,12283.79,0.0527,0.0926,0.9132
14.07.2025,Brand,US,196155,4004,86,6355.24,0.0204,0.0215,1.5872
14.07.2025,Retargeting,BR,163335,8355,588,14311.26,0.0512,0.0704,1.7129
14.07.2025,Prospecting,IN,222728,6401,461,4924.72,0.0287,0.072,0.7694
14.07.2025,Lookalike,UK,16836,814,28,720.43,0.0483,0.0344,0.885
21.07.2025,Brand,UK,133713,3920,161,5610.99,0.0293,0.0411,1.4314
21.07.2025,Retargeting,BR,142159,8313,986,9943.23,0.0585,0.1186,1.1961
21.07.2025,Prospecting,BR,77700,1658,114,1195.23,0.0213,0.0688,0.7209
21.07.2025,Lookalike,UK,208788,10905,403,1717.74,0.0522,0.037,0.1575
28.07.2025,Brand,IN,149636,1348,17,3072.75,0.009,0.0126,2.2795
28.07.2025,Retargeting,IN,21105,1030,83,871.36,0.0488,0.0806,0.846
28.07.2025,Prospecting,UK,175704,5859,149,11010.59,0.0333,0.0254,1.8793
28.07.2025,Lookalike,UK,186635,2062,135,1141.09,0.011,0.0655,0.5534
04.08.2025,Brand,DE,21050,1202,107,2104.67,0.0571,0.089,1.751
04.08.2025,Retargeting,US,319714,15240,1543,8363.25,0.0477,0.1012,0.5488
04.08.2025,Prospecting,BR,286512,8029,549,19217.81,0.028,0.0684,2.3935
04.08.2025,Lookalike,US,191537,9464,902,5420.18,0.0494,0.0953,0.5727
11.08.2025,Brand,DE,159899,4285,427,1975.85,0.0268,0.0997,0.4611
11.08.2025,Retargeting,UK,175599,3623,262,6726.58,0.0206,0.0723,1.8566
11.08.2025,Prospecting,BR,68160,908,58,2043.03,0.0133,0.0639,2.25
11.08.2025,Lookalike,IN,380286,18176,1479,11640.97,0.0478,0.0814,0.6405
18.08.2025,Brand,BR,103285,4563,140,8012.34,0.0442,0.0307,1.7559
18.08.2025,Retargeting,US,354767,2190,176,4218.12,0.0062,0.0804,1.9261
18.08.2025,Prospecting,IN,233021,5892,336,5923.58,0.0253,0.057,1.0054
18.08.2025,Lookalike,US,318444,19027,1556,5168.35,0.0597,0.0818,0.2716
25.08.2025,Brand,DE,200347,2855,135,6656.8,0.0143,0.0473,2.3316
25.08.2025,Retargeting,US,147710,929,14,2129.18,0.0063,0.0151,2.2919
25.08.2025,Prospecting,UK,68700,2659,200,3354.18,0.0387,0.0752,1.2614
25.08.2025,Lookalike,BR,377808,21716,2593,45998.83,0.0575,0.1194,2.1182
01.09.2025,Brand,US,109994,6327,551,7040.48,0.0575,0.0871,1.1128
01.09.2025,Retargeting,UK,164804,6434,763,11243.07,0.039,0.1186,1.7474
01.09.2025,Prospecting,US,131920,7897,427,6286.09,0.0599,0.0541,0.796
01.09.2025,Lookalike,BR,344847,8000,216,17789.08,0.0232,0.027,2.2236
08.09.2025,Brand,IN,259788,10379,1009,9856.77,0.04,0.0972,0.9497
08.09.2025,Retargeting,DE,269764,12499,767,15348.68,0.0463,0.0614,1.228
08.09.2025,Prospecting,US,225145,3347,72,7116.93,0.0149,0.0215,2.1264
08.09.2025,Lookalike,US,192362,10276,1229,11799.06,0.0534,0.1196,1.1482
15.09.2025,Brand,IN,167677,8000,509,16643.1,0.0477,0.0636,2.0804
15.09.2025,Retargeting,IN,297460,17249,682,31743.46,0.058,0.0395,1.8403
15.09.2025,Prospecting,BR,118821,1415,69,2203.31,0.0119,0.0488,1.5571
15.09.2025,Lookalike,US,79457,1808,184,3824,0.0228,0.1018,2.115
22.09.2025,Brand,UK,53540,2371,175,1481.23,0.0443,0.0738,0.6247
22.09.2025,Retargeting,IN,223013,2128,197,4798.33,0.0095,0.0926,2.2549
22.09.2025,Prospecting,US,106331,4392,128,5743.45,0.0413,0.0291,1.3077
22.09.2025,Lookalike,DE,392485,15941,1475,5442.51,0.0406,0.0925,0.3414
29.09.2025,Brand,IN,257539,9640,614,14213.33,0.0374,0.0637,1.4744
29.09.2025,Retargeting,UK,176778,3375,299,6524.56,0.0191,0.0886,1.9332
29.09.2025,Prospecting,BR,295953,14054,1596,15951.47,0.0475,0.1136,1.135
29.09.2025,Lookalike,US,133119,4649,373,1850.64,0.0349,0.0802,0.3981
06.10.2025,Brand,BR,272613,6846,284,12471.02,0.0251,0.0415,1.8217
06.10.2025,Retargeting,DE,312928,18180,257,42225.37,0.0581,0.0141,2.3226
06.10.2025,Prospecting,BR,374813,2362,168,713.79,0.0063,0.0711,0.3022
06.10.2025,Lookalike,BR,373994,11040,290,23764.9,0.0295,0.0263,2.1526
13.10.2025,Brand,DE,155400,8917,805,13539.41,0.0574,0.0903,1.5184
13.10.2025,Retargeting,IN,131138,3633,261,3124.63,0.0277,0.0718,0.8601
13.10.2025,Prospecting,UK,142117,708,47,1087.42,0.005,0.0664,1.5359
13.10.2025,Lookalike,DE,144984,5924,710,5375.3,0.0409,0.1199,0.9074
20.10.2025,Brand,US,270430,16030,1634,23277.21,0.0593,0.1019,1.4521
20.10.2025,Retargeting,UK,16476,218,2,434.02,0.0132,0.0092,1.9909
20.10.2025,Prospecting,IN,14020,769,56,175.02,0.0549,0.0728,0.2276
20.10.2025,Lookalike,IN,258170,12376,1431,6190.24,0.0479,0.1156,0.5002
27.10.2025,Brand,IN,51247,2153,83,687.81,0.042,0.0386,0.3195
27.10.2025,Retargeting,US,350360,9419,590,6128.96,0.0269,0.0626,0.6507
27.10.2025,Prospecting,BR,195700,5457,161,2155.04,0.0279,0.0295,0.3949
27.10.2025,Lookalike,BR,372517,10915,325,3467.41,0.0293,0.0298,0.3177
03.11.2025,Brand,US,324055,7106,535,13573.59,0.0219,0.0753,1.9102
03.11.2025,Retargeting,US,48102,1132,89,268.08,0.0235,0.0786,0.2368
03.11.2025,Prospecting,IN,352970,17262,536,27731.68,0.0489,0.0311,1.6065
03.11.2025,Lookalike,BR,262051,11097,182,12925.49,0.0423,0.0164,1.1648
10.11.2025,Brand,IN,65125,1862,89,2348.75,0.0286,0.0478,1.2614
10.11.2025,Retargeting,DE,396418,6930,347,14061.15,0.0175,0.0501,2.029
10.11.2025,Prospecting,UK,257662,1779,97,1151.34,0.0069,0.0545,0.6472
10.11.2025,Lookalike,BR,273683,11528,391,24522.88,0.0421,0.0339,2.1272
17.11.2025,Brand,IN,176497,7388,470,4673.74,0.0419,0.0636,0.6326
17.11.2025,Retargeting,BR,82146,3800,420,1518.56,0.0463,0.1105,0.3996
17.11.2025,Prospecting,UK,290753,4273,301,1293.93,0.0147,0.0704,0.3028
17.11.2025,Lookalike,DE,194633,8637,503,6390.9,0.0444,0.0582,0.7399
24.11.2025,Brand,UK,168859,6029,515,2085.88,0.0357,0.0854,0.346
24.11.2025,Retargeting,US,177040,6762,496,16034.95,0.0382,0.0734,2.3713
24.11.2025,Prospecting,BR,270239,7814,545,17222.61,0.0289,0.0697,2.2041
24.11.2025,Lookalike,IN,129796,7669,178,15539.31,0.0591,0.0232,2.0262
01.12.2025,Brand,IN,161869,7737,150,14389.64,0.0478,0.0194,1.8598
01.12.2025,Retargeting,BR,361089,9204,267,17564.68,0.0255,0.029,1.9084
01.12.2025,Prospecting,BR,117054,5546,527,5650.84,0.0474,0.095,1.0189
01.12.2025,Lookalike,DE,271152,8217,232,2310.7,0.0303,0.0282,0.2812
08.12.2025,Brand,UK,97951,2778,187,3408.98,0.0284,0.0673,1.2271
08.12.2025,Retargeting,IN,126165,3474,168,6038.72,0.0275,0.0484,1.7383
08.12.2025,Prospecting,BR,180743,10310,1127,18997.25,0.057,0.1093,1.8426
08.12.2025,Lookalike,DE,64279,1535,148,703.11,0.0239,0.0964,0.4581
15.12.2025,Brand,IN,390723,3751,312,1296,0.0096,0.0832,0.3455
15.12.2025,Retargeting,IN,230820,2342,157,3308.21,0.0101,0.067,1.4126
15.12.2025,Prospecting,IN,387288,13443,565,24786.65,0.0347,0.042,1.8438
15.12.2025,Lookalike,DE,202691,9338,724,10864.22,0.0461,0.0775,1.1634
22.12.2025,Brand,UK,258447,9629,754,8002.54,0.0373,0.0783,0.8311
22.12.2025,Retargeting,DE,240236,11993,1097,5154.97,0.0499,0.0915,0.4298
22.12.2025,Prospecting,US,125268,4623,352,5678.55,0.0369,0.0761,1.2283
22.12.2025,Lookalike,IN,146341,4108,92,8509.54,0.0281,0.0224,2.0715
29.12.2025,Brand,BR,207404,8252,928,12086.78,0.0398,0.1125,1.4647
29.12.2025,Retargeting,US,339409,14293,439,30572.19,0.0421,0.0307,2.139
29.12.2025,Prospecting,IN,73046,4323,346,4408.38,0.0592,0.08,1.0198
29.12.2025,Lookalike,BR,193291,10428,1049,20607.78,0.0539,0.1006,1.9762
05.01.2026,Brand,BR,305433,18200,967,3891.77,0.0596,0.0531,0.2138
05.01.2026,Retargeting,US,261956,8964,269,9260.06,0.0342,0.03,1.033
05.01.2026,Prospecting,IN,50330,2226,59,1344.95,0.0442,0.0265,0.6042
05.01.2026,Lookalike,BR,80812,495,31,637.43,0.0061,0.0626,1.2877
12.01.2026,Brand,DE,206765,3633,185,6471.01,0.0176,0.0509,1.7812
12.01.2026,Retargeting,US,90491,1703,201,2750.69,0.0188,0.118,1.6152
12.01.2026,Prospecting,IN,301785,14497,1226,17541.83,0.048,0.0846,1.21
12.01.2026,Lookalike,DE,283640,3805,310,1854.81,0.0134,0.0815,0.4875
19.01.2026,Brand,DE,135144,811,26,579.97,0.006,0.0321,0.7151
19.01.2026,Retargeting,US,47244,312,4,181.22,0.0066,0.0128,0.5808
19.01.2026,Prospecting,US,10855,223,14,218.67,0.0205,0.0628,0.9806
19.01.2026,Lookalike,US,208369,4785,503,9296.87,0.023,0.1051,1.9429
26.01.2026,Brand,IN,132150,5421,56,10086.65,0.041,0.0103,1.8607
26.01.2026,Retargeting,US,367633,4412,493,3349.54,0.012,0.1117,0.7592
26.01.2026,Prospecting,DE,65738,678,41,508.24,0.0103,0.0605,0.7496
26.01.2026,Lookalike,US,205992,10587,1146,23981.77,0.0514,0.1082,2.2652
02.02.2026,Brand,US,35396,692,65,875.13,0.0196,0.0939,1.2646
02.02.2026,Retargeting,UK,304683,13658,508,4493.94,0.0448,0.0372,0.329
02.02.2026,Prospecting,BR,266085,4086,160,5977.14,0.0154,0.0392,1.4628
02.02.2026,Lookalike,DE,273160,7359,163,17243.87,0.0269,0.0221,2.3432
09.02.2026,Brand,US,190050,1631,50,2360.71,0.0086,0.0307,1.4474
09.02.2026,Retargeting,IN,186117,6069,249,5241.05,0.0326,0.041,0.8636
09.02.2026,Prospecting,BR,259892,5330,346,3462.69,0.0205,0.0649,0.6497
09.02.2026,Lookalike,IN,21523,964,37,149.08,0.0448,0.0384,0.1546
16.02.2026,Brand,DE,396883,10432,927,6973.97,0.0263,0.0889,0.6685
16.02.2026,Retargeting,BR,149978,4811,104,6409.05,0.0321,0.0216,1.3322
16.02.2026,Prospecting,IN,96167,1020,115,2088.63,0.0106,0.1127,2.0477
16.02.2026,Lookalike,IN,323632,17133,602,24095.86,0.0529,0.0351,1.4064
23.02.2026,Brand,DE,163616,9109,518,5247.52,0.0557,0.0569,0.5761
23.02.2026,Retargeting,DE,384400,10946,907,9322.09,0.0285,0.0829,0.8516
23.02.2026,Prospecting,BR,17003,720,31,1195.83,0.0423,0.0431,1.6609
23.02.2026,Lookalike,BR,38153,270,4,71.55,0.0071,0.0148,0.265
