Period,Plant,Line,Batch ID,Fiscal Year,Units Produced,Units Scrapped,Scrap Rate,Output Value,Material Cost,Labour Cost,Overhead,Cost Per Unit,OEE,Availability,Downtime Minutes,Shift Count,Headcount
01.01.2024,Plant A,L1,B259644,2024,13274,723,0.0545,68097.22,36651.38,9029.02,5457.43,3.8525,0.7162,0.72,897,22,26
01.01.2024,Plant A,L2,B491342,2024,66436,251,0.0038,473781.87,291693.44,44253.47,39824.41,5.6561,0.8903,0.871,1007,35,31
01.01.2024,Plant A,L3,B721703,2024,55737,2247,0.0403,272770.48,171351.88,27419.88,36578.39,4.2225,0.486,0.8658,1098,58,9
01.01.2024,Plant A,L4,B495750,2024,25143,153,0.0061,187320.34,45706.98,11428.33,14672.94,2.856,0.7922,0.8613,1760,37,8
01.01.2024,Plant B,L1,B454911,2024,61113,1818,0.0297,396380.2,126561.25,60662.06,34606.81,3.6298,0.6728,0.8484,1298,49,16
01.01.2024,Plant B,L2,B692448,2024,5715,79,0.0138,33109.33,24602.81,2953.2,1144.72,5.022,0.4815,0.9062,93,39,11
01.01.2024,Plant B,L3,B399452,2024,18016,724,0.0402,76568.87,54691.62,6331.34,15109.99,4.2259,0.6287,0.908,732,59,34
01.01.2024,Plant B,L4,B539504,2024,39443,600,0.0152,324683.76,126544.28,23361.89,32134.06,4.6153,0.5971,0.9671,1690,33,18
01.01.2024,Plant C,L1,B468324,2024,63641,1075,0.0169,680125.44,203569.24,24899.47,32762.28,4.1048,0.4546,0.7322,164,61,39
01.01.2024,Plant C,L2,B752180,2024,45195,887,0.0196,367228.48,107360.22,46100.92,11596.77,3.6521,0.8097,0.8118,1039,53,17
01.01.2024,Plant C,L3,B649527,2024,20489,933,0.0455,143873.71,76074.71,14091.94,11589.71,4.9664,0.67,0.8556,367,61,10
01.01.2024,Plant C,L4,B519912,2024,20037,778,0.0388,103485.14,32972.13,18432.7,5074.42,2.8187,0.9123,0.9165,1676,30,4
01.03.2024,Plant A,L1,B423381,2024,18492,384,0.0208,193818.89,42522.93,17942.34,6675.04,3.6308,0.809,0.9277,492,43,27
01.03.2024,Plant A,L2,B523972,2024,7919,298,0.0376,67046.36,13215.53,5896.16,2456.2,2.7236,0.8484,0.786,318,28,17
01.03.2024,Plant A,L3,B950046,2024,72225,424,0.0059,694915.2,210529.99,55513.67,46235.14,4.3237,0.6055,0.7713,1256,50,23
01.03.2024,Plant A,L4,B639085,2024,60599,149,0.0025,665525.01,215693.76,50768.87,20891.1,4.7419,0.7268,0.891,851,52,4
01.03.2024,Plant B,L1,B165405,2024,44588,1485,0.0333,248941.92,73341.07,46814.63,14492.29,3.0198,0.8488,0.7787,742,48,19
01.03.2024,Plant B,L2,B223340,2024,22882,503,0.022,156069.51,68433.49,11252.3,10530.35,3.9427,0.6025,0.9425,980,49,26
01.03.2024,Plant B,L3,B236117,2024,39803,1327,0.0333,363323.77,145270.9,27568.46,28144.63,5.0495,0.6872,0.8988,1061,53,24
01.03.2024,Plant B,L4,B583371,2024,48702,735,0.0151,283588.37,93851.43,39962.91,20128.13,3.1609,0.7464,0.7575,1558,27,37
01.03.2024,Plant C,L1,B987680,2024,38353,1969,0.0513,375036.74,118565.61,26031.61,12447.42,4.0947,0.6331,0.9741,1051,62,18
01.03.2024,Plant C,L2,B887101,2024,21780,100,0.0046,212268.31,89829.91,9281.06,17240.77,5.3421,0.5303,0.8799,1376,48,30
01.03.2024,Plant C,L3,B868923,2024,78977,1388,0.0176,376097.77,244766.7,40629.04,39574.76,4.1147,0.8176,0.8098,107,57,27
01.03.2024,Plant C,L4,B353753,2024,86706,2034,0.0235,888481.66,274031.94,92046.18,20711.17,4.4609,0.7012,0.8349,912,49,16
01.03.2024,Plant A,L1,B355920,2024,84708,2750,0.0325,640199.21,341489.95,62107.63,40551.67,5.2433,0.4602,0.9139,1059,40,11
01.03.2024,Plant A,L2,B144755,2024,60868,3541,0.0582,451469.94,126188.89,48084.25,51846.35,3.7149,0.6256,0.8716,1332,33,10
01.03.2024,Plant A,L3,B831050,2024,70476,1782,0.0253,681308.9,262814.25,32540.36,25943.44,4.559,0.8908,0.741,1295,23,18
01.03.2024,Plant A,L4,B457645,2024,4231,52,0.0123,21311.89,13528.52,3259.12,3602.76,4.8193,0.4746,0.9555,478,57,6
01.03.2024,Plant B,L1,B307224,2024,79281,2699,0.034,613969.72,354787.31,38437.19,61232.55,5.7322,0.7907,0.7515,1265,43,10
01.03.2024,Plant B,L2,B412829,2024,29158,407,0.014,129215.78,53258.32,23919.68,25071.25,3.5067,0.9186,0.8494,707,41,26
01.03.2024,Plant B,L3,B724990,2024,60067,2725,0.0454,544430.1,250010.59,57790.65,38492.21,5.7651,0.7408,0.9144,1235,28,33
01.03.2024,Plant B,L4,B355550,2024,4622,234,0.0506,28901.31,20389.95,2340.54,2342.37,5.4247,0.7591,0.9772,996,49,22
01.03.2024,Plant C,L1,B185686,2024,87953,418,0.0048,484140.42,263270.37,36039.51,42384.54,3.885,0.7676,0.8905,1641,52,10
01.03.2024,Plant C,L2,B978520,2024,58493,650,0.0111,510999.15,225290.78,39787.04,48150.26,5.355,0.6087,0.7745,544,26,32
01.03.2024,Plant C,L3,B589437,2024,32156,332,0.0103,132600.47,107975.91,29466.19,27107.44,5.1172,0.6079,0.8926,400,36,29
01.03.2024,Plant C,L4,B720566,2024,38696,661,0.0171,258352.2,71404.73,30370.74,9621.11,2.8788,0.9158,0.8997,232,59,28
01.04.2024,Plant A,L1,B609780,2024,31918,153,0.0048,190075.79,124039.75,13278.67,9010.07,4.5845,0.83,0.8966,344,32,17
01.04.2024,Plant A,L2,B710319,2024,13112,597,0.0455,54280.3,38358.57,7774.13,6635.65,4.0244,0.8399,0.9596,432,42,39
01.04.2024,Plant A,L3,B257446,2024,29783,1132,0.038,121875.8,57394.06,13652.21,18215.65,2.9971,0.7323,0.9761,774,31,9
01.04.2024,Plant A,L4,B634671,2024,16347,554,0.0339,136501.73,40569.82,14240.23,11481.66,4.0553,0.7365,0.8447,915,22,36
01.04.2024,Plant B,L1,B261730,2024,18904,1115,0.059,195495.4,81814.77,10969.68,13716.77,5.6338,0.6498,0.9245,1742,45,13
01.04.2024,Plant B,L2,B848104,2024,48810,2819,0.0578,262278.82,102706.54,41765.38,29876.56,3.572,0.7855,0.855,871,20,4
01.04.2024,Plant B,L3,B462722,2024,56285,513,0.0091,247361.79,150909.81,24601.47,50092.33,4.0082,0.4851,0.9003,1059,20,13
01.04.2024,Plant B,L4,B368612,2024,42993,2042,0.0475,184582.74,76355.02,42370.66,36769.72,3.6168,0.5852,0.7268,289,55,31
01.04.2024,Plant C,L1,B336872,2024,71031,1101,0.0155,715465.49,249472.95,22769.01,40877.43,4.4082,0.6387,0.9529,1374,29,38
01.04.2024,Plant C,L2,B560077,2024,41831,236,0.0056,345654.32,180578.87,38933.98,23182.14,5.8018,0.6244,0.8469,868,48,23
01.04.2024,Plant C,L3,B325363,2024,29974,1485,0.0495,161799.68,128298.5,27582.79,23985.8,6.0008,0.5311,0.8726,432,44,35
01.04.2024,Plant C,L4,B401678,2024,29849,1549,0.0519,201490.97,89028.76,22761.22,9073.47,4.0492,0.5021,0.7486,1747,60,34
01.05.2024,Plant A,L1,B416968,2024,76826,4465,0.0581,344772.65,291066.45,62098.15,18869.03,4.8425,0.9153,0.976,594,37,23
01.05.2024,Plant A,L2,B520630,2024,36317,2145,0.0591,275771.6,79374.3,15588.05,27013.63,3.3586,0.4792,0.9338,740,56,7
01.05.2024,Plant A,L3,B202243,2024,49180,1200,0.0244,416455.57,113435.48,45240.1,19430.63,3.6215,0.7936,0.9139,110,44,12
01.05.2024,Plant A,L4,B966974,2024,52425,542,0.0103,442715.28,225806.58,30952.53,35962.39,5.5836,0.81,0.7199,1189,58,30
01.05.2024,Plant B,L1,B273290,2024,45936,2404,0.0523,370103.09,173463.83,39178.22,15793.28,4.9729,0.6392,0.7501,1059,41,18
01.05.2024,Plant B,L2,B338225,2024,74031,2945,0.0398,768239.39,171068.69,24534.96,32209.7,3.0773,0.4579,0.8373,680,29,9
01.05.2024,Plant B,L3,B487952,2024,83591,2252,0.0269,403639.24,184173.35,65974.44,23693.49,3.276,0.56,0.7915,555,56,27
01.05.2024,Plant B,L4,B767817,2024,81474,4640,0.057,749547.24,246792.63,50957.19,60374.26,4.3956,0.8597,0.7375,195,27,7
01.05.2024,Plant C,L1,B376414,2024,69976,2983,0.0426,375397.93,148749.09,72023.58,44331.47,3.7885,0.7512,0.819,936,59,10
01.05.2024,Plant C,L2,B829360,2024,35261,1163,0.033,355448.9,128478.39,30228.36,18562.1,5.0273,0.8861,0.7936,1627,33,15
01.05.2024,Plant C,L3,B917663,2024,22634,555,0.0245,224285.74,64732.52,20739.47,15929.81,4.4801,0.6721,0.8645,1093,59,7
01.05.2024,Plant C,L4,B595969,2024,39469,2308,0.0585,201504.56,76223.49,26442.9,12297.41,2.9128,0.886,0.804,399,36,4
01.06.2024,Plant A,L1,B475774,2024,40284,886,0.022,170933.11,177715.23,27176.64,26664.21,5.7481,0.7701,0.9541,286,54,15
01.06.2024,Plant A,L2,B722333,2024,7822,17,0.0022,38470.69,12134.11,3290.27,4754.29,2.5797,0.9045,0.929,42,33,4
01.06.2024,Plant A,L3,B768282,2024,77116,1673,0.0217,371566.5,222753.71,58074.09,47606.48,4.259,0.7286,0.8724,1710,46,11
01.06.2024,Plant A,L4,B774998,2024,61368,1810,0.0295,433658.16,211192.69,20144.79,29600.72,4.252,0.5146,0.8743,145,37,36
01.06.2024,Plant B,L1,B208954,2024,55597,2416,0.0435,514582.35,157483.38,51416.6,37476.96,4.4315,0.7829,0.899,1658,42,26
01.06.2024,Plant B,L2,B776951,2024,72230,1643,0.0227,331055.7,116895.75,26544.67,62839.38,2.8559,0.6193,0.8382,672,27,25
01.06.2024,Plant B,L3,B302072,2024,77277,3132,0.0405,538178.45,225747.14,68699.52,17862.58,4.0414,0.4797,0.9862,935,28,17
01.06.2024,Plant B,L4,B486132,2024,22933,704,0.0307,124491.39,97344.04,12100.41,17387.96,5.5306,0.4808,0.9693,1335,51,39
01.06.2024,Plant C,L1,B582314,2024,10511,310,0.0295,57120.75,33974.18,4206.87,4476.27,4.0584,0.9033,0.7767,12,40,29
01.06.2024,Plant C,L2,B721286,2024,25834,123,0.0048,244560.3,67252.69,12054.78,17745.9,3.7568,0.8573,0.9856,96,20,11
01.06.2024,Plant C,L3,B828243,2024,26272,169,0.0064,278011.6,90515.02,17733.5,23448.52,5.0128,0.6954,0.7006,776,45,29
01.06.2024,Plant C,L4,B969789,2024,86775,2860,0.033,735563.26,172049.97,88068.22,35595.19,3.4078,0.9043,0.8316,1457,51,20
01.07.2024,Plant A,L1,B715152,2024,7105,344,0.0484,30441.78,19770.08,5997.71,2753.11,4.0142,0.4519,0.7311,1147,47,28
01.07.2024,Plant A,L2,B633430,2024,80865,2755,0.0341,548880.07,159663.49,41440.36,42254.54,3.0094,0.6384,0.9469,1734,32,26
01.07.2024,Plant A,L3,B860004,2024,20987,583,0.0278,121192.74,26099.06,20071.73,5585.04,2.4661,0.7068,0.7839,837,58,11
01.07.2024,Plant A,L4,B571198,2024,30600,1533,0.0501,292113.73,55180.35,9914.43,17903.59,2.7124,0.6188,0.7432,189,58,27
01.07.2024,Plant B,L1,B624276,2024,36484,688,0.0189,323860.36,143258.11,11023.03,21530.69,4.8189,0.8655,0.8932,752,40,20
01.07.2024,Plant B,L2,B938963,2024,70494,2259,0.032,649203.88,86369.3,25471.19,27793.06,1.9808,0.7247,0.7441,641,32,38
01.07.2024,Plant B,L3,B719247,2024,20815,798,0.0383,202491.32,28002.9,20924.65,13305.35,2.9898,0.6131,0.7505,29,26,20
01.07.2024,Plant B,L4,B914789,2024,13702,160,0.0117,120713.69,54855.14,14206.7,10402.44,5.7995,0.5952,0.7411,1356,48,13
01.07.2024,Plant C,L1,B481761,2024,66456,180,0.0027,342326.2,162349.68,62059.59,54441.07,4.196,0.5146,0.7462,112,34,7
01.07.2024,Plant C,L2,B420657,2024,15465,907,0.0586,165168.31,29261.14,8327.97,9458.54,3.0422,0.7909,0.7633,1558,22,32
01.07.2024,Plant C,L3,B662354,2024,18328,577,0.0315,90405.61,58521.59,16913.54,16140.62,4.9965,0.6459,0.8511,992,50,27
01.07.2024,Plant C,L4,B206261,2024,69135,2760,0.0399,391575.76,95609.05,65656.79,28155.66,2.7399,0.6363,0.7792,232,54,36
01.08.2024,Plant A,L1,B953692,2024,25204,729,0.0289,229572.97,85744.46,13756.99,22478.03,4.8397,0.8837,0.7409,1502,45,27
01.08.2024,Plant A,L2,B479713,2024,49507,519,0.0105,363629.43,131410.26,33248.8,19833.91,3.7266,0.6925,0.7472,439,57,10
01.08.2024,Plant A,L3,B498201,2024,30607,606,0.0198,217783.05,128195.11,32601.1,13780.33,5.7038,0.7807,0.7168,982,49,14
01.08.2024,Plant A,L4,B581765,2024,35058,2022,0.0577,184404.88,123158.2,25896.54,11709.85,4.5857,0.6634,0.7779,766,47,22
01.08.2024,Plant B,L1,B682235,2024,85426,1555,0.0182,667228.91,150629.18,44802.27,18255.76,2.5014,0.5361,0.9167,1023,49,39
01.08.2024,Plant B,L2,B410532,2024,41140,1911,0.0465,407449.99,175967,19721.92,15867.19,5.1423,0.7931,0.7066,1105,25,10
01.08.2024,Plant B,L3,B342883,2024,64621,948,0.0147,348092.74,272224.55,43477.1,22200.72,5.229,0.8721,0.9755,444,52,5
01.08.2024,Plant B,L4,B570628,2024,8083,470,0.0581,45745.88,19767.53,6617.38,7081.34,4.1403,0.4713,0.8857,1524,20,24
01.08.2024,Plant C,L1,B768481,2024,5321,55,0.0103,40040.29,20057.64,2602.98,3441.12,4.9054,0.7833,0.8309,893,54,29
01.08.2024,Plant C,L2,B635516,2024,15646,665,0.0425,170930.87,30569.24,12317.15,3543.2,2.9675,0.4958,0.8339,207,23,5
01.08.2024,Plant C,L3,B178073,2024,71342,1702,0.0239,353218.22,232137.51,32118.11,26517.06,4.0758,0.4881,0.9636,1588,39,19
01.08.2024,Plant C,L4,B177135,2024,57319,3193,0.0557,320510.79,142464.03,28111.44,27516,3.4559,0.5108,0.8119,424,61,20
01.09.2024,Plant A,L1,B751514,2024,80518,199,0.0025,533610.65,294377.14,84604.16,30554.06,5.0863,0.804,0.7228,1630,52,13
01.09.2024,Plant A,L2,B345447,2024,85423,2046,0.024,353970.42,213449.94,65029.58,57060.91,3.928,0.6416,0.7933,1571,27,11
01.09.2024,Plant A,L3,B446311,2024,51377,1746,0.034,214209.21,99526.6,33522.17,28565.56,3.1457,0.7311,0.9528,832,58,23
01.09.2024,Plant A,L4,B648961,2024,68058,3437,0.0505,390503.52,250125.82,38240.51,18346.11,4.5066,0.6351,0.7451,813,40,36
01.09.2024,Plant B,L1,B519236,2024,16544,498,0.0301,107603.33,56226.91,10692.19,12913.18,4.8255,0.7886,0.8912,663,59,30
01.09.2024,Plant B,L2,B434100,2024,52738,210,0.004,231733.08,149012.53,20630.54,19456.53,3.5856,0.4655,0.7765,442,46,30
01.09.2024,Plant B,L3,B844622,2024,28695,1506,0.0525,295444.71,100985.05,26440.92,12570.98,4.8788,0.5983,0.7473,1684,41,36
01.09.2024,Plant B,L4,B330025,2024,21012,1111,0.0529,187759.46,85513.31,15246.55,5176.96,5.0417,0.5053,0.9107,1190,32,27
01.09.2024,Plant C,L1,B394660,2024,40023,762,0.019,265769.16,91190.67,37611.42,33109.87,4.0455,0.7616,0.9172,592,40,36
01.09.2024,Plant C,L2,B358713,2024,45238,1963,0.0434,396300.22,117719.1,37968.13,16973.14,3.8167,0.9103,0.9819,1305,55,9
01.09.2024,Plant C,L3,B127380,2024,83106,2078,0.025,710924.76,198061.88,58890.42,31731.64,3.4737,0.8483,0.8527,355,50,37
01.09.2024,Plant C,L4,B794619,2024,87943,4060,0.0462,925038.15,303955.09,86630.25,39504.46,4.8906,0.9115,0.9673,1565,52,27
01.10.2024,Plant A,L1,B479394,2024,29384,384,0.0131,264979.07,75789.5,20307.37,15420.24,3.7952,0.4871,0.7786,1124,55,13
01.10.2024,Plant A,L2,B742883,2024,82426,2828,0.0343,540442.63,231857.13,72383.68,65278.47,4.483,0.6382,0.7735,1752,38,11
01.10.2024,Plant A,L3,B771328,2024,61144,362,0.0059,245406.29,203479.28,57894.29,47357.42,5.0492,0.6779,0.7624,1341,49,11
01.10.2024,Plant A,L4,B358731,2024,45863,448,0.0098,416664.64,91515.62,18041.54,30901.05,3.0626,0.4726,0.8627,1443,42,16
01.10.2024,Plant B,L1,B671016,2024,46899,1489,0.0317,316839.07,124544.72,35026.12,22503.3,3.8823,0.6101,0.9214,940,43,37
01.10.2024,Plant B,L2,B351031,2024,84475,1265,0.015,385870.32,122145.31,75612.48,48734.47,2.9179,0.5952,0.8477,1613,26,35
01.10.2024,Plant B,L3,B927791,2024,84315,2106,0.025,790715.81,250397.03,89625.29,18743.99,4.2551,0.8515,0.7241,13,56,5
01.10.2024,Plant B,L4,B596125,2024,34075,1321,0.0388,320546.68,66287.85,16994.17,19925.71,3.0288,0.6316,0.717,1017,32,15
01.10.2024,Plant C,L1,B180109,2024,63393,1766,0.0279,394464.03,195703.31,40705.04,14574.4,3.9592,0.8803,0.8916,295,49,33
01.10.2024,Plant C,L2,B833773,2024,11186,500,0.0447,52307.24,30481.15,8709.52,3433.1,3.8105,0.9193,0.8545,703,29,24
01.10.2024,Plant C,L3,B914863,2024,70364,3248,0.0462,510015.46,207950.67,59049.18,57230.6,4.6079,0.6056,0.705,1214,21,13
01.10.2024,Plant C,L4,B783177,2024,18841,665,0.0353,153523,49667.95,10357.5,9694.28,3.7004,0.6443,0.9006,44,46,19
01.11.2024,Plant A,L1,B583169,2024,32018,439,0.0137,161767.3,104740.55,18750.1,12908.8,4.2601,0.615,0.8223,1038,32,21
01.11.2024,Plant A,L2,B688812,2024,69091,1539,0.0223,700045.87,152323.96,37074.2,28019.47,3.1468,0.7698,0.7779,1019,41,26
01.11.2024,Plant A,L3,B823786,2024,40219,555,0.0138,345073.35,171058.21,43938.12,34742.38,6.2095,0.9047,0.7264,173,33,8
01.11.2024,Plant A,L4,B937786,2024,47182,1138,0.0241,420761.65,109725.77,17569.76,33869.7,3.4158,0.9152,0.7107,162,28,39
01.11.2024,Plant B,L1,B856515,2024,10622,216,0.0203,105606.42,21783.21,7418.16,4750.69,3.1964,0.5302,0.9056,193,38,11
01.11.2024,Plant B,L2,B706826,2024,17141,630,0.0368,104229.2,36809.1,7546.27,13807.04,3.3932,0.4671,0.8599,877,55,31
01.11.2024,Plant B,L3,B315646,2024,42727,1748,0.0409,185907.41,82475.27,27926.23,16566.55,2.9716,0.6564,0.7683,1456,25,7
01.11.2024,Plant B,L4,B262576,2024,80780,961,0.0119,411314.48,133608.43,41154.19,69032.08,3.018,0.6519,0.709,113,33,11
01.11.2024,Plant C,L1,B874998,2024,48657,694,0.0143,379293.16,209032.01,24980.24,33855.21,5.5052,0.8585,0.81,1287,39,8
01.11.2024,Plant C,L2,B126057,2024,23569,462,0.0196,100096.25,51990.75,13362.74,16074.73,3.4549,0.6595,0.7847,1085,25,36
01.11.2024,Plant C,L3,B160252,2024,14507,691,0.0476,149692.67,59928.7,14651.46,3011.79,5.3486,0.5431,0.7594,1718,49,4
01.11.2024,Plant C,L4,B141740,2024,28318,412,0.0145,182962.69,114806.17,10342.19,12444.18,4.8588,0.7523,0.8434,520,48,11
01.12.2024,Plant A,L1,B726161,2024,36540,1510,0.0413,180357.25,72548.63,21553.05,12641.46,2.9213,0.5648,0.8697,1291,60,21
01.12.2024,Plant A,L2,B191886,2024,57209,1518,0.0265,310316.59,179699.04,21047.01,22576.16,3.9036,0.5703,0.7696,1157,33,9
01.12.2024,Plant A,L3,B670085,2024,86975,1218,0.014,646846.19,241790.87,26163.04,74997.13,3.9431,0.8873,0.9188,227,21,9
01.12.2024,Plant A,L4,B146603,2024,82401,4926,0.0598,601393.79,109362.98,68537.09,29296.63,2.5145,0.8386,0.8903,162,36,4
01.12.2024,Plant B,L1,B480414,2024,54206,3004,0.0554,419043.33,213076.94,58727.26,47779.65,5.8957,0.5829,0.8356,1026,20,27
01.12.2024,Plant B,L2,B817739,2024,35342,197,0.0056,173449.35,94496.63,17657.51,24763.31,3.8741,0.5733,0.877,1369,49,8
01.12.2024,Plant B,L3,B893471,2024,53272,1436,0.027,246651.19,188265.18,16749.88,39909.73,4.5976,0.6736,0.8831,1607,21,31
01.12.2024,Plant B,L4,B554605,2024,26525,337,0.0127,247633.2,110257.62,18898.45,8117.08,5.1752,0.8622,0.8959,1547,42,25
01.12.2024,Plant C,L1,B951462,2024,11859,292,0.0246,72764.61,31723.2,8187.58,3716.9,3.6789,0.7593,0.7252,411,56,32
01.12.2024,Plant C,L2,B314921,2024,63342,3716,0.0587,289489.26,177265.79,42774.34,35953.36,4.0414,0.582,0.9613,1187,25,37
01.12.2024,Plant C,L3,B973196,2024,19600,905,0.0462,213899.91,36867.37,7851.21,5676.33,2.5712,0.6419,0.9658,844,61,31
01.12.2024,Plant C,L4,B222744,2024,6326,98,0.0155,63362.72,8594.58,6058.46,2416.13,2.6983,0.6686,0.9229,851,34,26
01.01.2025,Plant A,L1,B204972,2025,78265,1821,0.0233,479400.61,119134.24,75097.18,38522.96,2.9739,0.5511,0.9605,781,43,37
01.01.2025,Plant A,L2,B187129,2025,61754,964,0.0156,551603.31,93356.5,42081.28,20919.06,2.5319,0.7717,0.891,745,30,19
01.01.2025,Plant A,L3,B518083,2025,42689,2186,0.0512,419845.87,96778.39,37788.51,28426.1,3.8181,0.7138,0.8269,553,60,29
01.01.2025,Plant A,L4,B461193,2025,42633,2556,0.06,342801.65,74465.89,15984.45,18047.48,2.5449,0.6355,0.8533,214,27,9
01.01.2025,Plant B,L1,B456951,2025,64234,1439,0.0224,449583.78,191538.39,34642.1,29094.07,3.9741,0.5858,0.8132,872,51,21
01.01.2025,Plant B,L2,B278214,2025,70920,1965,0.0277,735288.15,228403.37,54751.14,20300.12,4.2788,0.8554,0.7394,965,29,34
01.01.2025,Plant B,L3,B423089,2025,51265,888,0.0173,545611.59,144116.35,34407.87,41049.08,4.2831,0.5183,0.9023,292,59,13
01.01.2025,Plant B,L4,B737726,2025,62985,2438,0.0387,414190.36,180985.48,54061.77,29258.72,4.1963,0.8722,0.9008,293,25,30
01.01.2025,Plant C,L1,B311581,2025,82982,2862,0.0345,636372.31,335911.49,56937.31,41148.83,5.23,0.897,0.9027,171,36,10
01.01.2025,Plant C,L2,B602325,2025,89869,2132,0.0237,638187.41,182098.81,98643.71,76450.18,3.9746,0.6922,0.9042,903,58,8
01.01.2025,Plant C,L3,B388167,2025,85371,1586,0.0186,341520.14,340398.87,74702.22,63860.42,5.6104,0.8963,0.9384,1483,27,32
01.01.2025,Plant C,L4,B887518,2025,41409,2148,0.0519,449007.74,74234.63,28923.42,19598.59,2.9645,0.471,0.8581,1781,31,40
01.02.2025,Plant A,L1,B908918,2025,29771,1601,0.0538,137279.33,110896.46,17678.09,11884.85,4.718,0.4834,0.704,610,36,16
01.02.2025,Plant A,L2,B714859,2025,46396,2538,0.0547,257606.52,147692.26,28223.29,33845.4,4.5211,0.4731,0.9663,582,52,8
01.02.2025,Plant A,L3,B518789,2025,61257,2147,0.035,590326.85,190335.6,60113.74,18671.51,4.3933,0.7409,0.8039,767,58,32
01.02.2025,Plant A,L4,B973469,2025,64752,1062,0.0164,417896.1,198975.89,50135.37,49938.15,4.6184,0.8486,0.7408,1750,52,30
01.02.2025,Plant B,L1,B905690,2025,54457,167,0.0031,434274.08,180774.57,26718.94,30411.43,4.3687,0.8321,0.7817,1745,24,19
01.02.2025,Plant B,L2,B439873,2025,56563,235,0.0042,444840.21,83053.39,34559.61,34737.12,2.6935,0.5003,0.799,642,27,19
01.02.2025,Plant B,L3,B492417,2025,46103,117,0.0025,424270.93,74495.33,50179.7,31533.92,3.3883,0.7781,0.8197,324,51,29
01.02.2025,Plant B,L4,B130402,2025,40085,590,0.0147,176414.95,109920.82,35759.63,29644.64,4.3738,0.4899,0.796,1211,31,6
01.02.2025,Plant C,L1,B918477,2025,33069,1403,0.0424,167068.28,97421.75,25198.03,19603.11,4.3008,0.4691,0.9337,1722,42,39
01.02.2025,Plant C,L2,B347837,2025,60016,1198,0.02,473138.35,116063.53,30278.51,26569.73,2.8811,0.6726,0.8776,928,47,15
01.02.2025,Plant C,L3,B344602,2025,68530,2566,0.0374,286406.62,186427.55,43853.88,40394.6,3.9497,0.5533,0.8893,552,58,24
01.02.2025,Plant C,L4,B633787,2025,23811,934,0.0392,233624.72,71009,11618.07,9180.53,3.8557,0.6676,0.833,1394,24,11
01.03.2025,Plant A,L1,B147804,2025,62915,678,0.0108,477359.24,173918.67,40312.31,25274.81,3.8068,0.6023,0.9854,1097,42,26
01.03.2025,Plant A,L2,B674853,2025,10835,225,0.0208,51155.81,46564.44,11356.32,4616.16,5.7718,0.6724,0.776,1777,52,10
01.03.2025,Plant A,L3,B383024,2025,21640,885,0.0409,192620.62,30738.26,13045.03,6578.77,2.3273,0.8886,0.9346,1436,49,22
01.03.2025,Plant A,L4,B927653,2025,47457,1756,0.037,410278.6,74362.7,16101.7,31142.97,2.5625,0.8498,0.8668,1,42,40
01.03.2025,Plant B,L1,B638955,2025,35744,1631,0.0456,259077.92,59075.38,16749.08,23398.2,2.7759,0.5113,0.8847,252,26,35
01.03.2025,Plant B,L2,B664346,2025,16890,244,0.0144,156040.98,56465.57,17324.09,9015.63,4.9026,0.7858,0.8825,288,44,38
01.03.2025,Plant B,L3,B612827,2025,41784,1219,0.0292,450881.82,145683.19,43659.97,15155.71,4.8942,0.7217,0.7977,989,46,15
