Date,Product Category,Sales Amount,Net Profit
2025-03-21,Toys & Games,543.05,89.87
2025-03-23,Books,150.26,-6.35
2025-03-23,Toys & Games,264.50,33.92
2025-03-23,Electronics,"2,489.63",338.51
2025-03-24,Electronics,"2,171.48",171.73
2025-03-24,Home & Kitchen,734.55,89.47
2025-03-25,Toys & Games,235.23,45.37
2025-03-29,Home & Kitchen,919.40,107.00
2025-03-29,Electronics,"2,907.76",308.41
2025-04-03,Books,200.62,27.53
2025-04-06,Sports & Outdoors,390.72,65.35
2025-04-08,Home & Kitchen,984.57,154.18
2025-04-08,Books,278.49,23.82
2025-04-08,Electronics,"2,860.93",359.87
2025-04-08,Toys & Games,503.03,110.39
2025-04-09,Books,135.78,16.53
2025-04-12,Office Supplies,294.23,56.66
2025-04-12,Toys & Games,621.04,136.43
2025-04-18,Office Supplies,207.59,32.48
2025-04-18,Books,182.90,21.86
2025-04-19,Office Supplies,195.15,37.04
2025-04-19,Beauty & Personal Care,376.99,100.97
2025-04-19,Sports & Outdoors,"1,013.84",140.78
2025-04-21,Office Supplies,365.19,58.10
2025-04-22,Home & Kitchen,527.75,74.12
2025-04-22,Toys & Games,414.40,76.13
2025-04-22,Toys & Games,348.09,60.72
2025-04-23,Sports & Outdoors,409.62,44.75
2025-04-25,Clothing,320.72,83.64
2025-04-25,Beauty & Personal Care,567.27,182.40
2025-04-27,Toys & Games,253.98,30.91
2025-04-27,Beauty & Personal Care,148.39,28.09
2025-04-27,Clothing,620.65,163.18
2025-04-27,Electronics,"2,166.64",211.36
2025-04-28,Clothing,840.81,157.96
2025-04-30,Home & Kitchen,"1,008.13",141.21
2025-05-02,Electronics,"1,102.35",137.67
2025-05-05,Home & Kitchen,"1,164.47",130.24
2025-05-05,Sports & Outdoors,"1,069.90",136.99
2025-05-06,Beauty & Personal Care,513.35,178.80
2025-05-07,Electronics,"2,256.27",268.96
2025-05-09,Sports & Outdoors,918.52,106.98
2025-05-10,Sports & Outdoors,463.20,-22.45
2025-05-10,Office Supplies,226.17,30.11
2025-05-10,Office Supplies,139.90,18.65
2025-05-15,Sports & Outdoors,716.54,103.51
2025-05-16,Beauty & Personal Care,498.33,95.75
2025-05-16,Beauty & Personal Care,394.58,126.31
2025-05-17,Office Supplies,160.75,28.75
2025-05-18,Beauty & Personal Care,352.21,92.96
2025-05-19,Electronics,"2,961.35",351.70
2025-05-21,Electronics,950.14,130.12
2025-05-22,Electronics,"3,238.92",368.53
2025-05-23,Electronics,"2,643.03",195.62
2025-05-23,Office Supplies,471.10,60.37
2025-05-26,Office Supplies,491.87,77.22
2025-05-29,Toys & Games,521.89,116.34
2025-05-31,Office Supplies,224.98,46.01
2025-06-02,Electronics,"1,772.85",150.98
2025-06-03,Books,321.37,-6.15
2025-06-03,Office Supplies,260.29,33.51
2025-06-05,Office Supplies,339.30,63.11
2025-06-10,Clothing,774.63,167.10
2025-06-10,Home & Kitchen,271.96,44.33
2025-06-10,Clothing,380.78,57.90
2025-06-11,Sports & Outdoors,"1,223.79",221.86
2025-06-13,Home & Kitchen,806.95,93.12
2025-06-14,Beauty & Personal Care,338.18,76.59
2025-06-16,Office Supplies,197.17,32.56
2025-06-16,Clothing,733.99,140.51
2025-06-18,Books,174.73,24.99
2025-06-22,Electronics,"1,361.12",114.18
2025-06-24,Office Supplies,428.62,66.29
2025-06-26,Toys & Games,434.48,80.47
2025-07-01,Toys & Games,567.72,134.94
2025-07-01,Books,137.40,19.52
2025-07-02,Office Supplies,349.60,66.82
2025-07-03,Clothing,472.37,73.48
2025-07-03,Toys & Games,567.77,127.69
2025-07-04,Office Supplies,106.21,13.21
2025-07-05,Clothing,218.06,58.27
2025-07-05,Books,247.55,36.67
2025-07-06,Books,328.07,42.70
2025-07-09,Office Supplies,408.58,46.41
2025-07-11,Beauty & Personal Care,517.36,158.80
2025-07-11,Home & Kitchen,856.74,145.98
2025-07-11,Clothing,592.53,169.18
2025-07-12,Electronics,"1,313.36",118.19
2025-07-12,Books,225.34,32.31
2025-07-13,Home & Kitchen,733.17,101.36
2025-07-13,Office Supplies,422.85,52.57
2025-07-13,Beauty & Personal Care,300.50,88.16
2025-07-14,Office Supplies,418.75,74.44
2025-07-14,Office Supplies,434.28,90.66
2025-07-15,Books,258.26,30.10
2025-07-16,Books,301.39,26.68
2025-07-19,Toys & Games,422.86,101.12
2025-07-19,Books,148.23,18.57
2025-07-19,Electronics,"2,713.28",324.55
2025-07-19,Beauty & Personal Care,427.98,93.78
2025-07-19,Sports & Outdoors,836.74,127.26
2025-07-20,Clothing,552.76,157.82
2025-07-22,Beauty & Personal Care,433.17,80.43
2025-07-22,Clothing,227.31,44.16
2025-07-24,Clothing,294.24,78.85
2025-07-25,Toys & Games,401.26,92.14
2025-07-25,Beauty & Personal Care,483.74,164.72
2025-08-03,Beauty & Personal Care,462.46,109.87
2025-08-03,Home & Kitchen,388.09,76.32
2025-08-05,Books,368.38,53.18
2025-08-05,Books,88.09,10.83
2025-08-07,Beauty & Personal Care,389.88,124.69
2025-08-07,Home & Kitchen,874.10,128.62
2025-08-08,Toys & Games,655.73,96.11
2025-08-08,Office Supplies,468.48,65.69
2025-08-09,Clothing,222.47,34.61
2025-08-10,Home & Kitchen,348.44,65.76
2025-08-10,Office Supplies,257.44,52.76
2025-08-15,Books,256.68,35.45
2025-08-15,Home & Kitchen,"1,018.66",164.58
2025-08-18,Beauty & Personal Care,142.66,34.66
2025-08-21,Sports & Outdoors,"1,150.29",114.95
2025-08-21,Toys & Games,189.06,28.95
2025-08-21,Office Supplies,147.94,19.41
2025-08-22,Electronics,847.46,73.46
2025-08-23,Sports & Outdoors,357.16,59.47
2025-08-23,Sports & Outdoors,"1,107.56",125.49
2025-08-24,Electronics,"1,418.73",196.81
2025-08-24,Beauty & Personal Care,485.73,96.51
2025-08-24,Clothing,201.99,54.23
2025-08-25,Toys & Games,164.62,25.00
2025-08-26,Books,238.67,33.33
2025-08-28,Toys & Games,436.23,58.06
2025-08-31,Electronics,"2,552.65",338.74
2025-09-06,Beauty & Personal Care,349.86,120.31
2025-09-08,Office Supplies,466.35,71.18
2025-09-10,Office Supplies,147.85,17.46
2025-09-10,Home & Kitchen,393.58,63.93
2025-09-11,Toys & Games,382.17,73.26
2025-09-11,Books,118.82,16.18
2025-09-12,Sports & Outdoors,757.59,135.46
2025-09-13,Office Supplies,281.72,51.54
2025-09-16,Toys & Games,545.11,89.90
2025-09-25,Office Supplies,145.23,28.06
2025-09-28,Home & Kitchen,984.45,135.13
2025-09-28,Electronics,"2,307.79",242.15
2025-09-30,Home & Kitchen,665.53,124.69
2025-09-30,Books,356.18,49.04
2025-09-30,Beauty & Personal Care,299.81,83.42
2025-09-30,Office Supplies,209.90,25.36
2025-10-01,Toys & Games,240.60,36.91
2025-10-02,Books,365.72,57.77
2025-10-02,Electronics,"2,480.13",279.33
2025-10-04,Electronics,"1,292.11",150.16
2025-10-04,Toys & Games,382.42,54.22
2025-10-06,Books,114.90,16.00
2025-10-07,Home & Kitchen,"1,032.86",125.51
2025-10-09,Toys & Games,266.14,41.89
2025-10-10,Home & Kitchen,"1,170.23",135.23
2025-10-11,Electronics,"2,660.24",217.52
2025-10-11,Office Supplies,384.97,58.29
2025-10-12,Home & Kitchen,631.52,70.15
2025-10-12,Office Supplies,350.41,49.35
2025-10-14,Electronics,813.31,68.41
2025-10-15,Clothing,776.07,150.11
2025-10-16,Office Supplies,445.31,56.81
2025-10-16,Sports & Outdoors,871.49,151.06
2025-10-16,Home & Kitchen,683.47,119.06
2025-10-18,Office Supplies,520.41,102.11
2025-10-20,Books,321.85,36.50
2025-10-23,Electronics,"3,470.31",255.93
2025-10-24,Office Supplies,481.97,97.35
2025-10-28,Home & Kitchen,529.56,84.14
2025-10-28,Books,373.93,52.22
2025-10-29,Clothing,267.66,65.57
2025-10-30,Sports & Outdoors,"1,321.29",165.08
2025-10-31,Clothing,385.85,66.35
2025-11-02,Clothing,948.87,235.63
2025-11-05,Office Supplies,396.72,66.00
2025-11-06,Toys & Games,847.64,165.52
2025-11-06,Home & Kitchen,927.07,151.24
2025-11-07,Electronics,"2,169.31",143.03
2025-11-10,Electronics,"1,165.54",147.48
2025-11-13,Home & Kitchen,"1,106.54",166.76
2025-11-16,Electronics,"2,501.99",312.21
2025-11-16,Toys & Games,656.55,118.29
2025-11-21,Office Supplies,205.97,41.18
2025-11-21,Home & Kitchen,970.84,113.84
2025-11-21,Office Supplies,675.63,109.73
2025-11-24,Toys & Games,485.43,74.73
2025-11-24,Toys & Games,711.02,89.79
2025-11-27,Toys & Games,259.18,34.04
2025-11-27,Beauty & Personal Care,325.21,105.62
2025-11-28,Clothing,561.63,133.34
2025-11-29,Toys & Games,439.27,87.29
2025-12-02,Clothing,887.80,258.08
2025-12-02,Books,409.78,43.55
2025-12-02,Home & Kitchen,"1,271.82",181.03
2025-12-05,Toys & Games,486.96,114.02
2025-12-05,Office Supplies,280.90,58.99
2025-12-06,Beauty & Personal Care,759.46,149.76
2025-12-07,Electronics,"3,582.09",466.07
2025-12-08,Books,194.03,18.33
2025-12-12,Clothing,"1,014.95",158.89
2025-12-12,Sports & Outdoors,"1,898.02",286.71
2025-12-13,Office Supplies,305.59,40.92
2025-12-14,Office Supplies,699.54,90.52
2025-12-14,Office Supplies,439.47,60.72
2025-12-15,Books,552.12,80.25
2025-12-16,Clothing,"1,167.99",184.34
2025-12-18,Toys & Games,688.17,91.05
2025-12-18,Home & Kitchen,779.11,137.37
2025-12-19,Clothing,"1,125.70",184.34
2025-12-19,Office Supplies,688.16,139.73
2025-12-20,Books,347.39,34.34
2025-12-22,Toys & Games,417.90,66.13
2025-12-23,Toys & Games,882.14,120.42
2025-12-23,Office Supplies,577.29,71.51
2025-12-24,Office Supplies,529.82,-34.39
2025-12-24,Clothing,841.19,217.94
2025-12-24,Home & Kitchen,"1,449.48",179.39
2025-12-24,Sports & Outdoors,"1,066.78",180.70
2025-12-25,Home & Kitchen,"1,532.08",229.79
2025-12-25,Sports & Outdoors,"1,518.44",-83.97
2025-12-27,Books,208.61,27.84
2025-12-28,Toys & Games,289.43,53.00
