Procurement report — Q1-Q2 2025 (internal use only)

Prepared by: Planning dept.,,Updated: 14.07.2025

Delivery Date,Supplier,Item Group,Contract No,Ordered Qty,Received Qty,Net Amount,Fill Rate
20.03.2025,Delta Group,Packaging,CT-802/25,937,704,3382906.52,0.7513
04.02.2025,Delta Group,Raw material,CT-639/25,1953,1927,7254189.45,0.9867
05.01.2025,Gamma Supply,Raw material,CT-166/25,1921,1495,2007279.16,0.7782
06.01.2025,Gamma Supply,Spare parts,CT-996/25,116,110,97032.98,0.9483
30.04.2025,Alfa Trade,Raw material,CT-172/25,1861,1332,5141190.97,0.7157
07.06.2025,BetaLogistics,Packaging,CT-580/25,1824,1646,2263822.56,0.9024
13.04.2025,Gamma Supply,Services,CT-728/25,1183,1052,4613233.74,0.8893
17.06.2025,Delta Group,Services,CT-855/25,934,699,3033593.2,0.7484
21.01.2025,Alfa Trade,Services,CT-807/25,1379,1177,4473911.87,0.8535
05.06.2025,BetaLogistics,Packaging,CT-376/25,1008,727,2690173.52,0.7212
02.04.2025,Alfa Trade,Raw material,CT-144/25,245,243,159829.35,0.9918
17.05.2025,Gamma Supply,Spare parts,CT-458/25,1544,1165,6034518.41,0.7545
08.06.2025,BetaLogistics,Packaging,CT-916/25,878,752,1911621.53,0.8565
10.01.2025,Alfa Trade,Raw material,CT-909/25,370,268,287805.5,0.7243
24.02.2025,Alfa Trade,Packaging,CT-794/25,320,285,1127942.74,0.8906
03.05.2025,Delta Group,Services,CT-918/25,1746,1410,3624483.35,0.8076
17.04.2025,BetaLogistics,Services,CT-637/25,341,249,1083231.71,0.7302
11.02.2025,Delta Group,Services,CT-122/25,1297,977,189037.66,0.7533
13.01.2025,Delta Group,Spare parts,CT-231/25,1757,1423,5907485.98,0.8099
11.01.2025,Delta Group,Raw material,CT-991/25,1302,1036,4199604.17,0.7957
11.05.2025,BetaLogistics,Services,CT-602/25,1305,1144,3218245.27,0.8766
07.06.2025,Gamma Supply,Packaging,CT-578/25,169,149,667652.67,0.8817
14.05.2025,Delta Group,Raw material,CT-657/25,469,378,576108.88,0.806
28.01.2025,BetaLogistics,Raw material,CT-846/25,739,711,624192.47,0.9621
03.04.2025,Alfa Trade,Raw material,CT-210/25,1889,1330,6756822.56,0.7041
23.02.2025,Delta Group,Packaging,CT-382/25,73,53,181559.22,0.726
13.02.2025,Alfa Trade,Services,CT-551/25,1633,1571,435985.66,0.962
27.06.2025,Alfa Trade,Raw material,CT-508/25,1240,999,1133671.55,0.8056
23.02.2025,Delta Group,Spare parts,CT-919/25,307,284,317885.66,0.9251
02.05.2025,Alfa Trade,Raw material,CT-696/25,1916,1766,7005357.83,0.9217
25.01.2025,Alfa Trade,Services,CT-162/25,753,701,1073985.16,0.9309
12.06.2025,Alfa Trade,Spare parts,CT-649/25,1592,1423,4592332.4,0.8938
04.05.2025,Delta Group,Services,CT-325/25,1638,1530,5575443.2,0.9341
11.01.2025,Gamma Supply,Services,CT-581/25,1210,847,1538814.89,0.7
05.04.2025,BetaLogistics,Services,CT-243/25,652,615,1997589.08,0.9433
29.03.2025,BetaLogistics,Packaging,CT-590/25,128,93,426226.32,0.7266
05.06.2025,Gamma Supply,Services,CT-440/25,972,958,3103980.67,0.9856
19.06.2025,Gamma Supply,Packaging,CT-812/25,1560,1297,1005795.62,0.8314
15.02.2025,BetaLogistics,Spare parts,CT-886/25,1059,856,3615929.87,0.8083
18.03.2025,Alfa Trade,Spare parts,CT-723/25,1744,1457,4718747.82,0.8354
14.03.2025,BetaLogistics,Spare parts,CT-313/25,36,29,110815.98,0.8056
23.01.2025,BetaLogistics,Spare parts,CT-172/25,1577,1338,5283412.78,0.8484
14.04.2025,BetaLogistics,Services,CT-995/25,886,825,512107.1,0.9312
08.03.2025,Gamma Supply,Raw material,CT-777/25,1876,1328,2239695.94,0.7079
08.03.2025,Gamma Supply,Raw material,CT-281/25,469,341,1805937.54,0.7271
18.04.2025,Delta Group,Spare parts,CT-781/25,1011,819,4022093.06,0.8101
06.01.2025,Alfa Trade,Packaging,CT-145/25,1754,1747,1574548.29,0.996
01.03.2025,Delta Group,Raw material,CT-187/25,424,345,1007805.62,0.8137
20.03.2025,Gamma Supply,Raw material,CT-619/25,1094,769,1670459.06,0.7029
29.06.2025,BetaLogistics,Packaging,CT-454/25,383,343,1451392.25,0.8956
03.03.2025,Gamma Supply,Packaging,CT-366/25,812,736,1927573.39,0.9064
12.03.2025,Gamma Supply,Packaging,CT-842/25,1589,1298,4499825.23,0.8169
23.01.2025,BetaLogistics,Packaging,CT-175/25,101,96,199565.24,0.9505
03.01.2025,BetaLogistics,Packaging,CT-198/25,860,749,566802.81,0.8709
06.02.2025,Gamma Supply,Spare parts,CT-538/25,107,93,161538.86,0.8692
11.03.2025,BetaLogistics,Spare parts,CT-398/25,453,427,1028640.26,0.9426
13.04.2025,Delta Group,Spare parts,CT-761/25,670,512,2153926.55,0.7642
23.03.2025,Alfa Trade,Packaging,CT-146/25,1263,1230,748961.28,0.9739
25.05.2025,Alfa Trade,Services,CT-541/25,1334,1121,2810965.48,0.8403
03.04.2025,Delta Group,Spare parts,CT-163/25,1659,1365,4790684.43,0.8228
06.01.2025,Delta Group,Spare parts,CT-242/25,857,764,2980008.37,0.8915
15.06.2025,BetaLogistics,Packaging,CT-704/25,1620,1358,1554251.43,0.8383
12.02.2025,Gamma Supply,Raw material,CT-662/25,1009,799,3338885.56,0.7919
11.01.2025,BetaLogistics,Raw material,CT-831/25,254,234,853570.01,0.9213
16.04.2025,Alfa Trade,Raw material,CT-453/25,1120,830,4032289.65,0.7411
30.04.2025,BetaLogistics,Services,CT-715/25,1432,1085,1801640.5,0.7577
06.03.2025,Delta Group,Packaging,CT-280/25,311,223,1018051.83,0.717
06.04.2025,Gamma Supply,Raw material,CT-486/25,806,680,600093.29,0.8437
21.01.2025,BetaLogistics,Services,CT-660/25,991,822,512603.06,0.8295
22.04.2025,Alfa Trade,Spare parts,CT-985/25,1261,947,127544.96,0.751
,,,,,,,
Subtotal quarter 1,,,,,,,
,,,,,,,
04.01.2025,Gamma Supply,Packaging,CT-957/25,1668,1201,2532841.6,0.72
15.04.2025,Alfa Trade,Services,CT-450/25,1986,1893,7642729.24,0.9532
10.06.2025,Delta Group,Raw material,CT-942/25,377,363,332655.64,0.9629
09.05.2025,Delta Group,Raw material,CT-860/25,1411,1278,5554111.81,0.9057
26.01.2025,Gamma Supply,Services,CT-520/25,1989,1968,3230734.27,0.9894
05.01.2025,Alfa Trade,Services,CT-749/25,172,133,129455.21,0.7733
09.06.2025,Delta Group,Raw material,CT-168/25,583,439,171932.54,0.753
02.03.2025,Gamma Supply,Spare parts,CT-294/25,1145,921,2417715.99,0.8044
09.06.2025,Alfa Trade,Raw material,CT-932/25,971,825,2193045.65,0.8496
17.01.2025,Gamma Supply,Services,CT-983/25,1804,1465,2694559.21,0.8121
08.04.2025,Alfa Trade,Raw material,CT-253/25,725,717,708681.11,0.989
04.06.2025,Delta Group,Packaging,CT-596/25,32,25,84824.57,0.7812
29.05.2025,BetaLogistics,Spare parts,CT-657/25,1895,1630,7397083.15,0.8602
24.02.2025,Alfa Trade,Packaging,CT-886/25,566,440,1676660.87,0.7774
11.02.2025,Alfa Trade,Packaging,CT-308/25,1954,1859,6219110.94,0.9514
19.04.2025,BetaLogistics,Raw material,CT-584/25,1519,1073,1943061.8,0.7064
17.05.2025,Gamma Supply,Packaging,CT-474/25,1501,1191,2894776.95,0.7935
22.05.2025,BetaLogistics,Services,CT-640/25,1963,1633,5822736.23,0.8319
23.03.2025,Gamma Supply,Raw material,CT-940/25,1041,944,3888210.57,0.9068
31.05.2025,Gamma Supply,Services,CT-488/25,1792,1259,5415505.97,0.7026
07.02.2025,Alfa Trade,Services,CT-293/25,1371,1157,3858472.91,0.8439
11.04.2025,BetaLogistics,Services,CT-863/25,591,542,551716.4,0.9171
27.05.2025,BetaLogistics,Packaging,CT-503/25,1039,868,342519.12,0.8354
30.04.2025,BetaLogistics,Spare parts,CT-819/25,852,755,2599762.56,0.8861
03.05.2025,Alfa Trade,Spare parts,CT-854/25,552,409,846295.23,0.7409
28.02.2025,Alfa Trade,Raw material,CT-434/25,1898,1774,1146945.2,0.9347
23.04.2025,Delta Group,Spare parts,CT-606/25,1657,1213,5290634.63,0.732
19.02.2025,Gamma Supply,Packaging,CT-605/25,63,56,90359.86,0.8889
06.04.2025,Alfa Trade,Services,CT-172/25,1313,985,4107948.65,0.7502
27.01.2025,BetaLogistics,Spare parts,CT-689/25,773,562,2563491.87,0.727
23.02.2025,Delta Group,Services,CT-667/25,1016,918,2913126.92,0.9035
22.03.2025,Gamma Supply,Raw material,CT-363/25,1091,812,3109934.45,0.7443
20.02.2025,BetaLogistics,Raw material,CT-207/25,496,413,1948631.81,0.8327
20.04.2025,Delta Group,Packaging,CT-497/25,572,502,360592.97,0.8776
04.03.2025,Delta Group,Spare parts,CT-974/25,773,565,549992.61,0.7309
17.03.2025,BetaLogistics,Packaging,CT-434/25,1262,1078,467476.01,0.8542
05.04.2025,Alfa Trade,Packaging,CT-702/25,463,434,869202.67,0.9374
11.04.2025,Gamma Supply,Spare parts,CT-365/25,187,174,565832.58,0.9305
05.06.2025,BetaLogistics,Raw material,CT-822/25,978,936,661456.9,0.9571
14.02.2025,Alfa Trade,Services,CT-348/25,1937,1556,3839855.39,0.8033
03.06.2025,Gamma Supply,Services,CT-703/25,1902,1895,1861845.85,0.9963
29.04.2025,Gamma Supply,Packaging,CT-126/25,1741,1559,979662.96,0.8955
05.05.2025,BetaLogistics,Raw material,CT-359/25,420,394,1180282.09,0.9381
21.02.2025,Gamma Supply,Services,CT-226/25,865,642,1160947.23,0.7422
29.03.2025,BetaLogistics,Services,CT-879/25,1783,1269,3646658.15,0.7117
22.03.2025,BetaLogistics,Spare parts,CT-651/25,1387,1250,4110277.06,0.9012
12.05.2025,BetaLogistics,Packaging,CT-305/25,154,111,180580.63,0.7208
22.06.2025,Delta Group,Spare parts,CT-596/25,931,787,2823296.72,0.8453
26.02.2025,Alfa Trade,Spare parts,CT-689/25,540,418,1620560.26,0.7741
15.03.2025,Gamma Supply,Packaging,CT-132/25,535,396,939666.39,0.7402
28.03.2025,Delta Group,Services,CT-722/25,573,484,516307.96,0.8447
07.05.2025,BetaLogistics,Services,CT-229/25,233,202,554624.72,0.867
17.01.2025,Gamma Supply,Spare parts,CT-899/25,1510,1097,1163918.58,0.7265
12.06.2025,Alfa Trade,Services,CT-681/25,993,961,1770995.05,0.9678
12.02.2025,Gamma Supply,Services,CT-239/25,187,140,325202.44,0.7487
14.01.2025,Gamma Supply,Services,CT-321/25,84,83,269298.06,0.9881
18.01.2025,BetaLogistics,Packaging,CT-232/25,1576,1201,406189.99,0.7621
11.02.2025,Gamma Supply,Services,CT-847/25,15,13,23255.17,0.8667
04.05.2025,Gamma Supply,Packaging,CT-225/25,1317,1095,1184464.02,0.8314
12.05.2025,Gamma Supply,Raw material,CT-777/25,15,11,15163.6,0.7333
04.03.2025,Delta Group,Services,CT-221/25,1945,1837,6413308.87,0.9445
14.02.2025,BetaLogistics,Spare parts,CT-853/25,521,424,405014.1,0.8138
22.05.2025,Delta Group,Spare parts,CT-317/25,369,339,1135849.99,0.9187
30.03.2025,Gamma Supply,Raw material,CT-355/25,1872,1826,1657330.36,0.9754
27.04.2025,Delta Group,Packaging,CT-825/25,200,159,11566.44,0.795
28.02.2025,Delta Group,Services,CT-574/25,1320,1022,3978281.17,0.7742
07.06.2025,BetaLogistics,Raw material,CT-275/25,1925,1530,1149825.29,0.7948
22.04.2025,Alfa Trade,Services,CT-700/25,1998,1528,5982639.53,0.7648
27.02.2025,BetaLogistics,Packaging,CT-985/25,844,825,1393259.68,0.9775
08.01.2025,Gamma Supply,Spare parts,CT-794/25,918,664,3617219.96,0.7233
07.01.2025,Delta Group,Raw material,CT-155/25,1270,1257,869303.07,0.9898
18.03.2025,BetaLogistics,Spare parts,CT-998/25,1000,729,2043581.14,0.729
17.02.2025,Gamma Supply,Services,CT-302/25,1468,1168,5082163.32,0.7956
14.03.2025,Delta Group,Spare parts,CT-964/25,1261,908,619728.16,0.7201
02.01.2025,BetaLogistics,Packaging,CT-863/25,1002,931,1284091.71,0.9291
03.05.2025,BetaLogistics,Packaging,CT-162/25,229,190,766844.68,0.8297
28.01.2025,BetaLogistics,Spare parts,CT-647/25,1239,1170,167454.06,0.9443
27.02.2025,BetaLogistics,Raw material,CT-487/25,1464,1388,5014273.25,0.9481
02.04.2025,BetaLogistics,Spare parts,CT-954/25,971,692,2695574.14,0.7127
02.04.2025,BetaLogistics,Services,CT-820/25,894,705,2626989.27,0.7886
18.01.2025,BetaLogistics,Spare parts,CT-726/25,1272,1121,4058119.05,0.8813
30.05.2025,Gamma Supply,Spare parts,CT-518/25,83,70,278965.44,0.8434
18.02.2025,Delta Group,Raw material,CT-631/25,837,828,1499345.15,0.9892
09.04.2025,Alfa Trade,Services,CT-717/25,1874,1739,6473181.91,0.928
04.03.2025,BetaLogistics,Spare parts,CT-155/25,853,684,2335396.14,0.8019
21.04.2025,Alfa Trade,Spare parts,CT-128/25,489,488,547184.48,0.998
25.02.2025,BetaLogistics,Services,CT-912/25,1372,1298,823537.62,0.9461
10.05.2025,Delta Group,Packaging,CT-609/25,1031,748,1496772.65,0.7255
26.02.2025,Delta Group,Raw material,CT-850/25,1887,1807,4622763.35,0.9576
28.02.2025,Delta Group,Raw material,CT-864/25,307,225,514281.65,0.7329
09.06.2025,Gamma Supply,Raw material,CT-300/25,1413,1015,4634368.22,0.7183
30.03.2025,Gamma Supply,Raw material,CT-325/25,871,642,986441.26,0.7371
15.04.2025,Delta Group,Raw material,CT-491/25,327,281,504260.45,0.8593
12.04.2025,Delta Group,Spare parts,CT-538/25,1419,1255,1892001.83,0.8844
11.02.2025,Gamma Supply,Spare parts,CT-902/25,1014,728,2980490.89,0.7179
03.03.2025,Delta Group,Packaging,CT-221/25,114,85,206832.11,0.7456
21.03.2025,Gamma Supply,Services,CT-741/25,844,713,215189.06,0.8448
04.04.2025,BetaLogistics,Raw material,CT-992/25,191,138,403079.46,0.7225
23.02.2025,Gamma Supply,Raw material,CT-941/25,1764,1244,2643959.9,0.7052
04.06.2025,Gamma Supply,Raw material,CT-538/25,1876,1840,5591613.68,0.9808
,,,,,,,
Subtotal quarter 2,,,,,,,
,,,,,,,
04.02.2025,Delta Group,Raw material,CT-349/25,1919,1882,271645.72,0.9807
06.03.2025,Alfa Trade,Spare parts,CT-377/25,841,726,2144522.86,0.8633
24.05.2025,Alfa Trade,Raw material,CT-183/25,1545,1470,4950961.39,0.9515
29.01.2025,Gamma Supply,Services,CT-240/25,906,750,836084.71,0.8278
04.03.2025,Gamma Supply,Spare parts,CT-442/25,1786,1399,1312600.21,0.7833
18.04.2025,BetaLogistics,Services,CT-796/25,1614,1151,2136623.66,0.7131
03.03.2025,Alfa Trade,Packaging,CT-892/25,1180,899,4674009.95,0.7619
03.05.2025,Alfa Trade,Packaging,CT-286/25,579,526,241198.14,0.9085
04.01.2025,Alfa Trade,Services,CT-440/25,1031,925,1371319.13,0.8972
28.05.2025,Alfa Trade,Raw material,CT-296/25,693,616,984309.87,0.8889
27.01.2025,BetaLogistics,Services,CT-469/25,486,413,791450.98,0.8498
07.01.2025,Gamma Supply,Packaging,CT-500/25,358,258,1028792.92,0.7207
24.01.2025,Alfa Trade,Raw material,CT-270/25,295,237,1062055.58,0.8034
12.04.2025,Alfa Trade,Services,CT-139/25,1200,1052,2147716.67,0.8767
07.06.2025,Alfa Trade,Packaging,CT-511/25,1097,785,3983248.46,0.7156
13.03.2025,Gamma Supply,Raw material,CT-251/25,201,188,458849.22,0.9353
18.06.2025,Delta Group,Raw material,CT-287/25,1944,1636,2230164.47,0.8416
30.06.2025,BetaLogistics,Raw material,CT-712/25,1467,1070,1548967.24,0.7294
17.04.2025,Delta Group,Services,CT-281/25,1017,907,74433.81,0.8918
05.04.2025,Delta Group,Spare parts,CT-248/25,979,760,3881886.78,0.7763
19.06.2025,Delta Group,Packaging,CT-678/25,570,535,485081.58,0.9386
11.01.2025,BetaLogistics,Services,CT-524/25,1188,879,2236200.85,0.7399
05.03.2025,Delta Group,Spare parts,CT-857/25,1937,1832,6521530.5,0.9458
30.01.2025,Gamma Supply,Packaging,CT-107/25,609,487,834382.81,0.7997
21.06.2025,BetaLogistics,Spare parts,CT-154/25,1461,1025,4553938.18,0.7016
13.04.2025,Alfa Trade,Packaging,CT-650/25,1111,899,3771959.67,0.8092
02.05.2025,Alfa Trade,Packaging,CT-232/25,130,94,343811.07,0.7231
21.04.2025,Alfa Trade,Services,CT-521/25,1135,887,1350205.07,0.7815
28.04.2025,Alfa Trade,Spare parts,CT-239/25,838,722,1992528.94,0.8616
11.01.2025,Gamma Supply,Spare parts,CT-976/25,889,756,2587296.19,0.8504
27.02.2025,Delta Group,Spare parts,CT-761/25,771,542,1037959.43,0.703
24.02.2025,Gamma Supply,Raw material,CT-170/25,976,797,3443897.42,0.8166
23.05.2025,BetaLogistics,Packaging,CT-259/25,1191,1164,3027534.74,0.9773
27.04.2025,BetaLogistics,Services,CT-472/25,144,138,8767.44,0.9583
02.05.2025,Alfa Trade,Services,CT-441/25,1215,1048,4768425.95,0.8626
04.03.2025,Delta Group,Services,CT-293/25,60,57,191284.66,0.95
01.03.2025,Gamma Supply,Packaging,CT-394/25,1457,1360,3495690.58,0.9334
19.01.2025,Gamma Supply,Spare parts,CT-169/25,38,35,4872.18,0.9211
30.06.2025,Delta Group,Services,CT-890/25,771,683,2073564.29,0.8859
03.05.2025,Delta Group,Packaging,CT-957/25,1299,1106,117770.9,0.8514
04.05.2025,Alfa Trade,Raw material,CT-734/25,1458,1226,4076877.98,0.8409
12.02.2025,Alfa Trade,Spare parts,CT-491/25,1899,1659,1208325.45,0.8736
21.04.2025,Delta Group,Spare parts,CT-740/25,536,456,651284.28,0.8507
18.06.2025,Alfa Trade,Packaging,CT-842/25,132,114,321086.9,0.8636
12.02.2025,Gamma Supply,Raw material,CT-766/25,58,47,83573.67,0.8103
24.02.2025,Delta Group,Services,CT-646/25,922,678,2635698.38,0.7354
01.02.2025,Delta Group,Spare parts,CT-474/25,908,720,898243.65,0.793
23.01.2025,Delta Group,Services,CT-176/25,738,517,2646990.84,0.7005
01.05.2025,Alfa Trade,Services,CT-620/25,1158,894,2167285.29,0.772
09.02.2025,Alfa Trade,Spare parts,CT-847/25,1772,1284,5891592.24,0.7246
22.05.2025,Delta Group,Spare parts,CT-745/25,17,14,32854.55,0.8235
10.03.2025,BetaLogistics,Packaging,CT-237/25,868,729,1340337.14,0.8399
03.05.2025,Delta Group,Raw material,CT-584/25,1920,1849,2959701.18,0.963
15.03.2025,Alfa Trade,Raw material,CT-506/25,882,725,817954.95,0.822
11.06.2025,BetaLogistics,Services,CT-971/25,453,347,1259277.31,0.766
01.01.2025,Delta Group,Services,CT-521/25,272,235,404578.92,0.864
14.04.2025,Delta Group,Raw material,CT-108/25,1675,1414,4053093.3,0.8442
30.01.2025,Alfa Trade,Services,CT-578/25,1904,1356,4679808.77,0.7122
26.03.2025,Alfa Trade,Spare parts,CT-729/25,889,879,3229368.03,0.9888
19.01.2025,Gamma Supply,Packaging,CT-464/25,108,89,89765.83,0.8241
27.02.2025,BetaLogistics,Packaging,CT-817/25,644,541,766262.51,0.8401
03.04.2025,Gamma Supply,Services,CT-246/25,210,165,740340.87,0.7857
13.02.2025,Gamma Supply,Spare parts,CT-574/25,458,418,1257525.13,0.9127
12.06.2025,BetaLogistics,Packaging,CT-681/25,1825,1697,4906708.37,0.9299
10.01.2025,Gamma Supply,Packaging,CT-967/25,332,280,938131.9,0.8434
24.04.2025,Alfa Trade,Packaging,CT-852/25,1926,1794,644870.82,0.9315
05.02.2025,Delta Group,Spare parts,CT-483/25,1034,784,3632397.63,0.7582
30.01.2025,Gamma Supply,Packaging,CT-912/25,1871,1745,1553587.54,0.9327
14.01.2025,Delta Group,Raw material,CT-228/25,327,246,1133730.78,0.7523
08.02.2025,Delta Group,Raw material,CT-467/25,844,812,2146453.32,0.9621
19.01.2025,BetaLogistics,Raw material,CT-934/25,1449,1427,5461309.42,0.9848
31.03.2025,Gamma Supply,Packaging,CT-612/25,1822,1459,3338024.89,0.8008
14.06.2025,BetaLogistics,Raw material,CT-431/25,1627,1474,4302091.13,0.906
30.06.2025,Gamma Supply,Raw material,CT-839/25,765,660,2751080.46,0.8627
05.05.2025,Alfa Trade,Raw material,CT-846/25,92,68,216785.02,0.7391
02.05.2025,Delta Group,Packaging,CT-668/25,1290,1029,4996284.34,0.7977
19.04.2025,Gamma Supply,Raw material,CT-773/25,1181,1109,3182571.82,0.939
28.06.2025,Gamma Supply,Services,CT-711/25,181,132,252483.38,0.7293
17.04.2025,BetaLogistics,Raw material,CT-215/25,929,913,2055814.22,0.9828
14.02.2025,Gamma Supply,Raw material,CT-397/25,786,584,2335186.13,0.743
06.04.2025,Gamma Supply,Spare parts,CT-230/25,1255,953,1454984.04,0.7594
27.02.2025,Alfa Trade,Services,CT-356/25,623,459,795337.38,0.7368
01.06.2025,Alfa Trade,Packaging,CT-506/25,164,155,80699.99,0.9451
06.02.2025,Alfa Trade,Spare parts,CT-757/25,413,326,737161.75,0.7893
27.04.2025,Gamma Supply,Packaging,CT-297/25,1092,847,1762461.99,0.7756
20.01.2025,Gamma Supply,Spare parts,CT-406/25,1498,1391,2962037.82,0.9286
13.06.2025,BetaLogistics,Services,CT-272/25,1750,1504,4006941.03,0.8594
17.06.2025,Gamma Supply,Spare parts,CT-994/25,1065,823,3743601.05,0.7728
01.02.2025,BetaLogistics,Raw material,CT-876/25,959,791,3769721.68,0.8248
02.05.2025,Gamma Supply,Raw material,CT-864/25,888,875,2897464.33,0.9854
22.01.2025,Delta Group,Spare parts,CT-593/25,444,333,723530.52,0.75
06.03.2025,Alfa Trade,Packaging,CT-121/25,1520,1231,5521328.88,0.8099
11.02.2025,Alfa Trade,Packaging,CT-695/25,1407,1121,4927945.72,0.7967
20.04.2025,Alfa Trade,Services,CT-456/25,752,548,71418.33,0.7287
08.04.2025,Gamma Supply,Services,CT-546/25,1780,1553,2643127.3,0.8725
11.05.2025,Alfa Trade,Spare parts,CT-244/25,1742,1493,2077741.91,0.8571
22.02.2025,Delta Group,Raw material,CT-693/25,107,75,294489.73,0.7009
12.04.2025,Alfa Trade,Raw material,CT-669/25,779,692,792233.23,0.8883
24.03.2025,BetaLogistics,Services,CT-161/25,1728,1657,4599419,0.9589
18.05.2025,BetaLogistics,Packaging,CT-622/25,824,685,2694872.81,0.8313
,,,,,,,
TOTAL,,,,302443,255622,,
