Txn Date,Store,Category,Payment Type,Basket Items,Basket Value
06.09.2025,Store 05,Networking,Card,8,421.36
24.12.2024,Store 11,Monitors,Cash,3,147
18.04.2024,Store 39,Monitors,Wallet,10,166.1
01.10.2024,Store 18,Storage,Wallet,16,21.76
08.05.2025,Store 35,Networking,Voucher,20,105.63
01.01.2024,Store 05,Monitors,Cash,16,16.09
14.01.2024,Store 32,Storage,Cash,3,369.65
13.09.2025,Store 15,Storage,Wallet,8,130.57
07.04.2024,Store 02,Networking,Wallet,5,106.03
07.07.2024,Store 18,Monitors,Voucher,8,355.35
24.01.2025,Store 38,Storage,Cash,21,305.88
13.05.2025,Store 33,Laptops,Wallet,3,60.3
22.10.2025,Store 25,Monitors,Cash,3,392.55
03.07.2024,Store 33,Peripherals,Wallet,17,108.51
15.06.2024,Store 10,Networking,Card,6,15.51
04.02.2024,Store 10,Storage,Voucher,15,225.46
24.07.2024,Store 31,Storage,Voucher,10,13.23
22.01.2025,Store 03,Storage,Voucher,4,338.92
27.09.2025,Store 08,Networking,Voucher,3,18.35
26.12.2024,Store 10,Monitors,Voucher,12,471.08
20.10.2025,Store 22,Networking,Voucher,11,44.02
28.04.2024,Store 18,Laptops,Cash,10,254.25
23.03.2025,Store 24,Networking,Wallet,4,214.01
17.03.2024,Store 15,Storage,Wallet,12,260.2
19.01.2025,Store 05,Peripherals,Voucher,21,265.19
12.06.2025,Store 26,Networking,Card,5,270.78
24.02.2024,Store 02,Networking,Card,6,33.01
16.04.2024,Store 09,Laptops,Card,6,472.29
24.10.2025,Store 37,Monitors,Voucher,17,420.71
01.05.2025,Store 16,Storage,Cash,13,314.05
25.07.2024,Store 21,Storage,Card,14,390.51
29.09.2024,Store 14,Peripherals,Wallet,16,112.85
13.05.2025,Store 34,Peripherals,Cash,14,311.45
20.03.2025,Store 06,Peripherals,Voucher,1,154.2
05.04.2024,Store 11,Monitors,Cash,10,224.87
07.10.2024,Store 35,Monitors,Card,6,27.2
06.02.2025,Store 01,Storage,Cash,19,378.72
12.01.2025,Store 29,Peripherals,Voucher,4,239.74
29.07.2025,Store 25,Peripherals,Wallet,20,149.61
05.08.2025,Store 19,Networking,Wallet,12,212.55
10.10.2025,Store 36,Laptops,Wallet,10,440.18
21.06.2025,Store 38,Storage,Voucher,2,3.82
10.03.2025,Store 38,Networking,Card,4,154.24
08.08.2025,Store 11,Monitors,Card,4,413.06
14.01.2024,Store 06,Peripherals,Card,15,315.73
21.02.2024,Store 13,Peripherals,Voucher,5,450.99
17.05.2024,Store 08,Peripherals,Cash,16,407.91
03.05.2024,Store 40,Peripherals,Card,15,124.86
07.04.2025,Store 36,Laptops,Cash,10,316.19
22.08.2025,Store 15,Laptops,Wallet,18,42.41
22.06.2024,Store 38,Peripherals,Wallet,1,379.95
01.02.2024,Store 10,Laptops,Wallet,6,226.71
11.03.2025,Store 21,Storage,Wallet,20,174.38
20.07.2024,Store 07,Networking,Cash,11,305.65
09.11.2025,Store 29,Laptops,Cash,6,258.26
06.04.2025,Store 29,Networking,Wallet,21,151.73
07.06.2024,Store 08,Storage,Card,7,253.33
17.05.2025,Store 16,Laptops,Cash,10,220.94
22.05.2025,Store 21,Networking,Cash,9,327.69
30.10.2025,Store 22,Networking,Voucher,6,122.31
13.10.2024,Store 07,Laptops,Card,11,194.06
12.03.2024,Store 17,Storage,Voucher,13,73.82
22.11.2024,Store 30,Peripherals,Voucher,3,401.27
16.01.2024,Store 28,Networking,Voucher,17,161.63
04.10.2024,Store 05,Storage,Cash,20,217.19
19.08.2025,Store 11,Networking,Card,11,306.19
08.08.2024,Store 34,Storage,Wallet,4,263.25
07.05.2025,Store 35,Peripherals,Card,15,222.45
06.09.2024,Store 36,Laptops,Voucher,21,60.94
27.09.2025,Store 35,Laptops,Card,16,246.45
20.01.2024,Store 26,Storage,Wallet,3,459.37
05.11.2025,Store 23,Networking,Card,2,396.79
06.05.2024,Store 27,Monitors,Voucher,20,260.91
28.04.2025,Store 18,Storage,Voucher,5,24.78
13.07.2024,Store 37,Networking,Voucher,22,465.47
24.04.2025,Store 13,Laptops,Cash,9,118.58
15.04.2024,Store 33,Monitors,Cash,16,223.34
30.05.2024,Store 06,Networking,Voucher,10,457.61
22.01.2025,Store 22,Storage,Card,5,279.18
04.11.2025,Store 13,Laptops,Voucher,9,29.03
08.07.2025,Store 02,Networking,Wallet,7,104.19
23.12.2024,Store 08,Storage,Cash,1,65.79
08.02.2025,Store 35,Monitors,Wallet,21,262.26
02.04.2025,Store 15,Monitors,Wallet,13,281.13
28.08.2024,Store 40,Storage,Cash,12,96.19
16.10.2024,Store 31,Laptops,Wallet,3,464.97
23.04.2025,Store 09,Peripherals,Wallet,6,470.94
09.08.2025,Store 09,Peripherals,Voucher,3,138.3
27.07.2025,Store 10,Peripherals,Cash,8,432.59
17.08.2025,Store 37,Monitors,Cash,22,367.29
10.10.2024,Store 10,Networking,Wallet,5,423.5
06.03.2025,Store 03,Networking,Voucher,9,120.45
28.11.2025,Store 35,Peripherals,Voucher,5,59.4
23.08.2024,Store 36,Peripherals,Card,6,57.58
15.02.2024,Store 35,Networking,Wallet,3,427.96
27.08.2024,Store 31,Monitors,Cash,17,442.45
17.01.2025,Store 33,Monitors,Wallet,18,96.62
16.01.2024,Store 16,Storage,Cash,14,456.58
02.04.2024,Store 17,Monitors,Card,5,232.39
10.04.2025,Store 09,Peripherals,Wallet,21,448.92
30.07.2024,Store 37,Networking,Card,10,309.22
18.01.2024,Store 32,Peripherals,Cash,18,112.26
13.05.2025,Store 17,Peripherals,Wallet,17,252.92
16.10.2024,Store 37,Networking,Voucher,9,422.58
01.02.2024,Store 13,Networking,Wallet,7,234.01
01.11.2024,Store 08,Storage,Cash,20,248.71
15.09.2024,Store 14,Peripherals,Card,12,86.43
13.08.2024,Store 19,Laptops,Wallet,15,12.21
06.06.2025,Store 06,Storage,Voucher,16,255.6
15.11.2024,Store 16,Monitors,Voucher,10,470.91
31.01.2024,Store 12,Networking,Card,12,233.6
14.08.2024,Store 08,Peripherals,Voucher,3,33.3
19.10.2025,Store 09,Laptops,Voucher,15,302.22
14.11.2025,Store 12,Peripherals,Card,15,5.57
07.09.2025,Store 10,Laptops,Cash,17,104.25
01.03.2024,Store 34,Peripherals,Wallet,16,389.78
04.07.2025,Store 17,Peripherals,Card,22,349.49
10.09.2024,Store 12,Monitors,Cash,12,360.66
11.09.2024,Store 19,Laptops,Voucher,15,100.26
02.06.2025,Store 35,Monitors,Voucher,17,111.78
21.01.2024,Store 19,Laptops,Voucher,10,72.68
20.08.2024,Store 30,Peripherals,Voucher,18,205.14
26.03.2024,Store 02,Networking,Card,12,214.66
16.02.2024,Store 38,Peripherals,Cash,11,326.18
23.08.2024,Store 02,Peripherals,Cash,10,17.07
16.04.2025,Store 31,Networking,Wallet,7,21.57
25.04.2025,Store 05,Peripherals,Wallet,9,428.5
08.07.2024,Store 19,Peripherals,Card,6,405.66
17.03.2024,Store 12,Monitors,Cash,21,250.42
02.04.2024,Store 32,Networking,Wallet,12,407.83
31.12.2024,Store 08,Peripherals,Wallet,4,327.06
25.03.2025,Store 35,Laptops,Card,6,149.24
15.07.2024,Store 22,Storage,Cash,10,330.81
14.04.2025,Store 19,Networking,Card,3,200.53
28.06.2024,Store 38,Storage,Cash,3,243.35
11.04.2024,Store 04,Storage,Voucher,3,349.23
27.01.2025,Store 20,Laptops,Card,22,79.64
06.02.2025,Store 32,Storage,Voucher,14,373.04
21.05.2024,Store 31,Networking,Card,17,372.35
27.04.2025,Store 05,Monitors,Voucher,4,417.87
26.05.2025,Store 36,Networking,Voucher,15,209.85
29.09.2025,Store 39,Networking,Voucher,11,60.49
27.11.2024,Store 09,Peripherals,Wallet,22,165.14
21.03.2024,Store 15,Peripherals,Cash,6,214.82
09.12.2024,Store 33,Monitors,Voucher,4,436.11
05.03.2025,Store 21,Monitors,Cash,9,12.76
08.09.2025,Store 35,Laptops,Voucher,5,228.63
30.06.2024,Store 18,Monitors,Card,1,306.71
09.04.2024,Store 06,Networking,Card,21,238.31
14.05.2025,Store 16,Monitors,Card,4,438.26
21.07.2024,Store 29,Peripherals,Voucher,17,299.24
27.08.2024,Store 31,Monitors,Cash,10,375.74
01.04.2025,Store 06,Networking,Card,3,69.38
11.09.2025,Store 03,Monitors,Cash,12,433.56
18.04.2025,Store 21,Laptops,Wallet,5,357.85
11.08.2024,Store 30,Storage,Voucher,3,345.35
14.08.2025,Store 28,Networking,Cash,5,278.58
29.11.2025,Store 11,Peripherals,Card,17,30.08
15.07.2024,Store 32,Peripherals,Voucher,12,435.93
12.05.2024,Store 25,Laptops,Wallet,15,197.46
30.03.2025,Store 32,Peripherals,Card,3,104.7
07.08.2025,Store 04,Laptops,Cash,5,225.24
30.04.2024,Store 39,Laptops,Card,13,407.91
27.02.2024,Store 10,Networking,Card,5,396.11
10.05.2025,Store 36,Networking,Voucher,8,120.7
03.10.2025,Store 11,Peripherals,Wallet,18,92.92
08.01.2024,Store 01,Storage,Cash,2,157.79
27.12.2024,Store 19,Monitors,Cash,15,123.12
25.05.2024,Store 17,Peripherals,Wallet,3,133.4
05.11.2025,Store 27,Storage,Voucher,21,336.62
06.10.2024,Store 28,Monitors,Card,20,207.53
24.01.2024,Store 02,Storage,Cash,14,13.71
30.04.2025,Store 37,Peripherals,Wallet,1,113.95
07.11.2025,Store 17,Peripherals,Card,18,3.27
26.03.2025,Store 02,Laptops,Card,19,202.04
24.09.2025,Store 23,Networking,Card,18,21.97
06.05.2025,Store 37,Storage,Wallet,13,223.89
09.04.2025,Store 18,Storage,Card,8,386.5
28.12.2024,Store 08,Monitors,Cash,21,104.8
02.07.2025,Store 15,Networking,Cash,3,384.52
10.02.2024,Store 05,Storage,Card,15,334.47
10.03.2024,Store 34,Peripherals,Card,22,233.86
28.11.2024,Store 37,Peripherals,Cash,1,248.09
05.05.2024,Store 11,Monitors,Voucher,13,99.18
24.03.2024,Store 18,Laptops,Voucher,19,7.09
13.09.2025,Store 33,Storage,Voucher,22,447.61
28.02.2024,Store 37,Monitors,Card,1,142.13
12.02.2024,Store 08,Monitors,Card,4,443.75
11.08.2024,Store 17,Monitors,Voucher,1,215.03
20.06.2025,Store 29,Peripherals,Wallet,12,95.88
06.02.2025,Store 05,Monitors,Wallet,20,414.84
27.12.2024,Store 22,Monitors,Card,9,260.08
20.02.2025,Store 35,Monitors,Wallet,4,53.06
25.10.2025,Store 27,Networking,Card,7,390.26
08.08.2025,Store 30,Networking,Voucher,12,190.94
18.07.2025,Store 38,Storage,Cash,21,461.81
16.09.2024,Store 23,Laptops,Card,12,6.49
30.07.2024,Store 36,Storage,Wallet,15,347.72
09.01.2025,Store 12,Peripherals,Wallet,12,64.08
01.05.2025,Store 22,Peripherals,Voucher,9,250.16
03.03.2025,Store 15,Storage,Cash,17,184.3
15.08.2024,Store 16,Laptops,Cash,6,336.85
02.05.2025,Store 24,Storage,Wallet,11,307.43
22.10.2024,Store 06,Laptops,Wallet,8,146.84
28.01.2024,Store 29,Laptops,Voucher,18,390.64
27.03.2025,Store 31,Monitors,Wallet,17,86.86
11.07.2024,Store 04,Storage,Cash,3,290.2
17.08.2024,Store 01,Laptops,Card,7,30.48
27.09.2024,Store 09,Storage,Card,11,34.09
24.01.2025,Store 24,Laptops,Wallet,10,165.08
04.01.2024,Store 27,Monitors,Cash,17,416.58
22.04.2025,Store 24,Monitors,Wallet,5,81.85
14.06.2024,Store 28,Peripherals,Cash,14,458.46
21.10.2024,Store 02,Networking,Voucher,1,432.14
24.06.2024,Store 06,Peripherals,Cash,22,189.99
22.05.2025,Store 40,Storage,Cash,11,229.4
18.01.2025,Store 38,Storage,Card,16,461.05
13.08.2025,Store 19,Laptops,Voucher,3,438.81
16.12.2024,Store 10,Peripherals,Voucher,6,164.33
08.12.2024,Store 10,Laptops,Voucher,18,115.25
31.01.2025,Store 35,Laptops,Voucher,12,366.35
23.10.2024,Store 23,Laptops,Cash,9,370.94
15.09.2024,Store 01,Monitors,Wallet,2,470.91
07.02.2025,Store 38,Networking,Voucher,20,11.61
06.05.2024,Store 02,Laptops,Cash,10,217.94
26.01.2024,Store 11,Storage,Voucher,4,182.88
04.10.2025,Store 35,Peripherals,Cash,8,154.67
31.12.2024,Store 35,Networking,Card,13,120.51
11.02.2025,Store 10,Laptops,Card,14,367.86
01.04.2024,Store 23,Networking,Card,8,469.47
22.11.2025,Store 34,Peripherals,Wallet,21,479.41
01.12.2024,Store 39,Peripherals,Card,13,86.52
12.01.2024,Store 10,Networking,Card,1,364.44
12.12.2024,Store 05,Monitors,Card,18,331.98
07.06.2024,Store 22,Networking,Voucher,9,159.67
10.10.2025,Store 37,Monitors,Cash,10,401.53
08.08.2024,Store 03,Peripherals,Card,2,83.15
23.06.2024,Store 06,Peripherals,Wallet,15,369.52
03.11.2024,Store 06,Storage,Card,12,19.69
03.02.2024,Store 04,Laptops,Cash,20,163.02
19.12.2024,Store 23,Monitors,Cash,17,320.66
22.05.2025,Store 29,Storage,Card,5,342.07
16.12.2024,Store 06,Storage,Cash,9,446.16
18.10.2024,Store 22,Monitors,Wallet,20,197.6
04.07.2025,Store 38,Networking,Cash,20,73.89
30.09.2024,Store 34,Networking,Cash,7,205.25
29.08.2025,Store 40,Networking,Voucher,12,199.5
12.01.2025,Store 10,Monitors,Wallet,14,220.23
06.12.2024,Store 25,Storage,Card,3,209.05
03.02.2025,Store 01,Storage,Cash,11,355.97
03.05.2025,Store 28,Monitors,Voucher,3,409.09
09.07.2025,Store 34,Peripherals,Voucher,15,212.93
01.07.2024,Store 12,Peripherals,Voucher,6,122.8
01.08.2024,Store 23,Storage,Card,1,414.22
20.11.2025,Store 23,Storage,Voucher,2,379.12
26.07.2025,Store 04,Laptops,Wallet,7,313.81
17.08.2024,Store 25,Networking,Wallet,12,356.56
05.03.2024,Store 15,Networking,Card,15,176.87
13.09.2025,Store 31,Storage,Card,2,50.31
11.11.2025,Store 22,Networking,Wallet,7,369.89
28.07.2024,Store 38,Storage,Voucher,16,427.37
15.11.2024,Store 34,Storage,Card,21,322.07
29.07.2025,Store 01,Monitors,Cash,17,315.15
25.07.2024,Store 09,Storage,Wallet,4,469.89
19.03.2025,Store 13,Storage,Wallet,8,337.73
15.05.2024,Store 15,Laptops,Cash,15,250.61
06.11.2025,Store 25,Storage,Card,7,394.6
08.06.2025,Store 33,Laptops,Wallet,19,206.75
11.10.2024,Store 40,Storage,Card,19,406.82
14.04.2024,Store 35,Laptops,Card,11,257.8
24.08.2025,Store 12,Peripherals,Wallet,16,422.31
29.04.2024,Store 26,Peripherals,Voucher,6,333.04
07.02.2024,Store 30,Storage,Cash,8,466.19
04.07.2025,Store 15,Networking,Voucher,6,156.02
23.02.2024,Store 16,Networking,Cash,21,310.26
06.02.2025,Store 37,Monitors,Card,22,264.92
11.09.2025,Store 17,Peripherals,Card,17,439.94
26.06.2025,Store 30,Networking,Wallet,10,268.39
17.11.2024,Store 08,Laptops,Voucher,5,126.43
09.01.2024,Store 27,Monitors,Cash,2,109.98
08.04.2024,Store 27,Storage,Voucher,9,478.77
03.09.2025,Store 17,Storage,Wallet,10,77.26
30.12.2024,Store 20,Laptops,Cash,19,254.61
25.03.2025,Store 40,Networking,Cash,17,309.39
16.10.2025,Store 32,Monitors,Wallet,2,139.1
07.04.2024,Store 30,Monitors,Cash,9,4.15
15.04.2025,Store 15,Peripherals,Cash,13,230.53
16.05.2024,Store 39,Laptops,Cash,22,434.29
27.09.2025,Store 19,Monitors,Wallet,22,450.9
28.08.2025,Store 06,Networking,Cash,17,243.31
24.11.2025,Store 11,Storage,Voucher,7,463.53
08.07.2025,Store 09,Laptops,Card,14,136.62
01.06.2024,Store 08,Storage,Card,15,156.82
16.05.2025,Store 38,Networking,Cash,21,301.77
09.01.2024,Store 28,Networking,Wallet,20,458.75
15.10.2025,Store 19,Peripherals,Cash,18,98.63
17.06.2025,Store 20,Monitors,Cash,2,260.09
25.08.2025,Store 04,Monitors,Cash,4,252.68
06.12.2024,Store 31,Monitors,Cash,6,428.58
18.08.2025,Store 19,Networking,Wallet,3,444.49
05.06.2024,Store 20,Storage,Wallet,21,257.27
10.03.2025,Store 29,Networking,Wallet,19,315.03
27.02.2024,Store 15,Monitors,Cash,3,95.59
05.03.2025,Store 13,Laptops,Card,12,36.84
13.04.2024,Store 33,Laptops,Card,10,297.22
28.06.2025,Store 19,Monitors,Cash,4,368.75
22.04.2024,Store 18,Laptops,Cash,5,384.02
26.10.2025,Store 15,Laptops,Cash,16,232.97
05.06.2025,Store 37,Laptops,Wallet,7,178.09
03.06.2024,Store 39,Networking,Card,10,295.46
11.11.2025,Store 01,Storage,Cash,11,366.22
15.04.2024,Store 12,Storage,Voucher,3,431.87
23.03.2025,Store 13,Monitors,Cash,17,296.42
20.12.2024,Store 39,Monitors,Wallet,2,25.46
09.06.2025,Store 27,Peripherals,Cash,22,267.88
12.07.2025,Store 25,Networking,Cash,18,249.68
05.05.2024,Store 37,Storage,Card,12,215.19
26.04.2024,Store 29,Networking,Card,2,328.22
06.06.2025,Store 27,Storage,Wallet,1,146.46
04.10.2025,Store 31,Peripherals,Card,1,291.08
02.09.2025,Store 08,Laptops,Cash,9,104.93
11.04.2024,Store 30,Peripherals,Voucher,12,385.36
18.09.2024,Store 32,Storage,Wallet,15,406.57
27.03.2025,Store 20,Storage,Wallet,11,381.2
25.09.2024,Store 12,Monitors,Cash,3,273.57
04.05.2025,Store 19,Laptops,Wallet,19,368.73
19.09.2024,Store 40,Networking,Voucher,8,191.09
21.06.2025,Store 09,Monitors,Cash,11,121.88
27.05.2025,Store 18,Peripherals,Cash,4,298.82
22.09.2025,Store 38,Storage,Wallet,17,463.29
08.09.2025,Store 24,Networking,Wallet,13,31.2
26.04.2024,Store 25,Monitors,Voucher,14,182.53
16.01.2025,Store 17,Peripherals,Cash,3,349.29
17.03.2024,Store 03,Laptops,Voucher,10,39.17
08.05.2024,Store 36,Storage,Card,12,201.59
24.02.2025,Store 40,Networking,Wallet,6,219.74
27.06.2025,Store 08,Monitors,Wallet,22,45.83
09.08.2024,Store 18,Networking,Wallet,7,281.82
14.06.2025,Store 06,Monitors,Voucher,4,402.29
23.07.2025,Store 35,Networking,Cash,14,264.64
27.10.2024,Store 33,Monitors,Voucher,16,22.67
18.05.2025,Store 16,Peripherals,Wallet,15,265.01
30.07.2024,Store 18,Storage,Voucher,21,6.6
06.09.2024,Store 06,Monitors,Card,10,468.61
14.07.2025,Store 16,Laptops,Voucher,13,100.42
25.10.2024,Store 37,Networking,Wallet,3,74.43
16.01.2025,Store 18,Monitors,Wallet,19,43.83
30.03.2024,Store 35,Peripherals,Voucher,22,105.12
07.01.2024,Store 03,Storage,Wallet,14,36.93
06.01.2025,Store 18,Storage,Wallet,19,458.36
30.01.2024,Store 12,Laptops,Voucher,13,437.45
01.07.2024,Store 38,Monitors,Cash,11,225.73
27.01.2025,Store 16,Networking,Voucher,19,193.36
25.06.2024,Store 31,Laptops,Cash,21,196.55
29.05.2024,Store 27,Networking,Voucher,14,197.35
06.01.2024,Store 01,Networking,Cash,15,393.83
05.03.2025,Store 07,Monitors,Card,19,53.52
19.10.2025,Store 02,Storage,Voucher,3,16.65
08.04.2024,Store 38,Networking,Voucher,15,284.61
21.05.2025,Store 18,Storage,Cash,15,407.16
09.05.2025,Store 10,Networking,Voucher,4,191.11
30.08.2024,Store 20,Networking,Cash,7,410.41
05.03.2024,Store 25,Laptops,Wallet,3,193.56
01.06.2025,Store 13,Monitors,Card,7,288.73
15.03.2025,Store 21,Peripherals,Voucher,16,88.24
06.06.2024,Store 37,Monitors,Card,4,181.69
17.07.2024,Store 14,Laptops,Voucher,3,75.32
11.02.2024,Store 26,Laptops,Cash,7,212.18
26.03.2024,Store 19,Storage,Wallet,9,21.52
24.02.2024,Store 16,Peripherals,Voucher,18,218.19
24.03.2024,Store 14,Laptops,Card,13,201.6
20.03.2025,Store 37,Laptops,Voucher,11,428.32
28.08.2024,Store 14,Networking,Cash,8,334.15
03.04.2024,Store 10,Storage,Card,22,312.07
18.11.2024,Store 16,Monitors,Wallet,19,333.18
10.08.2025,Store 15,Storage,Card,4,453.32
15.04.2025,Store 33,Peripherals,Wallet,4,40.88
17.05.2024,Store 24,Laptops,Cash,16,153.77
18.07.2025,Store 07,Peripherals,Cash,16,312.85
13.01.2024,Store 30,Peripherals,Voucher,21,448.81
24.05.2025,Store 15,Laptops,Card,16,295.72
21.08.2024,Store 10,Storage,Wallet,22,347.11
11.07.2024,Store 18,Networking,Voucher,9,393.63
16.08.2024,Store 40,Monitors,Wallet,19,268.93
29.01.2025,Store 33,Peripherals,Card,11,178.89
02.05.2024,Store 35,Laptops,Wallet,2,349.2
28.10.2024,Store 38,Laptops,Cash,4,210.16
19.08.2025,Store 37,Monitors,Cash,8,316.81
03.02.2024,Store 11,Monitors,Cash,16,185.9
10.10.2024,Store 25,Monitors,Cash,11,321.03
24.01.2024,Store 31,Networking,Voucher,19,325.15
13.10.2025,Store 19,Networking,Card,20,474.34
19.02.2024,Store 26,Monitors,Voucher,1,308.45
09.12.2024,Store 30,Networking,Voucher,3,216.64
09.09.2024,Store 37,Laptops,Voucher,21,355.51
24.12.2024,Store 22,Peripherals,Cash,7,24.41
11.04.2024,Store 06,Networking,Wallet,12,160.02
27.03.2024,Store 18,Monitors,Card,5,212.17
05.11.2024,Store 38,Networking,Card,3,126.71
22.06.2024,Store 23,Laptops,Card,16,429.43
22.12.2024,Store 09,Laptops,Wallet,7,317.6
16.12.2024,Store 18,Monitors,Wallet,9,323.71
09.10.2024,Store 37,Peripherals,Cash,12,243.95
05.09.2024,Store 01,Laptops,Voucher,16,159.84
09.01.2024,Store 36,Storage,Cash,4,164.85
04.03.2024,Store 10,Peripherals,Wallet,5,16.93
29.10.2025,Store 27,Networking,Card,7,9.24
12.01.2024,Store 01,Storage,Cash,20,479.84
02.06.2024,Store 07,Storage,Card,19,123.85
20.10.2024,Store 40,Monitors,Cash,17,294.37
08.06.2024,Store 07,Laptops,Card,11,125.87
05.11.2025,Store 12,Networking,Cash,8,306.22
31.01.2025,Store 15,Monitors,Cash,20,18.26
11.02.2025,Store 24,Networking,Card,10,66.72
18.09.2025,Store 20,Storage,Wallet,11,375.9
24.02.2025,Store 37,Laptops,Card,22,309.17
03.09.2024,Store 31,Peripherals,Voucher,4,48.86
21.02.2025,Store 40,Storage,Wallet,4,465.17
19.11.2024,Store 32,Peripherals,Cash,1,189.01
02.10.2024,Store 35,Laptops,Card,14,394.27
28.10.2024,Store 25,Networking,Voucher,15,123.86
06.04.2025,Store 40,Peripherals,Wallet,19,103.29
17.11.2025,Store 16,Laptops,Wallet,3,214.11
13.02.2025,Store 15,Networking,Card,7,365.01
31.05.2025,Store 04,Storage,Wallet,20,441.28
06.07.2025,Store 18,Peripherals,Wallet,12,168.36
12.03.2024,Store 30,Peripherals,Card,1,37.53
05.07.2024,Store 38,Monitors,Cash,21,170.27
01.03.2025,Store 06,Monitors,Cash,12,331.83
03.04.2025,Store 40,Laptops,Voucher,1,309.74
01.01.2024,Store 11,Networking,Cash,8,236.35
11.11.2024,Store 31,Storage,Card,11,11.92
01.11.2024,Store 22,Storage,Voucher,5,153.66
10.05.2024,Store 24,Laptops,Cash,18,355.85
16.10.2025,Store 30,Laptops,Wallet,7,66.37
19.09.2025,Store 19,Storage,Wallet,3,162.94
01.01.2024,Store 24,Laptops,Card,12,305.39
30.09.2024,Store 18,Networking,Voucher,16,468.57
