Month,Region,Segment,Conversion Rate,Retention Rate,Gross Margin,Churn Rate,NPS
01.08.2024,Central,SMB,0.0582,0.7182,0.5411,0.1741,75
01.08.2024,Central,Mid-market,0.0104,0.9386,0.1983,0.1887,-30
01.08.2024,Central,Enterprise,0.0645,0.9015,0.4732,0.178,-40
01.09.2024,North,SMB,0.0103,0.9085,0.5035,0.1833,-10
01.09.2024,North,Mid-market,0.077,0.7383,0.1912,0.0483,-15
01.09.2024,North,Enterprise,0.1502,0.7272,0.5447,0.064,-29
01.09.2024,South,SMB,0.0317,0.956,0.3633,0.1602,45
01.09.2024,South,Mid-market,0.0835,0.8645,0.3367,0.0786,-26
01.09.2024,South,Enterprise,0.156,0.8431,0.1877,0.123,55
01.09.2024,West,SMB,0.1551,0.7376,0.2119,0.1572,44
01.09.2024,West,Mid-market,0.1572,0.794,0.3045,0.1332,-38
01.09.2024,West,Enterprise,0.1344,0.8671,0.221,0.0812,27
01.09.2024,East,SMB,0.024,0.8342,0.5462,0.0117,3
01.09.2024,East,Mid-market,0.0575,0.7341,0.5018,0.0181,40
01.09.2024,East,Enterprise,0.0438,0.8833,0.5694,0.1566,-16
01.09.2024,Central,SMB,0.0784,0.7081,0.4236,0.0892,-14
01.09.2024,Central,Mid-market,0.1296,0.7405,0.4317,0.0991,-34
01.09.2024,Central,Enterprise,0.0377,0.7655,0.3022,0.1401,71
01.10.2024,North,SMB,0.0968,0.9142,0.4384,0.1248,60
01.10.2024,North,Mid-market,0.0718,0.7503,0.2984,0.0373,7
01.10.2024,North,Enterprise,0.1145,0.9268,0.4336,0.087,22
01.10.2024,South,SMB,0.0547,0.8984,0.2154,0.1981,-4
01.10.2024,South,Mid-market,0.0855,0.9554,0.3904,0.0524,80
01.10.2024,South,Enterprise,0.1018,0.831,0.5436,0.0832,74
01.10.2024,West,SMB,0.0212,0.6453,0.2068,0.1022,66
01.10.2024,West,Mid-market,0.1388,0.8286,0.3813,0.1081,-35
01.10.2024,West,Enterprise,0.0972,0.6911,0.248,0.0493,-24
01.10.2024,East,SMB,0.0602,0.9678,0.2943,0.1136,25
01.10.2024,East,Mid-market,0.117,0.9596,0.4042,0.0782,-11
01.10.2024,East,Enterprise,0.0477,0.9421,0.5624,0.1336,4
01.10.2024,Central,SMB,0.0651,0.7193,0.5896,0.0256,-16
01.10.2024,Central,Mid-market,0.1037,0.8105,0.3646,0.1374,45
01.10.2024,Central,Enterprise,0.1562,0.7389,0.5677,0.1577,79
01.11.2024,North,SMB,0.0979,0.6194,0.4328,0.0325,76
01.11.2024,North,Mid-market,0.0861,0.626,0.2459,0.1993,-24
01.11.2024,North,Enterprise,0.0145,0.8455,0.2685,0.0776,-2
01.11.2024,South,SMB,0.1053,0.9449,0.3893,0.1989,-30
01.11.2024,South,Mid-market,0.05,0.786,0.6045,0.1138,70
01.11.2024,South,Enterprise,0.1235,0.851,0.3359,0.0558,-34
01.11.2024,West,SMB,0.0645,0.7093,0.4565,0.0699,47
01.11.2024,West,Mid-market,0.022,0.9253,0.5691,0.0352,-13
01.11.2024,West,Enterprise,0.0983,0.8722,0.2299,0.1092,-1
01.11.2024,East,SMB,0.0114,0.8668,0.3417,0.1837,49
01.11.2024,East,Mid-market,0.1705,0.816,0.4389,0.0222,21
01.11.2024,East,Enterprise,0.1501,0.6016,0.2744,0.0727,-10
01.11.2024,Central,SMB,0.0114,0.8344,0.2828,0.0505,44
01.11.2024,Central,Mid-market,0.1609,0.7653,0.2523,0.1154,30
01.11.2024,Central,Enterprise,0.1589,0.9238,0.5683,0.1524,7
01.12.2024,North,SMB,0.1722,0.8922,0.2876,0.1084,-8
01.12.2024,North,Mid-market,0.1011,0.7921,0.2173,0.1337,34
01.12.2024,North,Enterprise,0.086,0.6683,0.4409,0.0444,18
01.12.2024,South,SMB,0.1306,0.7704,0.2295,0.1066,65
01.12.2024,South,Mid-market,0.1795,0.8917,0.3764,0.0976,5
01.12.2024,South,Enterprise,0.0529,0.6579,0.4323,0.0768,48
01.12.2024,West,SMB,0.0351,0.7605,0.4611,0.1044,40
01.12.2024,West,Mid-market,0.1106,0.8245,0.3982,0.1159,-3
01.12.2024,West,Enterprise,0.0835,0.7358,0.5471,0.1644,-36
01.12.2024,East,SMB,0.0434,0.7388,0.4977,0.078,-30
01.12.2024,East,Mid-market,0.0504,0.7111,0.5088,0.0308,10
01.12.2024,East,Enterprise,0.0301,0.7988,0.3164,0.0155,-28
01.12.2024,Central,SMB,0.0431,0.8079,0.5694,0.0876,80
01.12.2024,Central,Mid-market,0.1438,0.7756,0.3967,0.0253,42
01.12.2024,Central,Enterprise,0.1518,0.8115,0.2831,0.1041,32
01.01.2025,North,SMB,0.1497,0.6696,0.235,0.0214,62
01.01.2025,North,Mid-market,0.1032,0.8095,0.3171,0.0751,61
01.01.2025,North,Enterprise,0.0932,0.7728,0.431,0.0256,-25
01.01.2025,South,SMB,0.0452,0.7793,0.5816,0.1858,53
01.01.2025,South,Mid-market,0.1427,0.8729,0.485,0.1535,-8
01.01.2025,South,Enterprise,0.1548,0.8562,0.6015,0.066,9
01.01.2025,West,SMB,0.1099,0.6523,0.4587,0.0992,49
01.01.2025,West,Mid-market,0.1769,0.9264,0.4117,0.0574,-23
01.01.2025,West,Enterprise,0.0653,0.7968,0.1883,0.1313,-28
01.01.2025,East,SMB,0.1457,0.9548,0.2746,0.0725,6
01.01.2025,East,Mid-market,0.1002,0.9157,0.3333,0.1598,77
01.01.2025,East,Enterprise,0.1433,0.8232,0.4041,0.1361,-39
01.01.2025,Central,SMB,0.0863,0.6307,0.6067,0.1404,47
01.01.2025,Central,Mid-market,0.0274,0.6757,0.4679,0.0736,53
01.01.2025,Central,Enterprise,0.1641,0.8066,0.3776,0.0994,13
01.02.2025,North,SMB,0.1776,0.6731,0.3991,0.0458,50
01.02.2025,North,Mid-market,0.0861,0.6227,0.3326,0.1339,80
01.02.2025,North,Enterprise,0.1354,0.9662,0.1836,0.19,-35
01.02.2025,South,SMB,0.1186,0.7614,0.5781,0.1155,-10
01.02.2025,South,Mid-market,0.1619,0.7753,0.3784,0.0402,53
01.02.2025,South,Enterprise,0.127,0.8006,0.4372,0.1125,2
01.02.2025,West,SMB,0.1353,0.9447,0.3846,0.1814,-6
01.02.2025,West,Mid-market,0.1635,0.8027,0.3328,0.0417,77
01.02.2025,West,Enterprise,0.0729,0.7863,0.5946,0.142,2
01.02.2025,East,SMB,0.0519,0.8845,0.5659,0.1655,35
01.02.2025,East,Mid-market,0.1785,0.7507,0.3774,0.0503,-8
01.02.2025,East,Enterprise,0.0588,0.6333,0.2422,0.119,11
01.02.2025,Central,SMB,0.1223,0.908,0.531,0.1437,35
01.02.2025,Central,Mid-market,0.0995,0.9267,0.3775,0.083,-35
01.02.2025,Central,Enterprise,0.0249,0.7642,0.4891,0.1098,57
01.03.2025,North,SMB,0.1113,0.8383,0.5494,0.1867,70
01.03.2025,North,Mid-market,0.0391,0.8419,0.4877,0.0208,-20
01.03.2025,North,Enterprise,0.0337,0.8945,0.5822,0.1059,60
01.03.2025,South,SMB,0.1743,0.8485,0.4473,0.1852,25
01.03.2025,South,Mid-market,0.0333,0.9561,0.4919,0.1901,-7
01.03.2025,South,Enterprise,0.0223,0.8447,0.4126,0.0211,0
01.03.2025,West,SMB,0.1605,0.8526,0.3169,0.0516,-30
01.03.2025,West,Mid-market,0.0962,0.7446,0.4568,0.0292,-17
01.03.2025,West,Enterprise,0.0551,0.6157,0.2263,0.1005,66
01.03.2025,East,SMB,0.0708,0.6608,0.4724,0.0445,78
01.03.2025,East,Mid-market,0.1516,0.7138,0.529,0.1244,71
01.03.2025,East,Enterprise,0.104,0.6318,0.4745,0.1883,33
01.03.2025,Central,SMB,0.0744,0.8159,0.2648,0.1725,60
01.03.2025,Central,Mid-market,0.1151,0.9323,0.1826,0.1703,69
01.03.2025,Central,Enterprise,0.0316,0.7088,0.3312,0.1835,55
01.04.2025,North,SMB,0.105,0.7974,0.2266,0.0868,30
01.04.2025,North,Mid-market,0.1597,0.9119,0.3728,0.0306,48
01.04.2025,North,Enterprise,0.1656,0.6664,0.6069,0.0493,17
01.04.2025,South,SMB,0.0962,0.7082,0.6163,0.0983,79
01.04.2025,South,Mid-market,0.1128,0.7181,0.3288,0.0518,-26
01.04.2025,South,Enterprise,0.0378,0.7459,0.3841,0.1445,1
01.04.2025,West,SMB,0.0217,0.7979,0.4678,0.1623,69
01.04.2025,West,Mid-market,0.1144,0.9276,0.3482,0.0517,53
01.04.2025,West,Enterprise,0.0831,0.8917,0.4393,0.1431,-35
01.04.2025,East,SMB,0.1706,0.8088,0.3757,0.1977,-3
01.04.2025,East,Mid-market,0.1123,0.9151,0.3023,0.0799,-15
01.04.2025,East,Enterprise,0.0373,0.663,0.3827,0.0372,5
01.04.2025,Central,SMB,0.0277,0.8378,0.5262,0.0841,24
01.04.2025,Central,Mid-market,0.0342,0.6912,0.4954,0.0427,53
01.04.2025,Central,Enterprise,0.0484,0.8421,0.5447,0.1907,-30
01.05.2025,North,SMB,0.0796,0.847,0.208,0.1926,3
01.05.2025,North,Mid-market,0.1588,0.9679,0.3091,0.0679,-29
01.05.2025,North,Enterprise,0.0563,0.8734,0.4372,0.0822,59
01.05.2025,South,SMB,0.0969,0.6251,0.6194,0.0224,19
01.05.2025,South,Mid-market,0.1544,0.9351,0.4902,0.172,36
01.05.2025,South,Enterprise,0.091,0.7018,0.2813,0.0984,-25
01.05.2025,West,SMB,0.0456,0.9265,0.3643,0.0697,65
01.05.2025,West,Mid-market,0.1169,0.9485,0.3861,0.0465,42
01.05.2025,West,Enterprise,0.0738,0.6543,0.5365,0.1601,-15
01.05.2025,East,SMB,0.0231,0.6712,0.3771,0.1588,32
01.05.2025,East,Mid-market,0.0827,0.9579,0.4992,0.1131,80
01.05.2025,East,Enterprise,0.034,0.6341,0.227,0.0527,-38
01.05.2025,Central,SMB,0.1438,0.879,0.3523,0.0513,35
01.05.2025,Central,Mid-market,0.0465,0.6519,0.3501,0.1196,50
01.05.2025,Central,Enterprise,0.0671,0.6718,0.5457,0.1716,-29
01.06.2025,North,SMB,0.1435,0.7315,0.5495,0.0918,54
01.06.2025,North,Mid-market,0.1669,0.8055,0.529,0.0742,-18
01.06.2025,North,Enterprise,0.0379,0.8628,0.4953,0.1648,-23
01.06.2025,South,SMB,0.0136,0.7299,0.2632,0.0683,-16
01.06.2025,South,Mid-market,0.1151,0.8414,0.4667,0.0169,3
01.06.2025,South,Enterprise,0.0185,0.9385,0.5915,0.1246,7
01.06.2025,West,SMB,0.0731,0.7553,0.4041,0.0749,72
01.06.2025,West,Mid-market,0.1781,0.6671,0.2062,0.0606,-16
01.06.2025,West,Enterprise,0.1488,0.6685,0.5552,0.1716,7
01.06.2025,East,SMB,0.041,0.7962,0.5419,0.1872,-40
01.06.2025,East,Mid-market,0.1595,0.7287,0.1878,0.0542,1
01.06.2025,East,Enterprise,0.0545,0.722,0.4535,0.0624,11
01.06.2025,Central,SMB,0.031,0.652,0.5848,0.1567,36
01.06.2025,Central,Mid-market,0.1099,0.703,0.2997,0.1518,61
01.06.2025,Central,Enterprise,0.1733,0.8859,0.4167,0.068,26
01.07.2025,North,SMB,0.1332,0.8623,0.6168,0.0229,59
01.07.2025,North,Mid-market,0.1651,0.6954,0.4489,0.0254,79
01.07.2025,North,Enterprise,0.1646,0.6195,0.4488,0.1017,5
01.07.2025,South,SMB,0.1456,0.9235,0.4192,0.1523,46
01.07.2025,South,Mid-market,0.101,0.9188,0.1937,0.1898,-25
01.07.2025,South,Enterprise,0.0729,0.869,0.3824,0.0131,4
01.07.2025,West,SMB,0.1136,0.8989,0.5252,0.0958,-33
01.07.2025,West,Mid-market,0.0288,0.8927,0.4718,0.0972,50
01.07.2025,West,Enterprise,0.1028,0.8079,0.4269,0.1809,80
01.07.2025,East,SMB,0.1262,0.8851,0.6149,0.1655,60
01.07.2025,East,Mid-market,0.0912,0.8933,0.2833,0.1428,-18
01.07.2025,East,Enterprise,0.0225,0.6654,0.6038,0.1226,36
01.07.2025,Central,SMB,0.1607,0.8175,0.5329,0.0883,79
01.07.2025,Central,Mid-market,0.1253,0.8036,0.2042,0.1271,-12
01.07.2025,Central,Enterprise,0.1456,0.9205,0.4431,0.0383,3
01.08.2025,North,SMB,0.0383,0.9485,0.5922,0.1827,2
01.08.2025,North,Mid-market,0.0145,0.8722,0.2328,0.0285,52
01.08.2025,North,Enterprise,0.0811,0.7752,0.4535,0.0843,35
01.08.2025,South,SMB,0.1202,0.6824,0.3633,0.1832,48
01.08.2025,South,Mid-market,0.0955,0.76,0.3366,0.0194,21
01.08.2025,South,Enterprise,0.1131,0.9636,0.3305,0.1405,8
01.08.2025,West,SMB,0.15,0.9138,0.46,0.1535,-12
01.08.2025,West,Mid-market,0.1614,0.8242,0.5665,0.1608,80
01.08.2025,West,Enterprise,0.0331,0.7075,0.3886,0.0523,21
01.08.2025,East,SMB,0.1081,0.9093,0.6017,0.1448,49
01.08.2025,East,Mid-market,0.1355,0.7012,0.4736,0.147,70
01.08.2025,East,Enterprise,0.0553,0.6477,0.5934,0.1135,16
01.08.2025,Central,SMB,0.0877,0.8897,0.4585,0.1457,19
01.08.2025,Central,Mid-market,0.1386,0.7125,0.2472,0.0779,-22
01.08.2025,Central,Enterprise,0.0728,0.8103,0.4934,0.0746,27
01.09.2025,North,SMB,0.0417,0.6263,0.3696,0.0999,41
01.09.2025,North,Mid-market,0.054,0.7434,0.5147,0.0129,55
01.09.2025,North,Enterprise,0.1361,0.7081,0.587,0.0244,-5
01.09.2025,South,SMB,0.0581,0.8428,0.3123,0.1078,-32
01.09.2025,South,Mid-market,0.1176,0.8809,0.4938,0.047,-15
01.09.2025,South,Enterprise,0.0478,0.7332,0.2453,0.1295,-26
01.09.2025,West,SMB,0.0275,0.8294,0.1909,0.0716,78
01.09.2025,West,Mid-market,0.1276,0.8548,0.5979,0.1338,56
01.09.2025,West,Enterprise,0.1694,0.6096,0.5623,0.1502,23
01.09.2025,East,SMB,0.0512,0.9569,0.5805,0.0799,-23
01.09.2025,East,Mid-market,0.085,0.6537,0.4168,0.1662,9
01.09.2025,East,Enterprise,0.1261,0.6069,0.4288,0.0396,-40
01.09.2025,Central,SMB,0.1276,0.8773,0.5521,0.0269,66
01.09.2025,Central,Mid-market,0.167,0.6747,0.3675,0.0488,-10
01.09.2025,Central,Enterprise,0.0786,0.7538,0.3022,0.1431,-13
01.10.2025,North,SMB,0.1373,0.9699,0.5397,0.0924,26
01.10.2025,North,Mid-market,0.0496,0.9221,0.239,0.0907,23
01.10.2025,North,Enterprise,0.0696,0.7492,0.3363,0.0925,10
01.10.2025,South,SMB,0.1352,0.897,0.4138,0.1461,75
01.10.2025,South,Mid-market,0.0885,0.7125,0.2722,0.147,-18
01.10.2025,South,Enterprise,0.1221,0.6741,0.5137,0.1503,71
01.10.2025,West,SMB,0.0853,0.6621,0.2342,0.0392,31
01.10.2025,West,Mid-market,0.0228,0.6967,0.2679,0.1048,-17
01.10.2025,West,Enterprise,0.0635,0.9369,0.5502,0.1138,38
01.10.2025,East,SMB,0.0209,0.6784,0.5233,0.0386,-35
01.10.2025,East,Mid-market,0.1615,0.7453,0.5187,0.103,-15
01.10.2025,East,Enterprise,0.037,0.876,0.2003,0.1844,15
01.10.2025,Central,SMB,0.1566,0.7254,0.2051,0.1617,65
01.10.2025,Central,Mid-market,0.0555,0.8494,0.5136,0.1721,-19
01.10.2025,Central,Enterprise,0.146,0.6892,0.4487,0.0974,-12
01.11.2025,North,SMB,0.1304,0.8814,0.4955,0.1859,78
01.11.2025,North,Mid-market,0.1696,0.8264,0.284,0.0331,40
01.11.2025,North,Enterprise,0.0129,0.743,0.5373,0.0163,37
01.11.2025,South,SMB,0.1431,0.8512,0.3476,0.0119,-31
01.11.2025,South,Mid-market,0.0478,0.6935,0.5273,0.0372,17
01.11.2025,South,Enterprise,0.0959,0.6862,0.2069,0.0359,42
01.11.2025,West,SMB,0.1332,0.8517,0.3054,0.0364,75
01.11.2025,West,Mid-market,0.0962,0.8671,0.3472,0.0842,64
01.11.2025,West,Enterprise,0.0712,0.8225,0.5845,0.0292,78
01.11.2025,East,SMB,0.1418,0.8763,0.2239,0.1067,50
01.11.2025,East,Mid-market,0.0568,0.7415,0.198,0.1432,-33
01.11.2025,East,Enterprise,0.1523,0.9045,0.5079,0.1834,56
01.11.2025,Central,SMB,0.1025,0.6219,0.3419,0.159,79
01.11.2025,Central,Mid-market,0.0608,0.7462,0.2825,0.19,61
01.11.2025,Central,Enterprise,0.149,0.6851,0.2836,0.1069,-12
01.12.2025,North,SMB,0.0786,0.6548,0.3,0.1425,39
01.12.2025,North,Mid-market,0.1779,0.6426,0.2026,0.0613,77
01.12.2025,North,Enterprise,0.0975,0.7812,0.6007,0.1982,52
01.12.2025,South,SMB,0.0832,0.6918,0.3431,0.0798,23
01.12.2025,South,Mid-market,0.0562,0.7809,0.5742,0.165,73
01.12.2025,South,Enterprise,0.1435,0.6521,0.544,0.1752,38
01.12.2025,West,SMB,0.0528,0.6088,0.5148,0.0608,21
01.12.2025,West,Mid-market,0.0885,0.9526,0.4536,0.1651,-27
01.12.2025,West,Enterprise,0.1465,0.7122,0.4686,0.0397,36
01.12.2025,East,SMB,0.1111,0.9278,0.2715,0.1575,66
01.12.2025,East,Mid-market,0.0448,0.7889,0.3402,0.1121,75
01.12.2025,East,Enterprise,0.0922,0.8337,0.4582,0.1142,44
01.12.2025,Central,SMB,0.1492,0.9406,0.4432,0.1213,27
01.12.2025,Central,Mid-market,0.0879,0.8329,0.5576,0.1611,-19
01.12.2025,Central,Enterprise,0.0518,0.9509,0.3277,0.0605,-3
